row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.8870934465
MeanDiff,LogReg,0.6308464314
MeanDiff,PCA,0.842016515
MeanDiff,Random,0.01290065699
KMeans,MeanDiff,0.8870934465
KMeans,KMeans,1
KMeans,LogReg,0.3469247235
KMeans,PCA,0.9839542234
KMeans,Random,0.008342540273
LogReg,MeanDiff,0.6308464314
LogReg,KMeans,0.3469247235
LogReg,LogReg,1
LogReg,PCA,0.2880187379
LogReg,Random,0.003146256
PCA,MeanDiff,0.842016515
PCA,KMeans,0.9839542234
PCA,LogReg,0.2880187379
PCA,PCA,1
PCA,Random,0.008812256345
Random,MeanDiff,0.01290065699
Random,KMeans,0.008342540273
Random,LogReg,0.003146256
Random,PCA,0.008812256345
Random,Random,1
