layer,accuracy_mean,agreement_mean
1,0.6697654652,0.3049477809
2,0.7551477706,0.2901796601
3,0.8009005581,0.2700168278
4,0.8089517327,0.2774050223
5,0.8874194481,0.2950384457
6,0.8805721873,0.3073928634
7,0.9256125553,0.3118704571
8,0.9071803768,0.3171783843
9,0.9075737625,0.3378613007
10,0.9001376417,0.6404739795
11,0.9001376417,0.6537125569
12,0.8998497801,0.6464920034
13,0.9142626451,0.642443836
14,0.9045036439,0.6251267982
15,0.928966662,0.6713686016
16,0.9362229621,0.684971871
17,0.9312285668,0.7209548663
18,0.9118292253,0.7598020722
19,0.9117682497,0.7493171186
20,0.92357831,0.765214439
21,0.9239134211,0.7444802094
22,0.9308901653,0.7571328807
