row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9957601522
MeanDiff,LogReg,0.7866617735
MeanDiff,PCA,0.9663125277
MeanDiff,Random,0.00744711154
KMeans,MeanDiff,0.9957601522
KMeans,KMeans,1
KMeans,LogReg,0.7488940161
KMeans,PCA,0.980736854
KMeans,Random,0.009438355405
LogReg,MeanDiff,0.7866617735
LogReg,KMeans,0.7488940161
LogReg,LogReg,1
LogReg,PCA,0.6690887322
LogReg,Random,0.002449594219
PCA,MeanDiff,0.9663125277
PCA,KMeans,0.980736854
PCA,LogReg,0.6690887322
PCA,PCA,1
PCA,Random,0.01583731548
Random,MeanDiff,0.00744711154
Random,KMeans,0.009438355405
Random,LogReg,0.002449594219
Random,PCA,0.01583731548
Random,Random,1
