projection,y,level
-6.747716904,0,neutral
-22.27440278,0,neutral
-6.673482033,0,neutral
7.812471778,1,positive
12.14825801,1,positive
15.73487193,1,positive
-7.430533505,0,neutral
-16.64212303,0,neutral
7.730364864,1,positive
10.25486885,1,positive
6.087422816,1,positive
-26.26504286,0,neutral
-20.22157316,0,neutral
-17.5557657,0,neutral
12.90763764,1,positive
26.96622996,1,positive
24.16851411,1,positive
-2.630729367,0,neutral
-15.80575405,0,neutral
-10.89736289,0,neutral
13.21376992,1,positive
3.265496752,1,positive
12.85457964,1,positive
-10.90467344,0,neutral
-17.77844766,0,neutral
-24.42168356,0,neutral
17.70473652,1,positive
6.915362222,1,positive
28.48470591,1,positive
-16.26740544,0,neutral
-2.352882167,0,neutral
-19.04856776,0,neutral
14.87414781,1,positive
10.1522868,1,positive
12.64242075,1,positive
-12.10805267,0,neutral
-11.16353126,0,neutral
4.5363424,0,neutral
10.56086401,1,positive
-3.726870508,1,positive
11.90124802,1,positive
-5.72647803,0,neutral
-11.96911162,0,neutral
7.028401374,0,neutral
8.023931348,1,positive
-4.543683591,1,positive
7.186940516,1,positive
-5.785289774,0,neutral
-7.671977952,0,neutral
-10.34576786,0,neutral
10.78648585,1,positive
1.604526592,1,positive
11.41202315,1,positive
1.327730108,0,neutral
-13.05468508,0,neutral
-11.53921912,0,neutral
3.59726392,1,positive
19.66891016,1,positive
0.138484827,0,neutral
-25.67108759,0,neutral
-5.049656072,0,neutral
12.74428829,1,positive
7.07770944,1,positive
10.76026111,1,positive
-5.471528045,0,neutral
-11.85090193,0,neutral
-11.24309599,0,neutral
5.874605153,1,positive
13.83810747,1,positive
8.852813348,1,positive
-40.90064568,0,neutral
-32.95606289,0,neutral
-49.51930645,0,neutral
36.92326858,1,positive
48.10507454,1,positive
38.3476719,1,positive
-11.53462624,0,neutral
-12.24373602,0,neutral
-11.7473559,0,neutral
3.880204685,1,positive
31.64551348,1,positive
-24.60866424,0,neutral
-17.76771552,0,neutral
1.962003346,0,neutral
14.81958004,1,positive
-8.860774155,1,positive
34.45557053,1,positive
-12.56187354,0,neutral
-27.45801988,0,neutral
-38.43315992,0,neutral
28.99611258,1,positive
25.96185165,1,positive
23.49508911,1,positive
-18.14640514,0,neutral
-26.81171024,0,neutral
-30.41935745,0,neutral
21.30359556,1,positive
28.45507753,1,positive
25.61879973,1,positive
-9.4580954,0,neutral
-16.98623731,0,neutral
-10.10422094,0,neutral
11.34785807,1,positive
8.494148093,1,positive
16.70654748,1,positive
-23.92262656,0,neutral
-5.415749953,0,neutral
-23.77782278,0,neutral
24.09359405,1,positive
29.02260524,1,positive
-13.17964224,0,neutral
-14.37339633,0,neutral
-10.65734321,0,neutral
17.63182342,1,positive
8.106281277,1,positive
12.47227708,1,positive
-36.35346584,0,neutral
-12.36162,0,neutral
-18.34776746,0,neutral
19.52354136,1,positive
27.57050529,1,positive
19.96880664,1,positive
-15.15385,0,neutral
-9.622427663,0,neutral
-13.83996085,0,neutral
7.452626084,1,positive
10.91078522,1,positive
20.25282721,1,positive
-6.385820078,0,neutral
-13.30941131,0,neutral
-5.731959525,0,neutral
15.36549768,1,positive
4.289223125,1,positive
5.772470106,1,positive
-8.207884356,0,neutral
7.044223484,0,neutral
-2.22286629,0,neutral
-3.433087509,1,positive
8.236212516,1,positive
-1.416597845,1,positive
-5.855676284,0,neutral
-43.25165892,0,neutral
-26.73622728,0,neutral
30.60456122,1,positive
33.93175653,1,positive
11.30724473,1,positive
-2.929003257,0,neutral
-9.383061534,0,neutral
-14.23954763,0,neutral
11.29099672,1,positive
5.52743983,1,positive
9.733175863,1,positive
-38.9778985,0,neutral
-12.63502839,0,neutral
-10.73454222,0,neutral
21.72556957,1,positive
21.06026305,1,positive
19.56163649,1,positive
-10.18441557,0,neutral
-12.87760367,0,neutral
-16.35071488,0,neutral
13.95230849,1,positive
25.46042563,1,positive
-4.334748103,0,neutral
-14.40818,0,neutral
-10.11371045,0,neutral
6.737525687,1,positive
21.57305662,1,positive
0.5460562503,1,positive
-5.315830642,0,neutral
-14.5920288,0,neutral
-21.71842243,0,neutral
4.681617644,1,positive
21.03275614,1,positive
15.91190808,1,positive
-10.60925348,0,neutral
-10.60215594,0,neutral
-9.424276626,0,neutral
10.1226061,1,positive
12.03226792,1,positive
8.480812019,1,positive
-13.3873849,0,neutral
-13.64377932,0,neutral
-12.61438614,0,neutral
23.7982092,1,positive
15.89983849,1,positive
-0.052497325,1,positive
3.479551432,0,neutral
-13.22725672,0,neutral
-13.51779395,0,neutral
23.26549923,1,positive
-20.53496447,0,neutral
-22.22747266,0,neutral
-22.67032699,0,neutral
9.621956449,1,positive
7.393288295,1,positive
48.41751938,1,positive
-8.286505294,0,neutral
-16.47633325,0,neutral
-10.1623672,0,neutral
9.154351164,1,positive
-1.133268747,1,positive
26.90412332,1,positive
-8.892156057,0,neutral
-7.851212863,0,neutral
-5.982698573,0,neutral
3.883983157,1,positive
11.04343351,1,positive
7.798650826,1,positive
-14.80754131,0,neutral
-19.67564217,0,neutral
-13.80468595,0,neutral
-2.935266814,1,positive
23.95563975,1,positive
27.26749649,1,positive
-6.17929028,0,neutral
-5.18807218,0,neutral
-11.99138936,0,neutral
-12.06606326,1,positive
8.760767437,1,positive
26.66404764,1,positive
-18.83659892,0,neutral
-8.689618938,0,neutral
-4.466404384,0,neutral
-13.48963094,1,positive
26.98711993,1,positive
18.49513325,1,positive
-14.15623343,0,neutral
-15.03851484,0,neutral
-11.07540276,0,neutral
18.40461327,1,positive
2.519538589,1,positive
19.34599917,1,positive
-7.068939756,0,neutral
-3.945783389,0,neutral
-8.730783634,0,neutral
6.522701274,1,positive
6.055695899,1,positive
7.167109606,1,positive
4.53302675,0,neutral
-4.754938147,0,neutral
0.2652106946,0,neutral
-0.0432992977,1,positive
-13.50285261,0,neutral
-18.73909128,0,neutral
-16.10170825,0,neutral
20.05623442,1,positive
19.81474025,1,positive
8.472677471,1,positive
1.37716,0,neutral
-25.64858158,0,neutral
-21.09745362,0,neutral
26.69235341,1,positive
18.67652179,1,positive
-9.632657592,0,neutral
-36.57587111,0,neutral
-14.33149392,0,neutral
16.93973857,1,positive
18.64083134,1,positive
24.95945273,1,positive
-6.298426296,0,neutral
-0.2178062838,0,neutral
-0.06765544274,0,neutral
-9.673643648,1,positive
10.4588718,1,positive
5.79865987,1,positive
-7.325894857,0,neutral
3.662073686,0,neutral
-8.145893898,0,neutral
24.69207047,1,positive
-8.474143607,1,positive
-4.408211791,1,positive
-18.32311702,0,neutral
-19.73930006,0,neutral
-23.79738941,0,neutral
-15.29976707,1,positive
41.11285837,1,positive
36.04671519,1,positive
-1.605720836,0,neutral
-30.86131325,0,neutral
-6.763920204,0,neutral
14.56738064,1,positive
3.277987955,1,positive
21.3855857,1,positive
-25.20329792,0,neutral
0.8862545763,0,neutral
7.623028208,0,neutral
20.58969724,1,positive
-6.993573173,1,positive
3.097891067,1,positive
-11.86377909,0,neutral
-16.81370199,0,neutral
-34.2918257,0,neutral
41.86086847,1,positive
24.69681161,1,positive
-3.588373301,1,positive
2.216893687,0,neutral
-23.17966625,0,neutral
0.8790620314,0,neutral
7.762602011,1,positive
0.1454542937,1,positive
12.17565422,1,positive
-7.598985577,0,neutral
-5.583902144,0,neutral
-32.87665787,0,neutral
31.18956454,1,positive
4.01928222,1,positive
10.85069884,1,positive
-12.53209565,0,neutral
-6.908227042,0,neutral
-12.83885394,0,neutral
1.827985594,1,positive
15.2232693,1,positive
15.22792174,1,positive
-22.75122604,0,neutral
-25.68173266,0,neutral
-17.99610716,0,neutral
31.65971809,1,positive
5.617356511,1,positive
29.15199125,1,positive
-17.45667383,0,neutral
-20.1338102,0,neutral
-27.06582827,0,neutral
17.00721366,1,positive
24.12934047,1,positive
23.51975817,1,positive
-15.76849428,0,neutral
-13.13132925,0,neutral
-20.41033394,0,neutral
22.19467718,1,positive
6.106344464,1,positive
21.00913582,1,positive
-26.46692185,0,neutral
-10.49761087,0,neutral
-15.6664121,0,neutral
5.761116139,1,positive
21.01306766,1,positive
25.85676102,1,positive
-18.72248232,0,neutral
-8.518044137,0,neutral
-22.53572864,0,neutral
15.94034478,1,positive
20.55185029,1,positive
13.28406002,1,positive
-7.577130419,0,neutral
-17.8575991,0,neutral
-7.990768847,0,neutral
19.38426629,1,positive
0.06715346165,1,positive
13.97407862,1,positive
-22.6093976,0,neutral
-14.97819749,0,neutral
24.12651478,1,positive
-9.239562937,1,positive
22.70064325,1,positive
16.03990225,0,neutral
-16.88278256,0,neutral
-6.032233965,0,neutral
1.522174109,1,positive
4.711333641,1,positive
0.6416065285,1,positive
-13.36370258,0,neutral
5.906938059,0,neutral
1.582071251,0,neutral
-19.14456117,1,positive
21.72566503,1,positive
3.293589408,1,positive
-14.93784407,0,neutral
29.84176232,0,neutral
-20.16029315,0,neutral
1.51201708,1,positive
10.10756267,1,positive
-6.363204841,1,positive
11.45684771,0,neutral
-23.54584961,0,neutral
-14.37737757,0,neutral
6.310705794,1,positive
10.87082418,1,positive
9.284849493,1,positive
-15.82901464,0,neutral
-28.18547189,0,neutral
15.78622928,0,neutral
