projection,y,level
9.395471653,0,neutral
23.60576478,1,positive
-6.01576785,0,neutral
28.43426105,1,positive
8.954393713,0,neutral
31.79236917,1,positive
-16.02287579,0,neutral
-0.5582338652,1,positive
-25.45873004,0,neutral
1.939010876,1,positive
-2.466806769,1,positive
-9.507537344,0,neutral
29.89020582,1,positive
-3.607139641,0,neutral
42.84961538,1,positive
-0.5025201914,0,neutral
40.94135315,1,positive
8.288277269,0,neutral
24.41061838,1,positive
-4.52061399,0,neutral
14.38221522,1,positive
0.1224153827,0,neutral
24.09212627,1,positive
7.28599541,0,neutral
35.14480698,1,positive
0.4177031384,0,neutral
24.46514074,1,positive
-5.863986596,0,neutral
45.91371566,1,positive
-9.82417035,0,neutral
21.00330383,1,positive
3.686470038,0,neutral
16.36751294,1,positive
-12.65268344,0,neutral
19.10387449,1,positive
-6.797160393,0,neutral
15.98154747,1,positive
-5.922898067,0,neutral
1.717959708,1,positive
9.425527428,0,neutral
17.39096818,1,positive
-5.389758021,0,neutral
8.368567436,1,positive
-11.78947855,0,neutral
-3.966104275,1,positive
7.116657498,0,neutral
6.942410265,1,positive
-14.04490821,0,neutral
3.083047601,1,positive
-15.60172606,0,neutral
-6.454039907,1,positive
-18.05092127,0,neutral
3.739520076,1,positive
5.36709668,0,neutral
7.168897465,1,positive
-9.815340663,0,neutral
23.6433201,1,positive
-7.989860791,0,neutral
0.8439215966,0,neutral
13.0466463,1,positive
-25.02286592,0,neutral
7.817492133,1,positive
-4.831963139,0,neutral
11.34638747,1,positive
-7.797281735,0,neutral
3.73514418,1,positive
-13.89279458,0,neutral
12.04537319,1,positive
-13.15998816,0,neutral
6.945358243,1,positive
-22.80931197,0,neutral
54.42268368,1,positive
-14.88080056,0,neutral
65.94959435,1,positive
-30.68063148,0,neutral
55.89375619,1,positive
-4.212594625,0,neutral
11.70945601,1,positive
-5.294943319,0,neutral
39.06624825,1,positive
-4.886621186,0,neutral
-19.13971805,0,neutral
20.2059949,1,positive
-12.14399782,0,neutral
-2.241943197,1,positive
7.851341563,0,neutral
40.40195425,1,positive
5.508528867,0,neutral
46.06916937,1,positive
-9.20241448,0,neutral
42.60583496,1,positive
-20.32857377,0,neutral
39.92411485,1,positive
10.69864643,0,neutral
49.39341282,1,positive
2.089304776,0,neutral
56.63977366,1,positive
-2.158729901,0,neutral
53.95399676,1,positive
-2.384707388,0,neutral
18.84714168,1,positive
-9.487567915,0,neutral
15.88902054,1,positive
-3.616696211,0,neutral
24.4142957,1,positive
-10.90615261,0,neutral
37.10698677,1,positive
7.419102327,0,neutral
41.53686967,1,positive
-11.13879722,0,neutral
-6.102305347,0,neutral
24.86751321,1,positive
-7.214499648,0,neutral
15.00994057,1,positive
-3.932636795,0,neutral
19.19597391,1,positive
-8.482700369,0,neutral
46.75634158,1,positive
15.49325874,0,neutral
55.32283902,1,positive
9.335460974,0,neutral
47.36400501,1,positive
-8.778092737,0,neutral
12.77923651,1,positive
-3.772100075,0,neutral
16.25594893,1,positive
-8.015964998,0,neutral
26.42821461,1,positive
7.580127708,0,neutral
29.28561716,1,positive
0.55676588,0,neutral
17.87559389,1,positive
7.705758874,0,neutral
19.44927055,1,positive
-2.211874188,0,neutral
2.027237314,1,positive
12.36952894,0,neutral
13.56470354,1,positive
3.176144394,0,neutral
4.801343029,1,positive
2.36320255,0,neutral
37.45115453,1,positive
-34.70968314,0,neutral
41.68284197,1,positive
-18.47053814,0,neutral
18.39438737,1,positive
0.9708277823,0,neutral
15.45783781,1,positive
-4.753047055,0,neutral
10.25141797,1,positive
-9.422268358,0,neutral
14.09184376,1,positive
-13.18837664,0,neutral
47.26230635,1,positive
12.58354579,0,neutral
46.575452,1,positive
14.33839496,0,neutral
45.07707425,1,positive
17.2661885,0,neutral
13.69243337,0,neutral
40.87564723,1,positive
10.534778,0,neutral
52.47725706,1,positive
12.60157498,0,neutral
23.56195421,1,positive
2.478004953,0,neutral
38.61543132,1,positive
7.080497388,0,neutral
17.19784018,1,positive
-2.6129592,0,neutral
6.7975999,1,positive
-12.33956607,0,neutral
22.67289326,1,positive
-18.83010622,0,neutral
17.91822502,1,positive
2.289644095,0,neutral
23.26515745,1,positive
1.810591211,0,neutral
25.14230167,1,positive
2.94304698,0,neutral
21.38874304,1,positive
-7.559464486,0,neutral
28.45667772,1,positive
-7.666779104,0,neutral
21.31378419,1,positive
-6.82970853,0,neutral
5.057214368,1,positive
8.361308675,0,neutral
-7.491488253,0,neutral
27.3967916,1,positive
-7.859527395,0,neutral
-26.42659799,0,neutral
3.556420175,1,positive
-28.37174892,0,neutral
1.941017103,1,positive
-28.77587474,0,neutral
42.451414,1,positive
-11.66767335,0,neutral
6.288050081,1,positive
-19.66147871,0,neutral
-4.803014962,1,positive
-13.72297407,0,neutral
23.28931592,1,positive
-7.982526677,0,neutral
6.032822958,1,positive
-5.789931097,0,neutral
12.69802807,1,positive
-4.252471913,0,neutral
9.05969101,1,positive
19.76358541,0,neutral
31.38582108,1,positive
15.13887904,0,neutral
58.7628706,1,positive
20.51639255,0,neutral
61.85484337,1,positive
23.03809948,0,neutral
18.06728421,1,positive
22.68477803,0,neutral
37.45557343,1,positive
16.92523445,0,neutral
56.83904077,1,positive
7.441332994,0,neutral
13.14804015,1,positive
16.92705008,0,neutral
53.39916658,1,positive
22.23939877,0,neutral
45.59241365,1,positive
-6.885157784,0,neutral
24.69492673,1,positive
-7.695781627,0,neutral
9.688316794,1,positive
-2.99489771,0,neutral
27.3689271,1,positive
10.55549886,0,neutral
23.92621942,1,positive
13.08237518,0,neutral
22.63610922,1,positive
8.556140612,0,neutral
25.18303032,1,positive
28.3826121,0,neutral
23.55709811,1,positive
19.05211903,0,neutral
24.19467119,0,neutral
0.3385781971,0,neutral
32.91450555,1,positive
-5.124053497,0,neutral
32.80111361,1,positive
-2.901475117,0,neutral
21.49571819,1,positive
13.66663928,0,neutral
