layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.9475649535,0.3400265582,0.003634656779,3
2,0.9422796087,0.3454277606,9.642268049e-09,3
3,0.9424459059,0.3610699119,0.007448783389,3
4,0.9544805379,0.421961558,0.03441114585,3
5,0.9594832389,0.3078642129,0.001660209756,3
6,0.9594830548,0.7368033555,0.006655678964,3
7,0.9641398222,0.3590316801,0.003806963157,3
8,0.9596024891,0.1940380849,0.1869399874,3
9,0.9665207746,0.3802697202,0.00428023649,3
10,0.9569838282,0.3942746786,0.006636222939,3
11,0.961748434,0.3994670562,0.004296947202,3
12,0.9618090229,0.6996578875,0.0008109010374,3
13,0.9545500217,0.4621671424,0.07619093496,3
14,0.9616402089,0.4325851879,0.001643283492,3
15,0.9641346043,0.4420156279,0.006020325324,3
16,0.9641899753,0.3862672198,0.001298029937,3
17,0.9641346043,0.5372384614,0.1531886895,3
18,0.9594280705,0.4135542981,0.00410659599,3
19,0.9571024891,0.4055471123,0.002066979931,3
20,0.9665736287,0.4002415641,0.002646538606,3
21,0.9571578601,-0.02134983024,6.691094604e-08,3
22,0.9548851328,-0.03175378845,0.001889991256,3
