row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9992451877,1.378666255e-05,3
MeanDiff,LogReg,0.7726038075,0,3
MeanDiff,PCA,0.9872691761,4.000000331e-10,3
MeanDiff,Random,0.02072575006,0.02693018253,3
KMeans,MeanDiff,0.9992451877,1.378666255e-05,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.7579569796,9.132844101e-05,3
KMeans,PCA,0.9903284382,9.966996883e-05,3
KMeans,Random,0.02149916373,0.02749733719,3
LogReg,MeanDiff,0.7726038075,0,3
LogReg,KMeans,0.7579569796,9.132844101e-05,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.6957382073,2.510643994e-09,3
LogReg,Random,0.006182416623,0.01919707531,3
PCA,MeanDiff,0.9872691761,4.000000331e-10,3
PCA,KMeans,0.9903284382,9.966996883e-05,3
PCA,LogReg,0.6957382073,2.510643994e-09,3
PCA,PCA,1,0,3
PCA,Random,0.02355005034,0.0289351826,3
Random,MeanDiff,0.02072575006,0.02693018253,3
Random,KMeans,0.02149916373,0.02749733719,3
Random,LogReg,0.006182416623,0.01919707531,3
Random,PCA,0.02355005034,0.0289351826,3
Random,Random,1,0,3
