row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.04430019277,0.0387083561,3
MeanDiff,LogReg,0.6313292167,0,3
MeanDiff,PCA,0.8179088066,1.110857927e-07,3
MeanDiff,Random,0.02068562875,0.02708806148,3
KMeans,MeanDiff,0.04430019277,0.0387083561,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.003721330037,0.01815371595,3
KMeans,PCA,0.4064091133,0.03615593231,3
KMeans,Random,0.01658209085,0.02612274492,3
LogReg,MeanDiff,0.6313292167,0,3
LogReg,KMeans,0.003721330037,0.01815371595,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.3339554893,3.091767132e-07,3
LogReg,Random,0.000894809071,0.03269351296,3
PCA,MeanDiff,0.8179088066,1.110857927e-07,3
PCA,KMeans,0.4064091133,0.03615593231,3
PCA,LogReg,0.3339554893,3.091767132e-07,3
PCA,PCA,1,0,3
PCA,Random,0.02880093511,0.02419496075,3
Random,MeanDiff,0.02068562875,0.02708806148,3
Random,KMeans,0.01658209085,0.02612274492,3
Random,LogReg,0.000894809071,0.03269351296,3
Random,PCA,0.02880093511,0.02419496075,3
Random,Random,1,0,3
