row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9997438594,0,3
MeanDiff,LogReg,0.8354776559,0,3
MeanDiff,PCA,0.9921073208,1.882374415e-09,3
MeanDiff,Random,0.03001933423,0.01384799032,3
KMeans,MeanDiff,0.9997438594,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.8304184517,0,3
KMeans,PCA,0.9925424118,2.112660233e-09,3
KMeans,Random,0.02997073603,0.01333342634,3
LogReg,MeanDiff,0.8354776559,0,3
LogReg,KMeans,0.8304184517,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.7834148257,6.504613773e-09,3
LogReg,Random,0.01420137573,0.01365162155,3
PCA,MeanDiff,0.9921073208,1.882374415e-09,3
PCA,KMeans,0.9925424118,2.112660233e-09,3
PCA,LogReg,0.7834148257,6.504613773e-09,3
PCA,PCA,1,0,3
PCA,Random,0.03295503634,0.01289765464,3
Random,MeanDiff,0.03001933423,0.01384799032,3
Random,KMeans,0.02997073603,0.01333342634,3
Random,LogReg,0.01420137573,0.01365162155,3
Random,PCA,0.03295503634,0.01289765464,3
Random,Random,1,0,3
