projection,y,level
-14.3131128,0,negative
26.83358852,1,positive
-6.825045588,0,negative
14.45067531,1,positive
-6.618435808,0,negative
21.7926872,1,positive
-18.69911899,0,negative
15.70721519,1,positive
-13.67427684,0,negative
12.36103922,1,positive
-18.17973395,0,negative
13.33828878,1,positive
-25.59162267,0,negative
5.907133396,1,positive
-18.5031799,0,negative
5.011291564,1,positive
-27.2431569,0,negative
7.847156159,1,positive
-7.402702401,0,negative
20.32081469,1,positive
0.7151043484,0,negative
13.80909995,1,positive
5.363515331,0,negative
12.29851034,1,positive
-21.21110142,0,negative
11.74963191,1,positive
-13.18504182,0,negative
-4.156429844,1,positive
-12.75053518,0,negative
1.021800194,1,positive
-1.944314309,0,negative
13.58445046,1,positive
-18.42398598,0,negative
7.52888994,1,positive
-6.423584606,0,negative
13.52592153,1,positive
13.84149935,1,positive
-20.81026496,0,negative
17.09498577,1,positive
-8.54735069,0,negative
14.60702639,1,positive
6.563568976,1,positive
-13.62319219,0,negative
-0.3547033394,1,positive
-17.68963633,0,negative
6.871820389,1,positive
-9.453321379,0,negative
13.53388698,1,positive
-11.76114982,0,negative
3.322978137,1,positive
-11.91020296,0,negative
7.191348933,1,positive
-16.4852845,0,negative
7.522069105,1,positive
-16.59111566,0,negative
8.451818934,1,positive
-20.55527329,0,negative
-19.27236753,0,negative
5.70797456,1,positive
-17.19468221,0,negative
6.723052402,1,positive
-13.25569492,0,negative
4.559322933,1,positive
-18.72851572,0,negative
2.712730796,1,positive
-26.5529435,0,negative
5.000997092,1,positive
-14.83418094,0,negative
1.799702122,1,positive
-14.56594345,0,negative
16.00061699,1,positive
-12.75019741,0,negative
21.54679563,1,positive
-16.08381954,0,negative
17.03834182,1,positive
-14.22629701,0,negative
10.09681688,1,positive
-20.64696096,0,negative
10.32875469,1,positive
-14.02343951,0,negative
-20.53627473,0,negative
8.101191271,1,positive
-10.95197708,0,negative
7.217600003,1,positive
-21.53112097,0,negative
15.57978069,1,positive
-20.90889463,0,negative
22.74437109,1,positive
-10.76231584,0,negative
20.60904998,1,positive
-22.38885226,0,negative
27.01557347,1,positive
-27.66473646,0,negative
7.310949171,1,positive
-21.3310462,0,negative
7.839490252,1,positive
-22.19218772,0,negative
2.497855131,1,positive
-21.91547654,0,negative
-4.250209884,1,positive
-26.33171978,0,negative
3.941558255,1,positive
-16.705039,0,negative
13.3916543,1,positive
-12.13609002,0,negative
12.6412506,1,positive
-16.71533267,0,negative
11.44264356,1,positive
-17.79249735,0,negative
-17.32543341,0,negative
1.863697151,1,positive
-12.10001361,0,negative
-0.1080716588,1,positive
-12.95544351,0,negative
3.740463809,1,positive
-9.397653584,0,negative
9.206762469,1,positive
-8.808905922,0,negative
13.05408613,1,positive
-8.3642019,0,negative
9.637638122,1,positive
-8.803845435,0,negative
0.4363616825,1,positive
-6.893999093,0,negative
-1.961139333,1,positive
-13.3435108,0,negative
-2.791809307,1,positive
-13.97349583,0,negative
19.36968639,1,positive
-14.65695726,0,negative
9.687220337,1,positive
-12.84540747,0,negative
10.27743785,1,positive
-9.297367613,0,negative
9.134242539,1,positive
-11.5705796,0,negative
8.261546326,1,positive
-9.444154368,0,negative
8.000246119,1,positive
-12.9642141,0,negative
17.53539743,1,positive
-17.0195165,0,negative
13.07582359,1,positive
-14.64971985,0,negative
4.956223536,1,positive
-13.41316384,0,negative
0.6622380055,1,positive
-17.47430231,0,negative
1.08657245,1,positive
-18.80937844,0,negative
0.1911976468,1,positive
-13.55967652,0,negative
2.962834401,1,positive
-11.52110235,0,negative
-0.431589049,1,positive
-9.890283238,0,negative
2.716702955,1,positive
-20.21586063,0,negative
-11.09408674,0,negative
3.510270567,1,positive
-7.472577606,0,negative
13.47081376,1,positive
-1.270553145,0,negative
14.09725284,1,positive
-4.375662899,0,negative
18.11063215,1,positive
-3.61463387,0,negative
15.13250705,1,positive
-15.53530564,0,negative
11.56604999,1,positive
-13.40296984,0,negative
13.9307522,1,positive
-17.31924377,0,negative
5.899876419,1,positive
-5.902644027,0,negative
21.10025268,1,positive
7.555097101,0,negative
18.50344909,1,positive
5.736219841,0,negative
21.87869104,1,positive
-11.9027553,0,negative
15.36950696,1,positive
-21.68568094,0,negative
5.778375917,1,positive
-16.43637212,0,negative
8.198505636,1,positive
-4.701054403,0,negative
-10.97973815,0,negative
9.105451803,1,positive
-4.635888182,0,negative
-3.339776726,0,negative
5.154826859,1,positive
-10.86037134,0,negative
12.21098253,1,positive
-19.72918951,0,negative
6.767090492,1,positive
-9.193751206,0,negative
20.05847091,1,positive
-4.913870043,0,negative
10.59403323,1,positive
-4.358403771,0,negative
19.8773006,1,positive
-10.25673083,0,negative
11.43507961,1,positive
-10.23817928,0,negative
5.062582111,1,positive
-9.830362914,0,negative
4.348120159,1,positive
-9.489349218,0,negative
8.788979486,1,positive
-9.69506941,0,negative
13.59680174,1,positive
-6.431681328,0,negative
14.82516582,1,positive
-17.45669415,0,negative
11.20360645,1,positive
-13.41813316,0,negative
18.98241127,1,positive
-16.69166997,0,negative
12.86827,1,positive
-5.796039702,0,negative
19.05623913,1,positive
-3.516064849,0,negative
13.60787636,1,positive
0.07290053882,0,negative
20.33349279,1,positive
-12.06766869,0,negative
11.00062577,1,positive
-8.988665807,0,negative
14.93377679,1,positive
-13.71946675,0,negative
9.470836414,1,positive
-13.28325698,0,negative
9.697291281,1,positive
-16.60748312,0,negative
9.922864041,1,positive
-16.47224712,0,negative
4.403000293,1,positive
-13.00129871,0,negative
8.664674148,1,positive
-9.803282532,0,negative
-13.52656951,0,negative
-16.86462276,0,negative
12.65465952,1,positive
-14.65820836,0,negative
8.874900093,1,positive
-9.357066176,0,negative
10.67737003,1,positive
-6.758554537,0,negative
17.65741913,1,positive
-13.78552769,0,negative
16.54419648,1,positive
-15.82858215,0,negative
-15.04269075,0,negative
18.52224663,1,positive
-7.963633939,0,negative
14.94306505,1,positive
-7.517662294,0,negative
14.07366583,1,positive
-14.30211899,0,negative
-3.935908831,1,positive
-11.10852914,0,negative
13.64683692,1,positive
-8.35260765,0,negative
6.492594468,1,positive
-20.67700543,0,negative
2.668286264,1,positive
-21.05467186,0,negative
5.853814847,1,positive
-19.32837154,0,negative
6.543886841,1,positive
-8.695808954,0,negative
12.81081665,1,positive
-12.16898952,0,negative
20.26323498,1,positive
-1.280637159,0,negative
14.9196806,1,positive
-17.35416926,0,negative
13.35852174,1,positive
-16.83481576,0,negative
13.1150097,1,positive
-18.08880096,0,negative
8.672169846,1,positive
-9.042114626,0,negative
16.92312338,1,positive
-16.595705,0,negative
8.646161592,1,positive
-14.39621413,0,negative
10.42937568,1,positive
-15.26646337,0,negative
14.99756451,1,positive
-9.665016633,0,negative
5.392898938,1,positive
-13.38488431,0,negative
11.06318158,1,positive
-14.33929873,0,negative
17.16000573,1,positive
-13.54855104,0,negative
18.15373856,1,positive
-15.09038027,0,negative
16.79338583,1,positive
-20.12408285,0,negative
3.961803345,1,positive
-18.21550199,0,negative
3.526947034,1,positive
-22.03926717,0,negative
7.636194009,1,positive
-7.003614454,0,negative
12.70120667,1,positive
-16.65521617,0,negative
10.17083764,1,positive
-20.04931897,0,negative
13.91786113,1,positive
-5.284784461,0,negative
11.2427969,1,positive
-15.71521766,0,negative
8.700156658,1,positive
-12.40612066,0,negative
9.977615844,1,positive
-22.7930569,0,negative
17.12718319,1,positive
-18.21300398,0,negative
22.23049337,1,positive
-15.0407251,0,negative
22.3655829,1,positive
-7.873656272,0,negative
24.71973899,1,positive
-6.490237401,0,negative
17.53220358,1,positive
-5.739892213,0,negative
20.11229841,1,positive
-13.60496917,0,negative
16.06212495,1,positive
-4.674338854,0,negative
23.35165037,1,positive
-17.79509604,0,negative
17.67504557,1,positive
-15.50958016,0,negative
11.16892701,1,positive
-17.94283574,0,negative
13.51594531,1,positive
-20.94468065,0,negative
7.806229719,1,positive
-17.35560875,0,negative
-5.168726836,1,positive
-13.53649509,0,negative
7.567652366,1,positive
-17.19560264,0,negative
11.39062874,1,positive
-7.04394998,0,negative
17.28856522,1,positive
13.20999899,1,positive
24.91116426,1,positive
-7.524519212,0,negative
25.9434253,1,positive
-17.71483365,0,negative
28.08012847,1,positive
-16.57341938,0,negative
19.5369964,1,positive
-28.33260282,0,negative
-1.082049641,1,positive
-24.92111381,0,negative
4.927929793,1,positive
-21.23669021,0,negative
6.711138657,1,positive
-1.845811996,0,negative
18.08368192,1,positive
-16.54226783,0,negative
19.95275499,1,positive
-12.4538757,0,negative
18.66998751,1,positive
