row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9721120066,1.359739956e-16,3
MeanDiff,LogReg,0.6588391131,0,3
MeanDiff,PCA,0.9540689139,6.788470633e-09,3
MeanDiff,Random,0.01972757023,0.01434252586,3
KMeans,MeanDiff,0.9721120066,1.359739956e-16,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.5353646252,0,3
KMeans,PCA,0.9913800527,2.458319244e-09,3
KMeans,Random,0.02545687587,0.008998050642,3
LogReg,MeanDiff,0.6588391131,0,3
LogReg,KMeans,0.5353646252,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.4841517786,2.321809639e-08,3
LogReg,Random,0.005801566202,0.01807400752,3
PCA,MeanDiff,0.9540689139,6.788470633e-09,3
PCA,KMeans,0.9913800527,2.458319244e-09,3
PCA,LogReg,0.4841517786,2.321809639e-08,3
PCA,PCA,1,0,3
PCA,Random,0.02472926408,0.006709315261,3
Random,MeanDiff,0.01972757023,0.01434252586,3
Random,KMeans,0.02545687587,0.008998050642,3
Random,LogReg,0.005801566202,0.01807400752,3
Random,PCA,0.02472926408,0.006709315261,3
Random,Random,1,0,3
