layer,accuracy_mean,agreement_mean
1,0.9475649535,0.343539571
2,0.9422796087,0.3454277681
3,0.9424459059,0.365778345
4,0.9544805379,0.402531362
5,0.9594832389,0.3097812578
6,0.9594830548,0.7402951977
7,0.9641398222,0.3546407809
8,0.9596024891,0.3019679722
9,0.9665207746,0.3785564135
10,0.9569838282,0.3981061763
11,0.961748434,0.4033438024
12,0.9618090229,0.7005618827
13,0.9545500217,0.4167333333
14,0.9616402089,0.4316364268
15,0.9641346043,0.4439825548
16,0.9641899753,0.3855178229
17,0.9641346043,0.4509565952
18,0.9594280705,0.4182961867
19,0.9571024891,0.4043536004
20,0.9665736287,0.4010341315
21,0.9571578601,-0.02134975363
22,0.9548851328,-0.03066249302
