row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.02218505169
MeanDiff,LogReg,0.6289708508
MeanDiff,PCA,0.8145446739
MeanDiff,Random,0.008294284252
KMeans,MeanDiff,0.02218505169
KMeans,KMeans,1
KMeans,LogReg,-0.007366244124
KMeans,PCA,0.3956117662
KMeans,Random,-0.002674014012
LogReg,MeanDiff,0.6289708508
LogReg,KMeans,-0.007366244124
LogReg,LogReg,1
LogReg,PCA,0.3310426104
LogReg,Random,-0.03007551367
PCA,MeanDiff,0.8145446739
PCA,KMeans,0.3956117662
PCA,LogReg,0.3310426104
PCA,PCA,1
PCA,Random,0.01274883707
Random,MeanDiff,0.008294284252
Random,KMeans,-0.002674014012
Random,LogReg,-0.03007551367
Random,PCA,0.01274883707
Random,Random,1
