row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.01688549583
MeanDiff,LogReg,0.5167581433
MeanDiff,PCA,0.02551477789
MeanDiff,Random,0.017684204
KMeans,MeanDiff,0.01688549583
KMeans,KMeans,1
KMeans,LogReg,0.0001269770067
KMeans,PCA,-0.976480837
KMeans,Random,0.0006203032647
LogReg,MeanDiff,0.5167581433
LogReg,KMeans,0.0001269770067
LogReg,LogReg,1
LogReg,PCA,0.01118618995
LogReg,Random,-0.006476552694
PCA,MeanDiff,0.02551477789
PCA,KMeans,-0.976480837
PCA,LogReg,0.01118618995
PCA,PCA,1
PCA,Random,-0.001407990592
Random,MeanDiff,0.017684204
Random,KMeans,0.0006203032647
Random,LogReg,-0.006476552694
Random,PCA,-0.001407990592
Random,Random,1
