projection,y,level
-14.01482413,0,negative
27.04386992,1,positive
-6.577044595,0,negative
14.68508788,1,positive
-6.413067362,0,negative
21.96753945,1,positive
-18.50877762,0,negative
15.87158441,1,positive
-13.42093324,0,negative
12.52289526,1,positive
-18.01990507,0,negative
13.53670641,1,positive
-25.39879827,0,negative
6.113727709,1,positive
-18.27791771,0,negative
5.21895096,1,positive
-27.02374457,0,negative
8.132611654,1,positive
-7.254606232,0,negative
20.57460818,1,positive
0.9291253333,0,negative
14.03212861,1,positive
5.641919379,0,negative
12.56618047,1,positive
-20.95027551,0,negative
11.98192843,1,positive
-12.91033775,0,negative
-3.94479965,1,positive
-12.5004759,0,negative
1.251767779,1,positive
-1.769374458,0,negative
13.77604723,1,positive
-18.21857449,0,negative
7.727957062,1,positive
-6.117362141,0,negative
13.71417568,1,positive
14.08379999,1,positive
-20.60687092,0,negative
17.2722691,1,positive
-8.334991548,0,negative
14.84466233,1,positive
6.774083034,1,positive
-13.42493213,0,negative
-0.1487393049,1,positive
-17.46197509,0,negative
7.043397563,1,positive
-9.239095948,0,negative
13.77919018,1,positive
-11.50679398,0,negative
3.567654812,1,positive
-11.64859272,0,negative
7.407235082,1,positive
-16.27734414,0,negative
7.743162522,1,positive
-16.32699634,0,negative
8.691991592,1,positive
-20.38409126,0,negative
-19.0940323,0,negative
5.897602524,1,positive
-17.02443879,0,negative
7.011393193,1,positive
-13.04673956,0,negative
4.779418458,1,positive
-18.50352848,0,negative
2.99245531,1,positive
-26.26435469,0,negative
5.189669292,1,positive
-14.63001026,0,negative
2.038081257,1,positive
-14.32442396,0,negative
16.2811849,1,positive
-12.53290838,0,negative
21.66795181,1,positive
-15.78955834,0,negative
17.30382326,1,positive
-14.0174014,0,negative
10.34736399,1,positive
-20.4145876,0,negative
10.53408236,1,positive
-13.80744608,0,negative
-20.34881821,0,negative
8.272968551,1,positive
-10.76733773,0,negative
7.382532577,1,positive
-21.33010748,0,negative
15.71966622,1,positive
-20.69253319,0,negative
22.91884303,1,positive
-10.51209848,0,negative
20.80176533,1,positive
-22.16696326,0,negative
