row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.999236705
MeanDiff,LogReg,0.7738737385
MeanDiff,PCA,0.987281103
MeanDiff,Random,0.002454245999
KMeans,MeanDiff,0.999236705
KMeans,KMeans,1
KMeans,LogReg,0.7591986428
KMeans,PCA,0.9903959175
KMeans,Random,0.003082622276
LogReg,MeanDiff,0.7738737385
LogReg,KMeans,0.7591986428
LogReg,LogReg,1
LogReg,PCA,0.6972037176
LogReg,Random,-0.0114126583
PCA,MeanDiff,0.987281103
PCA,KMeans,0.9903959175
PCA,LogReg,0.6972037176
PCA,PCA,1
PCA,Random,0.007110363447
Random,MeanDiff,0.002454245999
Random,KMeans,0.003082622276
Random,LogReg,-0.0114126583
Random,PCA,0.007110363447
Random,Random,1
