layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.6912721146,0.3040061601,0.001142944417,3
2,0.7779337394,0.2900368898,0,3
3,0.821225657,0.2699180581,0,3
4,0.8397997866,0.2775264582,5.77350317e-11,3
5,0.8925637667,0.2953853467,1.732050951e-10,3
6,0.8755587518,0.3076214058,5.77350317e-11,3
7,0.9282038868,0.3099778817,1.781130353e-07,3
8,0.9115318181,0.318289353,2.567041163e-07,3
9,0.9089950391,0.2521475776,0.1504271583,3
10,0.8971884369,0.447537523,0.1697383746,3
11,0.9041853487,0.6573393568,0.0003420776463,3
12,0.889994688,0.6446458863,0.0008209037427,3
13,0.9114342661,0.6455745786,0.0008824967504,3
14,0.9110430453,0.6235546756,0.0007326836174,3
15,0.9283711252,0.6697914392,0.000822585857,3
16,0.9305379764,0.6857583715,0.002287491573,3
17,0.9280379764,0.7147647714,0.01145717659,3
18,0.9081626286,0.7397470144,5.40315957e-08,3
19,0.910601653,0.7643627636,0.0001241357571,3
20,0.9203025822,0.7529798825,0.0002885621767,3
21,0.9228606542,0.7396865414,0.0005658994585,3
22,0.9253606542,0.7553242221,0.0007103796823,3
23,0.9204216298,0.752902697,0.000204620462,3
24,0.9446008787,0.7549394173,0.002640321768,3
25,0.8961941901,0.4406974199,8.118497415e-09,3
