row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9959370686,0.0002115053429,3
MeanDiff,LogReg,0.6688996937,1.359739956e-16,3
MeanDiff,PCA,0.9776532989,1.066083174e-08,3
MeanDiff,Random,0.01374770376,0.01153242724,3
KMeans,MeanDiff,0.9959370686,0.0002115053429,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.6250125286,0.001077339759,3
KMeans,PCA,0.9860578585,0.0002830092501,3
KMeans,Random,0.01343017786,0.01269878982,3
LogReg,MeanDiff,0.6688996937,1.359739956e-16,3
LogReg,KMeans,0.6250125286,0.001077339759,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.5587157553,3.982248109e-08,3
LogReg,Random,0.01347309359,0.0114807756,3
PCA,MeanDiff,0.9776532989,1.066083174e-08,3
PCA,KMeans,0.9860578585,0.0002830092501,3
PCA,LogReg,0.5587157553,3.982248109e-08,3
PCA,PCA,1,0,3
PCA,Random,0.01117091489,0.01711423097,3
Random,MeanDiff,0.01374770376,0.01153242724,3
Random,KMeans,0.01343017786,0.01269878982,3
Random,LogReg,0.01347309359,0.0114807756,3
Random,PCA,0.01117091489,0.01711423097,3
Random,Random,1,0,3
