projection,y,level
-18.30572942,0,negative
0.8366014166,1,neutral
-16.6423306,0,negative
7.789494748,1,neutral
-8.631122911,0,negative
27.09896712,1,neutral
-40.89422015,0,negative
20.301555,1,neutral
-29.75158107,0,negative
37.71147846,1,neutral
-25.26408533,0,negative
-35.94886479,0,negative
5.470409887,1,neutral
-27.50205379,0,negative
-2.555996522,1,neutral
-38.69055945,0,negative
-5.110669399,1,neutral
-37.68566076,0,negative
20.48818441,1,neutral
-26.81487384,0,negative
0.8484785967,1,neutral
-7.593250812,0,negative
1.57472243,1,neutral
-42.63953493,0,negative
23.59664244,1,neutral
-19.81192295,0,negative
18.71062719,1,neutral
-11.60753974,0,negative
31.50375815,1,neutral
14.71923252,0,negative
21.70307729,1,neutral
-34.60008102,0,negative
9.763641007,1,neutral
-6.676946833,0,negative
48.97922494,1,neutral
24.42741983,1,neutral
-24.79954178,0,negative
32.99239638,1,neutral
-17.29476517,0,negative
30.52781313,1,neutral
-0.5083152213,1,neutral
-22.4108249,0,negative
22.35243983,1,neutral
-27.43658938,0,negative
-2.638136511,1,neutral
-4.500743355,0,negative
33.71727682,1,neutral
-9.209260613,0,negative
43.35003538,1,neutral
0.5969970022,0,negative
16.28413809,1,neutral
-45.27374003,0,negative
33.223287,1,neutral
-33.81254162,0,negative
27.76009034,1,neutral
-51.28470725,0,negative
20.70424825,1,neutral
-27.87961184,0,negative
32.89442298,1,neutral
-38.53040197,0,negative
41.32226439,1,neutral
-22.08792176,0,negative
46.28803024,1,neutral
-47.81505667,0,negative
8.880211222,1,neutral
-40.92488102,0,negative
11.24536325,1,neutral
-51.331125,0,negative
27.429225,1,neutral
-29.30900532,0,negative
24.70511778,1,neutral
-14.39660245,0,negative
25.03521258,1,neutral
-28.95703898,0,negative
44.44392908,1,neutral
-37.60002332,0,negative
37.98381098,1,neutral
-29.55758367,0,negative
44.29176928,1,neutral
-26.06565643,0,negative
40.3806661,1,neutral
-28.47184681,0,negative
43.09102021,1,neutral
-19.87417604,0,negative
32.36572613,1,neutral
-45.90558674,0,negative
42.21420713,1,neutral
-38.60520744,0,negative
28.31590467,1,neutral
-24.25510703,0,negative
16.83883216,1,neutral
-36.29424544,0,negative
30.22163088,1,neutral
-47.28036908,0,negative
-20.31286768,1,neutral
-22.55462392,0,negative
-18.21267412,1,neutral
-30.05395841,0,negative
-3.692847658,1,neutral
-41.26731943,0,negative
26.39115081,1,neutral
-47.86564332,0,negative
25.77375069,1,neutral
-23.73243508,0,negative
22.2222485,1,neutral
-1.631219868,0,negative
49.38382074,1,neutral
-22.90161292,0,negative
43.61665068,1,neutral
-32.4467121,0,negative
35.61252404,1,neutral
-19.69932822,0,negative
26.17528655,1,neutral
4.485869105,0,negative
29.13797153,1,neutral
-21.21813596,0,negative
17.458666,1,neutral
-22.19778253,0,negative
28.30736064,1,neutral
-9.771375767,0,negative
6.684097747,1,neutral
-15.34019003,0,negative
20.48736894,1,neutral
7.74897172,0,negative
26.51256502,1,neutral
-2.442164583,0,negative
21.07245536,1,neutral
-22.47510276,0,negative
21.85849958,1,neutral
-5.708923502,0,negative
34.86984685,1,neutral
-17.92701258,0,negative
17.49904928,1,neutral
-11.71241948,0,negative
25.70769569,1,neutral
-17.66364685,0,negative
31.57559979,1,neutral
-29.19172377,0,negative
20.55710905,1,neutral
-17.31538442,0,negative
26.9510059,1,neutral
-13.18292702,0,negative
31.40383051,1,neutral
-27.92717378,0,negative
42.3375744,1,neutral
-39.27174218,0,negative
43.3042797,1,neutral
-8.654465915,0,negative
8.345763278,1,neutral
-14.7064666,0,negative
-7.158803342,1,neutral
-31.38047342,0,negative
9.582131719,1,neutral
-4.175124575,0,negative
49.85366956,1,neutral
-4.152561517,0,negative
4.967428023,1,neutral
-17.89458427,0,negative
5.226222986,1,neutral
-47.7047965,0,negative
21.77280535,1,neutral
-33.41630965,0,negative
13.90076412,1,neutral
-11.69742813,0,negative
17.50355618,1,neutral
13.43467034,0,negative
36.47624558,1,neutral
11.65827586,0,negative
32.23567484,1,neutral
-1.490741505,0,negative
30.68979445,1,neutral
-16.08944652,0,negative
42.92288882,1,neutral
-21.19411775,0,negative
60.47839445,1,neutral
-27.28114166,0,negative
51.06054783,1,neutral
8.109210502,0,negative
32.56355742,1,neutral
40.78825749,0,negative
61.5835923,1,neutral
21.05649144,0,negative
57.37241804,1,neutral
-27.67303386,0,negative
34.16998527,1,neutral
-17.46211993,0,negative
21.73270839,1,neutral
-18.06382788,0,negative
36.35800168,1,neutral
-16.45404522,0,negative
22.38680253,1,neutral
-1.885460695,0,negative
20.38050317,1,neutral
-18.05248158,0,negative
26.62434215,1,neutral
6.51708326,0,negative
46.80731918,1,neutral
-13.73683242,0,negative
38.0441229,1,neutral
-25.97897897,0,negative
36.33211972,1,neutral
5.006812649,0,negative
37.45560748,1,neutral
11.90065998,0,negative
38.78700501,1,neutral
-29.71427903,0,negative
40.440548,1,neutral
-6.148863176,0,negative
73.47697221,1,neutral
-5.821748125,0,negative
31.22457576,1,neutral
-8.845629751,0,negative
35.6167762,1,neutral
-12.13648874,0,negative
14.17446476,1,neutral
-11.88300808,0,negative
10.58273927,1,neutral
-25.80611623,0,negative
14.0010636,1,neutral
-15.12876637,0,negative
21.42965965,1,neutral
-19.32028123,0,negative
21.18059539,1,neutral
-22.7424659,0,negative
6.529387022,1,neutral
6.585574428,0,negative
23.38754347,1,neutral
8.628517615,0,negative
22.8163492,1,neutral
5.14170094,0,negative
24.55418498,1,neutral
-13.04706618,0,negative
35.64780038,1,neutral
-17.82956496,0,negative
55.05850133,1,neutral
-30.73828423,0,negative
21.32436114,1,neutral
-18.45329041,0,negative
12.49035993,1,neutral
-19.501035,0,negative
13.88553137,1,neutral
-17.91484695,0,negative
16.51965589,1,neutral
-13.11127247,0,negative
2.478566283,1,neutral
-8.301973289,0,negative
9.922636611,1,neutral
-11.36606579,0,negative
-2.00920425,1,neutral
-38.91336423,0,negative
-9.922492244,1,neutral
-43.14305936,0,negative
9.22107585,1,neutral
-28.06113127,0,negative
-11.99850055,1,neutral
-8.346091897,0,negative
20.69490926,1,neutral
-4.435164214,0,negative
33.27946085,1,neutral
-32.20157873,0,negative
31.96912674,1,neutral
-15.72719977,0,negative
31.63091331,1,neutral
6.913165921,0,negative
35.22946857,1,neutral
3.125684582,0,negative
32.98801523,1,neutral
-12.67941116,0,negative
-3.479661846,1,neutral
-26.69241369,0,negative
4.359934415,1,neutral
-24.77193831,0,negative
-8.544258075,1,neutral
-47.03151565,0,negative
19.53620614,1,neutral
-34.82740754,0,negative
25.52517861,1,neutral
-29.28235759,0,negative
21.70948079,1,neutral
-13.82512745,0,negative
22.27996122,1,neutral
-12.95306159,0,negative
25.7213926,1,neutral
-2.330693118,0,negative
30.94710619,1,neutral
-27.83448922,0,negative
15.44475089,1,neutral
-34.8771561,0,negative
5.57155298,1,neutral
-30.61628031,0,negative
31.77824657,1,neutral
-21.04613628,0,negative
