projection,y,level
-28.89301953,0,negative
-27.10005755,0,negative
-16.29537254,0,negative
32.93263462,1,positive
18.24169523,1,positive
21.11411976,1,positive
-41.12375143,0,negative
-26.78023149,0,negative
-24.71153315,0,negative
37.04843887,1,positive
24.03007122,1,positive
31.53700598,1,positive
-22.48658488,0,negative
-7.616800629,0,negative
-27.71419044,0,negative
13.83722457,1,positive
27.12667294,1,positive
16.85367844,1,positive
-22.40131114,0,negative
-21.7609535,0,negative
-4.697379681,0,negative
21.2102835,1,positive
7.680231158,1,positive
19.96912966,1,positive
-36.19810391,0,negative
-12.97720032,0,negative
-5.436784528,0,negative
36.56212244,1,positive
-2.380339195,1,positive
20.43030551,1,positive
6.947138872,0,negative
-43.96294637,0,negative
-15.31193476,0,negative
24.73614177,1,positive
5.4819178,1,positive
22.10968268,1,positive
-31.54140206,0,negative
-20.77947655,0,negative
17.34680179,1,positive
15.76421241,1,positive
19.20986442,1,positive
-12.04623187,0,negative
-20.6217392,0,negative
16.71327697,1,positive
3.443002759,1,positive
12.51169135,1,positive
-18.40599919,0,negative
-22.36570249,0,negative
-17.95481083,0,negative
22.75609402,1,positive
20.1093878,1,positive
15.86103069,1,positive
-21.51607693,0,negative
-24.48521358,0,negative
-25.9426237,0,negative
31.02857725,1,positive
40.91533697,1,positive
-25.41928819,0,negative
-37.2876386,0,negative
-18.29328497,0,negative
29.50310584,1,positive
41.99975194,1,positive
9.497353969,1,positive
-21.40519782,0,negative
-30.09544539,0,negative
-26.05401599,0,negative
14.36647847,1,positive
41.87833274,1,positive
21.30984799,1,positive
-34.24037238,0,negative
-18.10466391,0,negative
-40.78948839,0,negative
28.51774649,1,positive
38.88494269,1,positive
25.73183549,1,positive
-33.71678366,0,negative
-21.69856418,0,negative
-17.63769537,0,negative
35.56207692,1,positive
37.49096629,1,positive
-20.65007483,0,negative
-23.37399928,0,negative
-35.647607,0,negative
30.25977731,1,positive
10.1366807,1,positive
39.2752231,1,positive
-33.36038356,0,negative
-25.53179565,0,negative
-34.15209588,0,negative
36.81150255,1,positive
30.34097158,1,positive
25.89180096,1,positive
-38.75963331,0,negative
-12.33538536,0,negative
-20.36365421,0,negative
26.46952159,1,positive
24.12557547,1,positive
20.86357583,1,positive
-16.91599212,0,negative
-28.99076896,0,negative
-0.528225228,0,negative
7.506833666,1,positive
15.38644793,1,positive
23.54170472,1,positive
-14.47198602,0,negative
-14.65177714,0,negative
-26.83215717,0,negative
23.18164761,1,positive
32.77427273,1,positive
-23.41338845,0,negative
-9.085013785,0,negative
-20.87277465,0,negative
18.05823997,1,positive
21.20329805,1,positive
14.10963887,1,positive
-36.17293378,0,negative
-18.70352897,0,negative
-24.46676045,0,negative
22.73488979,1,positive
31.73049086,1,positive
24.87784254,1,positive
-0.09342206215,0,negative
-3.679541208,0,negative
-24.63877969,0,negative
15.71177681,1,positive
12.18109132,1,positive
0.5188748314,1,positive
-17.48922996,0,negative
-26.11996955,0,negative
-14.41108213,0,negative
27.16910569,1,positive
10.54367452,1,positive
20.30750142,1,positive
-16.57597706,0,negative
-25.34019395,0,negative
-13.33936966,0,negative
22.41029995,1,positive
6.501357641,1,positive
26.34388308,1,positive
-12.8270574,0,negative
-38.22180687,0,negative
-40.05466623,0,negative
38.24096726,1,positive
35.80295034,1,positive
17.0596129,1,positive
-2.459418777,0,negative
-12.12802746,0,negative
-10.62409838,0,negative
8.309277316,1,positive
6.086376529,1,positive
10.81589078,1,positive
-11.96329231,0,negative
-10.68233521,0,negative
-10.85992403,0,negative
6.717189788,1,positive
9.396498567,1,positive
17.3918632,1,positive
-34.65562791,0,negative
-14.21563301,0,negative
-9.74042458,0,negative
23.41042328,1,positive
35.20126222,1,positive
-12.23329816,0,negative
-16.05758925,0,negative
-27.40202167,0,negative
19.31085144,1,positive
22.567722,1,positive
13.81433564,1,positive
-19.63392485,0,negative
-17.26580632,0,negative
-26.24792632,0,negative
28.64226104,1,positive
24.69110895,1,positive
9.81428749,1,positive
-21.17471572,0,negative
-3.3192623,0,negative
-12.85452946,0,negative
9.318916271,1,positive
10.37598463,1,positive
17.65360658,1,positive
-26.89365962,0,negative
-22.34456802,0,negative
-23.7053669,0,negative
33.30220109,1,positive
19.9303144,1,positive
19.71107905,1,positive
-18.32008773,0,negative
2.548569088,0,negative
-8.849820627,0,negative
24.62133927,1,positive
1.261102845,0,negative
-17.38884998,0,negative
-39.97767853,0,negative
22.4555221,1,positive
26.06610812,1,positive
7.583795438,1,positive
-24.14356698,0,negative
-8.992820978,0,negative
-43.37735587,0,negative
33.22911306,1,positive
23.14307111,1,positive
20.14155965,1,positive
-21.63144641,0,negative
-20.08079589,0,negative
-20.26423013,0,negative
35.07515856,1,positive
10.61361671,1,positive
16.28769714,1,positive
-15.39592685,0,negative
-20.79514854,0,negative
-34.50363162,0,negative
18.70932925,1,positive
22.34206351,1,positive
29.64331425,1,positive
-25.53749747,0,negative
-20.78123862,0,negative
-12.35682176,0,negative
9.159170793,1,positive
30.56683739,1,positive
18.94954967,1,positive
-18.50388298,0,negative
-16.78292064,0,negative
-26.370516,0,negative
27.70104444,1,positive
13.60832722,1,positive
20.34794796,1,positive
-21.17719228,0,negative
-15.43735274,0,negative
-24.73301838,0,negative
16.73018922,1,positive
28.38941919,1,positive
16.22795498,1,positive
-10.80663966,0,negative
-20.50395418,0,negative
-16.85196837,0,negative
18.26339745,1,positive
18.87772355,1,positive
11.02144121,1,positive
-13.09997639,0,negative
-6.790834078,0,negative
-8.147237802,0,negative
28.03804827,1,positive
-29.71297121,0,negative
-38.66394831,0,negative
-8.984114274,0,negative
19.34493253,1,positive
32.42348404,1,positive
25.59261722,1,positive
-14.65159328,0,negative
-17.73547007,0,negative
-28.3469536,0,negative
33.67496931,1,positive
27.05904764,1,positive
-40.06075443,0,negative
-12.26533884,0,negative
-14.00550487,0,negative
27.49153312,1,positive
19.6944289,1,positive
19.14563612,1,positive
-3.170042103,0,negative
-11.50156617,0,negative
-9.168672781,0,negative
-1.683193124,1,positive
14.28410123,1,positive
11.23937295,1,positive
-26.61658344,0,negative
-17.63477,0,negative
-20.14018161,0,negative
29.10046353,1,positive
19.05434164,1,positive
16.23672988,1,positive
-22.36362996,0,negative
-36.04349082,0,negative
-15.73682087,0,negative
21.24359908,1,positive
29.10075903,1,positive
23.79958354,1,positive
-28.86864843,0,negative
-24.42792447,0,negative
-36.20295829,0,negative
29.85632173,1,positive
33.55211026,1,positive
26.09109919,1,positive
-25.83254021,0,negative
-30.61935727,0,negative
-31.74489894,0,negative
30.50325765,1,positive
31.69786014,1,positive
25.99567862,1,positive
-26.93052758,0,negative
-14.26296987,0,negative
-25.50425466,0,negative
29.47925334,1,positive
15.94368616,1,positive
21.27481261,1,positive
-25.85370722,0,negative
-40.61105151,0,negative
-21.635531,0,negative
31.57174766,1,positive
31.83815651,1,positive
24.69038556,1,positive
-26.95782597,0,negative
-24.62374493,0,negative
-24.99639248,0,negative
34.37545687,1,positive
15.55154304,1,positive
26.65096347,1,positive
-1.894767841,0,negative
-31.6570203,0,negative
-41.10793774,0,negative
24.43534371,1,positive
20.44367411,1,positive
29.78070806,1,positive
-2.013315782,0,negative
-17.11730999,0,negative
-30.58954101,0,negative
12.30783136,1,positive
15.53042539,1,positive
21.88191002,1,positive
-39.6352166,0,negative
-35.48249807,0,negative
-34.44810318,0,negative
31.87855913,1,positive
36.48103639,1,positive
41.20622233,1,positive
-42.09337601,0,negative
-37.26655609,0,negative
-9.247405856,0,negative
37.35058658,1,positive
24.10951459,1,positive
27.14723678,1,positive
-28.52790127,0,negative
-15.40925919,0,negative
-31.94750267,0,negative
17.71337143,1,positive
31.99288602,1,positive
26.17840568,1,positive
-38.71548365,0,negative
-20.93568921,0,negative
-26.00498276,0,negative
42.13726223,1,positive
36.50911,1,positive
7.009783395,1,positive
-29.20995034,0,negative
-17.05259136,0,negative
-17.7773972,0,negative
0.5442228147,1,positive
36.09442061,1,positive
27.40129547,1,positive
-44.16743859,0,negative
25.82700053,1,positive
-8.860382474,1,positive
27.20082053,1,positive
-14.1044948,0,negative
-50.35096592,0,negative
-40.08369478,0,negative
37.4201682,1,positive
42.52832717,1,positive
24.59066013,1,positive
-21.91224294,0,negative
-10.85380831,0,negative
-18.41237195,0,negative
7.21999345,1,positive
35.21908973,1,positive
8.739340012,1,positive
-13.37688247,0,negative
-45.44864468,0,negative
-50.05666291,0,negative
38.93509938,1,positive
32.70320586,1,positive
37.24388482,1,positive
-23.78596134,0,negative
-17.25237427,0,negative
-42.38985798,0,negative
30.20186519,1,positive
32.61829706,1,positive
20.60803134,1,positive
-42.50712818,0,negative
-20.67739031,0,negative
-15.17895509,0,negative
17.59705794,1,positive
27.88294864,1,positive
32.883467,1,positive
-20.60217132,0,negative
-33.07682636,0,negative
-8.911515848,0,negative
9.63338323,1,positive
29.13355134,1,positive
23.82357896,1,positive
10.28945282,0,negative
-9.99042708,0,negative
-10.99625919,0,negative
2.249557129,1,positive
25.62661739,1,positive
-17.17894106,1,positive
-21.73123354,0,negative
-16.07918417,0,negative
-27.58506446,0,negative
13.65983683,1,positive
25.44121013,1,positive
26.29443521,1,positive
-23.71553041,0,negative
-17.32928654,0,negative
-12.35897262,0,negative
14.79468182,1,positive
28.93996725,1,positive
9.669140497,1,positive
-21.35443418,0,negative
-11.38769554,0,negative
-19.74114996,0,negative
37.07781014,1,positive
2.330152936,1,positive
13.0753166,1,positive
-37.42428115,0,negative
-31.66901375,0,negative
-37.49531406,0,negative
38.05771939,1,positive
39.33238924,1,positive
29.19850031,1,positive
