projection,y,level
-10.81347942,0,negative
50.09546743,1,positive
-9.205803596,0,negative
36.01685613,1,positive
1.577556997,0,negative
38.67195868,1,positive
-39.42139038,0,negative
38.65881098,1,positive
-24.59342254,0,negative
25.798688,1,positive
-22.56862937,0,negative
33.18487131,1,positive
-30.06694622,0,negative
6.47814284,1,positive
-15.63571225,0,negative
19.15469368,1,positive
-35.17599001,0,negative
9.375581416,1,positive
-13.4890524,0,negative
30.96920379,1,positive
-12.39741243,0,negative
17.27592814,1,positive
4.008110542,0,negative
29.6691763,1,positive
-35.9344608,0,negative
36.51545653,1,positive
-12.81587126,0,negative
-2.825057811,1,positive
-4.975511656,0,negative
20.03096232,1,positive
21.89615791,0,negative
39.19306136,1,positive
-29.1936097,0,negative
19.94194009,1,positive
-0.691040548,0,negative
36.89545896,1,positive
33.166415,1,positive
-15.96499537,0,negative
31.57471238,1,positive
-5.108491107,0,negative
35.08574833,1,positive
5.701234466,1,positive
-23.28355123,0,negative
-7.570815536,1,positive
-31.95873524,0,negative
1.245742374,1,positive
-10.58762596,0,negative
30.43006892,1,positive
-14.76618204,0,negative
27.43536113,1,positive
-10.05765053,0,negative
23.59935184,1,positive
-31.03528248,0,negative
21.64094956,1,positive
-33.72266887,0,negative
31.35383123,1,positive
-35.59345084,0,negative
-25.71822356,0,negative
28.58981437,1,positive
-37.81707575,0,negative
41.12272284,1,positive
-18.60454332,0,negative
8.752377673,1,positive
-34.24697995,0,negative
1.075805005,1,positive
-43.11961619,0,negative
28.57469435,1,positive
-39.08162311,0,negative
8.112169189,1,positive
-16.0055144,0,negative
46.53299941,1,positive
0.3541156786,0,negative
56.98976572,1,positive
-22.24156319,0,negative
43.59046067,1,positive
-28.71943188,0,negative
40.2972347,1,positive
-17.36367372,0,negative
42.00292504,1,positive
-12.95617991,0,negative
-16.7786507,0,negative
34.06482372,1,positive
-19.29939496,0,negative
14.58688653,1,positive
-31.92434877,0,negative
43.23111524,1,positive
-24.06260489,0,negative
46.0139998,1,positive
-16.14872016,0,negative
39.15807696,1,positive
-24.84077285,0,negative
34.53775621,1,positive
-45.62214239,0,negative
19.37332537,1,positive
-19.28317129,0,negative
17.38576853,1,positive
-27.21128859,0,negative
14.28219018,1,positive
-30.18083284,0,negative
-5.279613831,1,positive
-42.07797224,0,negative
2.576003905,1,positive
-14.07605278,0,negative
11.05544519,1,positive
-8.322150772,0,negative
29.44469758,1,positive
-9.095113895,0,negative
38.37577912,1,positive
-20.98332132,0,negative
-10.19299788,0,negative
30.7226206,1,positive
3.828231401,0,negative
33.91787894,1,positive
-8.271753667,0,negative
26.61074245,1,positive
-20.95368288,0,negative
37.21732163,1,positive
-3.746216762,0,negative
46.59766802,1,positive
-9.378017025,0,negative
39.5543887,1,positive
10.80812789,0,negative
26.44814441,1,positive
7.071186206,0,negative
22.83096948,1,positive
-13.78392894,0,negative
11.41675662,1,positive
-5.837219106,0,negative
39.29496046,1,positive
-14.54574962,0,negative
22.12534054,1,positive
-2.843631954,0,negative
31.99580717,1,positive
0.3410969666,0,negative
39.57537496,1,positive
-8.537968397,0,negative
23.8736918,1,positive
3.34021737,0,negative
43.86054774,1,positive
-2.220260611,0,negative
48.71533711,1,positive
-26.96323052,0,negative
46.76346395,1,positive
-28.5322802,0,negative
27.41149779,1,positive
-2.891396437,0,negative
8.117233659,1,positive
-12.17855624,0,negative
6.444705679,1,positive
-11.51618384,0,negative
10.71846457,1,positive
0.4670609106,0,negative
19.50784717,1,positive
1.769397346,0,negative
22.12150169,1,positive
1.484054724,0,negative
29.98891939,1,positive
-32.56551191,0,negative
-12.39960292,0,negative
25.34661283,1,positive
-7.91480178,0,negative
37.11502927,1,positive
15.88851602,0,negative
46.8835191,1,positive
11.46032589,0,negative
50.13400508,1,positive
0.4329590569,0,negative
41.38369458,1,positive
-8.507101813,0,negative
39.56118198,1,positive
-6.327015268,0,negative
35.33930624,1,positive
-15.39759912,0,negative
20.78118507,1,positive
15.04422034,0,negative
46.0185087,1,positive
32.92609007,0,negative
46.99464214,1,positive
23.29510667,0,negative
54.20406915,1,positive
-17.09747798,0,negative
42.01952503,1,positive
-13.10816741,0,negative
29.15296904,1,positive
-13.76303217,0,negative
28.852689,1,positive
-10.9755831,0,negative
7.983647356,0,negative
30.48527027,1,positive
-2.605177399,0,negative
10.7676475,0,negative
32.03614486,1,positive
-7.709249854,0,negative
35.67483717,1,positive
-30.49272946,0,negative
17.25088818,1,positive
4.95276523,0,negative
62.66041442,1,positive
19.90197392,0,negative
52.25507207,1,positive
-13.65198177,0,negative
49.47060927,1,positive
-8.137067477,0,negative
48.14997878,1,positive
-6.577158136,0,negative
23.84367438,1,positive
-6.990508475,0,negative
29.36934835,1,positive
-3.7824603,0,negative
30.05470585,1,positive
-8.919913393,0,negative
33.73461085,1,positive
-22.4199796,0,negative
40.97074531,1,positive
-11.69240899,0,negative
23.66019112,1,positive
-6.439472397,0,negative
44.31852886,1,positive
1.305739013,0,negative
33.14422095,1,positive
11.92620328,0,negative
58.32446224,1,positive
13.64339371,0,negative
44.3467481,1,positive
4.63440063,0,negative
51.27532356,1,positive
-7.688848712,0,negative
29.87258917,1,positive
-1.877533807,0,negative
41.91314593,1,positive
-11.01744985,0,negative
30.07710552,1,positive
-5.646116956,0,negative
23.84220225,1,positive
-15.31724183,0,negative
24.13479832,1,positive
-11.98510374,0,negative
16.84781852,1,positive
-12.8236999,0,negative
28.17346956,1,positive
-6.57054386,0,negative
-8.21309686,0,negative
