row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8863500902,0.002409073323,3
MeanDiff,LogReg,0.6316622246,0,3
MeanDiff,PCA,0.8396218705,3.149410315e-07,3
MeanDiff,Random,0.01638774084,0.005004432448,3
KMeans,MeanDiff,0.8863500902,0.002409073323,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.3464254246,0.002639595414,3
KMeans,PCA,0.9834235563,0.0008974621147,3
KMeans,Random,0.00603124612,0.01562554539,3
LogReg,MeanDiff,0.6316622246,0,3
LogReg,KMeans,0.3464254246,0.002639595414,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.2869286114,5.447023622e-07,3
LogReg,Random,0.01641901634,0.01724470069,3
PCA,MeanDiff,0.8396218705,3.149410315e-07,3
PCA,KMeans,0.9834235563,0.0008974621147,3
PCA,LogReg,0.2869286114,5.447023622e-07,3
PCA,PCA,1,0,3
PCA,Random,0.005859069256,0.01679392567,3
Random,MeanDiff,0.01638774084,0.005004432448,3
Random,KMeans,0.00603124612,0.01562554539,3
Random,LogReg,0.01641901634,0.01724470069,3
Random,PCA,0.005859069256,0.01679392567,3
Random,Random,1,0,3
