row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.1185272936,0.0147523485,3
MeanDiff,LogReg,0.5378282244,0,3
MeanDiff,PCA,0.1697419342,3.22615712e-06,3
MeanDiff,Random,0.01676707615,0.004385404085,3
KMeans,MeanDiff,0.1185272936,0.0147523485,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01007152416,0.002632641274,3
KMeans,PCA,0.937608684,0.0008986862191,3
KMeans,Random,0.0116472506,0.00632609784,3
LogReg,MeanDiff,0.5378282244,0,3
LogReg,KMeans,0.01007152416,0.002632641274,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.02117007769,2.539418122e-06,3
LogReg,Random,0.02584053523,0.02435776835,3
PCA,MeanDiff,0.1697419342,3.22615712e-06,3
PCA,KMeans,0.937608684,0.0008986862191,3
PCA,LogReg,0.02117007769,2.539418122e-06,3
PCA,PCA,1,0,3
PCA,Random,0.01304535526,0.01064634789,3
Random,MeanDiff,0.01676707615,0.004385404085,3
Random,KMeans,0.0116472506,0.00632609784,3
Random,LogReg,0.02584053523,0.02435776835,3
Random,PCA,0.01304535526,0.01064634789,3
Random,Random,1,0,3
