projection,y,level
-6.648679638,0,neutral
-22.10395732,0,neutral
-6.810412289,0,neutral
7.78745471,1,positive
12.14011786,1,positive
15.63547668,1,positive
-7.465420097,0,neutral
-16.64590409,0,neutral
7.714961746,1,positive
10.31405519,1,positive
6.08230726,1,positive
-26.25423775,0,neutral
-20.21404953,0,neutral
-17.40044691,0,neutral
12.78952589,1,positive
27.10298552,1,positive
23.97622277,1,positive
-2.725420507,0,neutral
-15.84992597,0,neutral
-10.68765096,0,neutral
13.18447683,1,positive
3.301492145,1,positive
12.77702847,1,positive
-10.95109555,0,neutral
-17.6096515,0,neutral
-24.68429307,0,neutral
17.78444397,1,positive
7.037488908,1,positive
28.42310724,1,positive
-16.20910292,0,neutral
-2.415122434,0,neutral
-19.05306035,0,neutral
14.96542094,1,positive
10.1247274,1,positive
12.58713736,1,positive
-11.89081219,0,neutral
-11.37353178,0,neutral
4.580566767,0,neutral
10.46848689,1,positive
-3.687667648,1,positive
11.90295795,1,positive
-5.793973209,0,neutral
-11.91377081,0,neutral
6.985545476,0,neutral
8.044860249,1,positive
-4.541878426,1,positive
7.219216718,1,positive
-5.681648541,0,neutral
-7.52371632,0,neutral
-10.30692882,0,neutral
10.72329253,1,positive
1.590727768,1,positive
11.19827338,1,positive
1.381521817,0,neutral
-13.11871038,0,neutral
-11.58232066,0,neutral
3.616672105,1,positive
19.70283712,1,positive
0.1224780031,0,neutral
-25.60088636,0,neutral
-4.984233852,0,neutral
12.77082103,1,positive
6.977606368,1,positive
10.71421481,1,positive
-5.278509709,0,neutral
-11.76839513,0,neutral
-11.25390287,0,neutral
5.742781786,1,positive
13.8329559,1,positive
8.725070023,1,positive
-40.99692874,0,neutral
-32.97953879,0,neutral
-49.50882893,0,neutral
36.86868313,1,positive
48.10347043,1,positive
38.5131429,1,positive
-11.489189,0,neutral
-12.19505273,0,neutral
-11.67399652,0,neutral
3.524783117,1,positive
31.83345514,1,positive
-24.66249206,0,neutral
-17.83472139,0,neutral
2.039918951,0,neutral
14.68574913,1,positive
-8.64042032,1,positive
34.41196569,1,positive
-12.55838188,0,neutral
-27.40372937,0,neutral
-38.45891697,0,neutral
28.99292862,1,positive
25.82608059,1,positive
23.60201901,1,positive
-18.20205182,0,neutral
-26.71062328,0,neutral
-30.46564074,0,neutral
21.36819647,1,positive
28.35276127,1,positive
25.65735811,1,positive
-9.590828494,0,neutral
-16.98074613,0,neutral
-10.19108166,0,neutral
11.32293137,1,positive
8.604614111,1,positive
16.8351108,1,positive
-23.92935681,0,neutral
-5.279989472,0,neutral
-23.67995982,0,neutral
24.09779356,1,positive
28.79151255,1,positive
-13.24585411,0,neutral
-14.29787937,0,neutral
-10.54830655,0,neutral
17.59397885,1,positive
8.112865524,1,positive
12.38519566,1,positive
-36.63633276,0,neutral
-12.26577145,0,neutral
-18.24809088,0,neutral
19.65597248,1,positive
27.55329194,1,positive
19.94093067,1,positive
-14.9645879,0,neutral
-9.766906545,0,neutral
-13.86992474,0,neutral
7.423413483,1,positive
10.85413967,1,positive
20.32386603,1,positive
-6.306663077,0,neutral
-13.26454654,0,neutral
-5.733759762,0,neutral
15.43187457,1,positive
4.213261789,1,positive
5.659833019,1,positive
-8.171532645,0,neutral
7.169637448,0,neutral
-2.267559703,0,neutral
-3.348015671,1,positive
8.144516345,1,positive
-1.527045773,1,positive
-6.106049775,0,neutral
-43.21974244,0,neutral
-26.7064196,0,neutral
30.62521248,1,positive
33.95696936,1,positive
11.45002997,1,positive
-2.990702098,0,neutral
-9.407931783,0,neutral
-14.32144893,0,neutral
11.25329772,1,positive
5.64856673,1,positive
9.818218364,1,positive
-38.95707393,0,neutral
-12.67841892,0,neutral
-10.74430754,0,neutral
21.73720434,1,positive
21.10062138,1,positive
19.54197468,1,positive
-10.23346285,0,neutral
-12.82708251,0,neutral
-16.37175221,0,neutral
13.8982299,1,positive
25.53406767,1,positive
-4.438461605,0,neutral
-14.30133966,0,neutral
-10.18854788,0,neutral
6.63074568,1,positive
21.60969643,1,positive
0.6879070369,1,positive
-5.498404245,0,neutral
-14.58980832,0,neutral
-21.73258271,0,neutral
4.770085708,1,positive
21.16904938,1,positive
15.88166019,1,positive
-10.79207289,0,neutral
-10.69641713,0,neutral
-9.378084571,0,neutral
10.16342623,1,positive
12.26419061,1,positive
8.438957754,1,positive
-13.50077704,0,neutral
-13.5468771,0,neutral
-12.61655122,0,neutral
23.65562339,1,positive
15.99376928,1,positive
0.01481269359,1,positive
3.523905235,0,neutral
-13.21142027,0,neutral
-13.51718475,0,neutral
23.20469979,1,positive
-20.54312931,0,neutral
-22.28347911,0,neutral
-22.68289285,0,neutral
9.663530597,1,positive
7.257762655,1,positive
48.58820801,1,positive
-8.405224811,0,neutral
-16.48752893,0,neutral
-10.11896579,0,neutral
9.154221819,1,positive
-1.206112788,1,positive
27.0636105,1,positive
-8.850778304,0,neutral
-7.772979302,0,neutral
-5.915949462,0,neutral
3.65071287,1,positive
11.02027534,1,positive
7.868718862,1,positive
-14.75705901,0,neutral
-19.77686741,0,neutral
-13.78955265,0,neutral
-2.890591309,1,positive
23.87675005,1,positive
27.33732032,1,positive
-6.239555107,0,neutral
-5.258230092,0,neutral
-11.99051082,0,neutral
-11.96661541,1,positive
8.890183908,1,positive
26.56472752,1,positive
-18.77837393,0,neutral
-8.631738949,0,neutral
-4.384433808,0,neutral
-13.48696083,1,positive
26.99215387,1,positive
18.28935364,1,positive
-13.896072,0,neutral
-14.91805725,0,neutral
-11.21909613,0,neutral
18.2891238,1,positive
2.351853615,1,positive
19.39224796,1,positive
-7.033482017,0,neutral
-4.006329267,0,neutral
-8.869745013,0,neutral
6.546640771,1,positive
