projection,y,level
9.383492112,0,neutral
23.47418843,1,positive
-5.961023802,0,neutral
28.31176663,1,positive
8.714329912,0,neutral
31.57689899,1,positive
-16.08859098,0,neutral
-0.6147943066,1,positive
-25.50404491,0,neutral
1.955414862,1,positive
-2.517075833,1,positive
-9.515470259,0,neutral
29.75486918,1,positive
-3.628041508,0,neutral
42.95764535,1,positive
-0.3688721304,0,neutral
40.72676234,1,positive
8.082103218,0,neutral
24.27315251,1,positive
-4.673924887,0,neutral
14.31004343,1,positive
0.2147649176,0,neutral
23.91795707,1,positive
7.095086721,0,neutral
35.08256833,1,positive
0.4356656082,0,neutral
24.45104886,1,positive
-6.274970145,0,neutral
45.70355826,1,positive
-9.819049076,0,neutral
21.03547259,1,positive
3.576935464,0,neutral
16.28737113,1,positive
-12.71751342,0,neutral
18.97983294,1,positive
-6.616051542,0,neutral
15.84988601,1,positive
-6.172018269,0,neutral
1.714823141,1,positive
9.419855519,0,neutral
17.35057148,1,positive
-5.549420064,0,neutral
8.289695965,1,positive
-11.8313185,0,neutral
-4.057485623,1,positive
6.98525576,0,neutral
6.881242688,1,positive
-13.98012149,0,neutral
2.984485804,1,positive
-15.48247049,0,neutral
-6.499372616,1,positive
-18.04411796,0,neutral
3.489263744,1,positive
5.47718378,0,neutral
7.234099912,1,positive
-9.829340956,0,neutral
23.72475974,1,positive
-7.979498561,0,neutral
0.8211840766,0,neutral
13.05802806,1,positive
-24.96985703,0,neutral
7.703809538,1,positive
-4.786426391,0,neutral
11.29164101,1,positive
-7.651968203,0,neutral
3.569287102,1,positive
-13.86485965,0,neutral
12.00148224,1,positive
-13.21499743,0,neutral
6.775803576,1,positive
-22.93196942,0,neutral
54.34911902,1,positive
-14.92678975,0,neutral
65.93037472,1,positive
-30.69189381,0,neutral
56.04838896,1,positive
-4.283818918,0,neutral
11.23278578,1,positive
-5.373041878,0,neutral
39.12016988,1,positive
-4.942665641,0,neutral
-19.17934871,0,neutral
20.08236763,1,positive
-12.20503071,0,neutral
-2.017991633,1,positive
7.933193264,0,neutral
40.37527961,1,positive
5.516677333,0,neutral
46.0863902,1,positive
-9.13036483,0,neutral
42.48604975,1,positive
-20.35766093,0,neutral
40.05802513,1,positive
10.66657256,0,neutral
49.47363404,1,positive
2.21453408,0,neutral
56.5556884,1,positive
-2.16584297,0,neutral
54.01069116,1,positive
