layer,accuracy_mean,agreement_mean
1,0.6697654652,0.3049477809
2,0.7551477706,0.2901796601
3,0.8009005581,0.2700168278
4,0.8089517327,0.2774050223
5,0.8874194481,0.295038446
6,0.8805721873,0.3073928633
7,0.9256125553,0.3118704869
8,0.9071803768,0.3171787844
9,0.9075737625,0.337861912
10,0.9001376417,0.6416287784
11,0.9001376417,0.6537124406
12,0.8998497801,0.6434424494
13,0.9142626451,0.6431027746
14,0.9045036439,0.6238556793
15,0.928966662,0.6713686251
16,0.9362229621,0.6818097355
17,0.9312285668,0.7214709917
18,0.9118292253,0.7602571905
19,0.9117682497,0.7495535181
20,0.92357831,0.7652144359
21,0.9239134211,0.7441710231
22,0.9308901653,0.757094676
