row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.7572989586
MeanDiff,LogReg,0.6734923747
MeanDiff,PCA,0.7611683551
MeanDiff,Random,0.02885809246
KMeans,MeanDiff,0.7572989586
KMeans,KMeans,1
KMeans,LogReg,0.3336827207
KMeans,PCA,0.9912950489
KMeans,Random,0.02465159224
LogReg,MeanDiff,0.6734923747
LogReg,KMeans,0.3336827207
LogReg,LogReg,1
LogReg,PCA,0.3332562648
LogReg,Random,0.01922958296
PCA,MeanDiff,0.7611683551
PCA,KMeans,0.9912950489
PCA,LogReg,0.3332562648
PCA,PCA,1
PCA,Random,0.02481640159
Random,MeanDiff,0.02885809246
Random,KMeans,0.02465159224
Random,LogReg,0.01922958296
Random,PCA,0.02481640159
Random,Random,1
