row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9965165309
MeanDiff,LogReg,0.6686606905
MeanDiff,PCA,0.9776065907
MeanDiff,Random,0.0003307506708
KMeans,MeanDiff,0.9965165309
KMeans,KMeans,1
KMeans,LogReg,0.6286802111
KMeans,PCA,0.9857646777
KMeans,Random,-0.001423079932
LogReg,MeanDiff,0.6686606905
LogReg,KMeans,0.6286802111
LogReg,LogReg,1
LogReg,PCA,0.5588819211
LogReg,Random,0.0252202728
PCA,MeanDiff,0.9776065907
PCA,KMeans,0.9857646777
PCA,LogReg,0.5588819211
PCA,PCA,1
PCA,Random,-0.008519679117
Random,MeanDiff,0.0003307506708
Random,KMeans,-0.001423079932
Random,LogReg,0.0252202728
Random,PCA,-0.008519679117
Random,Random,1
