row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.7603822426
MeanDiff,LogReg,0.564093922
MeanDiff,PCA,0.7650170814
MeanDiff,Random,0.0009780072466
KMeans,MeanDiff,0.7603822426
KMeans,KMeans,1
KMeans,LogReg,0.2753595962
KMeans,PCA,0.989318367
KMeans,Random,-0.02892511292
LogReg,MeanDiff,0.564093922
LogReg,KMeans,0.2753595962
LogReg,LogReg,1
LogReg,PCA,0.2608087257
LogReg,Random,0.02377284724
PCA,MeanDiff,0.7650170814
PCA,KMeans,0.989318367
PCA,LogReg,0.2608087257
PCA,PCA,1
PCA,Random,-0.02730863476
Random,MeanDiff,0.0009780072466
Random,KMeans,-0.02892511292
Random,LogReg,0.02377284724
Random,PCA,-0.02730863476
Random,Random,1
