row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.8889456115
MeanDiff,LogReg,0.6308464314
MeanDiff,PCA,0.8420170962
MeanDiff,Random,0.01372399356
KMeans,MeanDiff,0.8889456115
KMeans,KMeans,1
KMeans,LogReg,0.3490425843
KMeans,PCA,0.9839282383
KMeans,Random,-0.01096456938
LogReg,MeanDiff,0.6308464314
LogReg,KMeans,0.3490425843
LogReg,LogReg,1
LogReg,PCA,0.2880197763
LogReg,Random,0.03542305614
PCA,MeanDiff,0.8420170962
PCA,KMeans,0.9839282383
PCA,LogReg,0.2880197763
PCA,PCA,1
PCA,Random,-0.01202510281
Random,MeanDiff,0.01372399356
Random,KMeans,-0.01096456938
Random,LogReg,0.03542305614
Random,PCA,-0.01202510281
Random,Random,1
