row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.135227225
MeanDiff,LogReg,0.5378580292
MeanDiff,PCA,0.1723334346
MeanDiff,Random,0.01339048991
KMeans,MeanDiff,0.135227225
KMeans,KMeans,1
KMeans,LogReg,0.01304580336
KMeans,PCA,0.9371126331
KMeans,Random,0.01544245393
LogReg,MeanDiff,0.5378580292
LogReg,KMeans,0.01304580336
LogReg,LogReg,1
LogReg,PCA,0.02182280967
LogReg,Random,0.04941659064
PCA,MeanDiff,0.1723334346
PCA,KMeans,0.9371126331
PCA,LogReg,0.02182280967
PCA,PCA,1
PCA,Random,0.0217010453
Random,MeanDiff,0.01339048991
Random,KMeans,0.01544245393
Random,LogReg,0.04941659064
Random,PCA,0.0217010453
Random,Random,1
