row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.7491550821
MeanDiff,LogReg,0.564093922
MeanDiff,PCA,0.7650175444
MeanDiff,Random,0.02665407363
KMeans,MeanDiff,0.7491550821
KMeans,KMeans,1
KMeans,LogReg,0.2696965886
KMeans,PCA,0.9886891272
KMeans,Random,0.01273750455
LogReg,MeanDiff,0.564093922
LogReg,KMeans,0.2696965886
LogReg,LogReg,1
LogReg,PCA,0.2608094355
LogReg,Random,0.005071689361
PCA,MeanDiff,0.7650175444
PCA,KMeans,0.9886891272
PCA,LogReg,0.2608094355
PCA,PCA,1
PCA,Random,0.01336067901
Random,MeanDiff,0.02665407363
Random,KMeans,0.01273750455
Random,LogReg,0.005071689361
Random,PCA,0.01336067901
Random,Random,1
