row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.7572989586
MeanDiff,LogReg,0.6734923747
MeanDiff,PCA,0.7611685835
MeanDiff,Random,0.02530831911
KMeans,MeanDiff,0.7572989586
KMeans,KMeans,1
KMeans,LogReg,0.3336827207
KMeans,PCA,0.9912949691
KMeans,Random,0.01003573681
LogReg,MeanDiff,0.6734923747
LogReg,KMeans,0.3336827207
LogReg,LogReg,1
LogReg,PCA,0.3332568341
LogReg,Random,0.01480255471
PCA,MeanDiff,0.7611685835
PCA,KMeans,0.9912949691
PCA,LogReg,0.3332568341
PCA,PCA,1
PCA,Random,0.01145020436
Random,MeanDiff,0.02530831911
Random,KMeans,0.01003573681
Random,LogReg,0.01480255471
Random,PCA,0.01145020436
Random,Random,1
