projection,y,level
-10.68730663,0,negative
50.43427638,1,positive
-9.250313219,0,negative
36.1173532,1,positive
1.436573309,0,negative
38.74418082,1,positive
-39.30704088,0,negative
38.4847458,1,positive
-24.50591313,0,negative
25.85945194,1,positive
-22.59814432,0,negative
33.36569595,1,positive
-29.83131542,0,negative
6.700850444,1,positive
-15.46687925,0,negative
19.2090836,1,positive
-34.76940264,0,negative
9.726936744,1,positive
-13.46642765,0,negative
31.24565549,1,positive
-12.00328571,0,negative
17.46491884,1,positive
4.240741477,0,negative
29.88242246,1,positive
-35.98709384,0,negative
36.66373914,1,positive
-12.62057903,0,negative
-2.615536129,1,positive
-4.929060553,0,negative
20.17992408,1,positive
21.93532618,0,negative
39.23661154,1,positive
-29.02658947,0,negative
19.98459255,1,positive
-0.668301512,0,negative
36.92999075,1,positive
33.25082735,1,positive
-15.96514505,0,negative
31.50740738,1,positive
-4.937936292,0,negative
35.10724602,1,positive
5.713484742,1,positive
-23.18566847,0,negative
-7.33639334,1,positive
-31.8916425,0,negative
1.203646819,1,positive
-10.53062644,0,negative
30.61739669,1,positive
-14.76344703,0,negative
27.89035651,1,positive
-9.785481983,0,negative
23.83597952,1,positive
-30.99358594,0,negative
21.69901666,1,positive
-33.3759785,0,negative
31.32452262,1,positive
-35.26627624,0,negative
-25.97884731,0,negative
28.6958948,1,positive
-37.53336916,0,negative
41.08473586,1,positive
-18.42935161,0,negative
8.786255536,1,positive
-34.11180221,0,negative
1.454470378,1,positive
-42.96547168,0,negative
28.83456808,1,positive
-38.87841296,0,negative
8.271845942,1,positive
-15.8954325,0,negative
46.47945691,1,positive
0.5008834611,0,negative
57.06975816,1,positive
-22.56526111,0,negative
43.40184609,1,positive
-28.79983694,0,negative
40.0614491,1,positive
-17.42482642,0,negative
41.93442927,1,positive
-12.91296069,0,negative
-17.07934144,0,negative
34.07849754,1,positive
-18.94057328,0,negative
14.67107726,1,positive
-31.79303137,0,negative
43.25961394,1,positive
-23.76624642,0,negative
46.17455115,1,positive
-15.94329203,0,negative
39.35559179,1,positive
-24.80849444,0,negative
34.631544,1,positive
-45.50956994,0,negative
19.44689161,1,positive
-19.26425356,0,negative
17.41061696,1,positive
-27.05057929,0,negative
14.32838256,1,positive
-30.38666161,0,negative
-5.084025774,1,positive
-42.00747605,0,negative
2.506698122,1,positive
-13.65586835,0,negative
11.18168143,1,positive
-8.315427674,0,negative
29.50176102,1,positive
-8.896102837,0,negative
38.73221865,1,positive
-20.89790692,0,negative
-10.30406686,0,negative
30.98798278,1,positive
3.853069348,0,negative
34.07796805,1,positive
-8.105943178,0,negative
26.64218953,1,positive
-20.88953262,0,negative
37.31080001,1,positive
-3.592321807,0,negative
46.87015561,1,positive
-9.468740373,0,negative
39.76972442,1,positive
11.0135781,0,negative
26.46453845,1,positive
7.091568384,0,negative
23.03341679,1,positive
-13.27415943,0,negative
11.60398522,1,positive
-5.680874294,0,negative
39.31945914,1,positive
-14.32523868,0,negative
22.28431739,1,positive
-2.656925611,0,negative
32.20801312,1,positive
0.5860104222,0,negative
39.61295407,1,positive
-8.428223361,0,negative
24.18113089,1,positive
3.451342083,0,negative
43.95315188,1,positive
-2.176742795,0,negative
49.02832938,1,positive
-26.61152336,0,negative
46.92916052,1,positive
-28.30461833,0,negative
27.58848913,1,positive
-2.813778331,0,negative
8.385423958,1,positive
-12.08990948,0,negative
6.635170383,1,positive
-11.56118759,0,negative
10.84669101,1,positive
0.5344513956,0,negative
19.52313513,1,positive
1.983627155,0,negative
22.40014365,1,positive
1.722740591,0,negative
30.24612243,1,positive
-32.54168493,0,negative
-12.39229757,0,negative
25.5308986,1,positive
-7.612555047,0,negative
36.96278029,1,positive
15.92543258,0,negative
46.89506036,1,positive
11.6364139,0,negative
49.86567087,1,positive
0.486621165,0,negative
41.27541273,1,positive
-8.383630698,0,negative
39.76037602,1,positive
-6.098880736,0,negative
35.35839179,1,positive
-15.33124751,0,negative
20.81205001,1,positive
15.18307546,0,negative
46.00170505,1,positive
32.51494199,0,negative
47.15524156,1,positive
23.35905645,0,negative
53.92506899,1,positive
-16.93912885,0,negative
42.12916409,1,positive
-13.02531503,0,negative
29.38171437,1,positive
-14.06777105,0,negative
29.0041976,1,positive
-10.9210077,0,negative
8.082775017,0,negative
30.6123995,1,positive
-2.324470002,0,negative
10.73267527,0,negative
32.21186796,1,positive
-7.597099664,0,negative
35.70359127,1,positive
-30.26669853,0,negative
17.14722907,1,positive
5.08564132,0,negative
62.51414286,1,positive
20.10655612,0,negative
52.25285524,1,positive
-13.59786082,0,negative
49.52687869,1,positive
-8.108793979,0,negative
48.24410237,1,positive
-6.581281537,0,negative
23.91740827,1,positive
-6.986623852,0,negative
29.54421319,1,positive
-3.782561054,0,negative
30.0225661,1,positive
-8.770320267,0,negative
33.99223417,1,positive
-22.29717724,0,negative
41.14883683,1,positive
-11.4946692,0,negative
23.6017983,1,positive
-6.19749679,0,negative
44.44179645,1,positive
1.399305365,0,negative
33.60594989,1,positive
12.16305786,0,negative
58.28177416,1,positive
13.83407805,0,negative
44.38104511,1,positive
4.806692645,0,negative
51.3384538,1,positive
-7.583092423,0,negative
30.01809739,1,positive
-1.724545067,0,negative
41.84339636,1,positive
-10.81846911,0,negative
30.15473221,1,positive
-5.474423457,0,negative
23.90814895,1,positive
-15.17489975,0,negative
24.33562082,1,positive
-11.75199951,0,negative
16.96624253,1,positive
-12.33774617,0,negative
28.37712064,1,positive
-6.328686907,0,negative
-8.199230294,0,negative
-29.18063876,0,negative
19.28893026,1,positive
-37.66336506,0,negative
32.21589461,1,positive
-8.798798481,0,negative
25.57605376,1,positive
-12.23972178,0,negative
35.2841459,1,positive
-15.1423833,0,negative
28.69234291,1,positive
-26.53150357,0,negative
-21.97947922,0,negative
45.14812925,1,positive
5.976653113,0,negative
37.19384973,1,positive
4.223164805,0,negative
36.7804896,1,positive
-5.095038292,0,negative
-2.930451328,1,positive
-13.62366746,0,negative
12.38704481,1,positive
-11.48650301,0,negative
8.655900532,1,positive
-34.60334143,0,negative
21.03905406,1,positive
-26.79142297,0,negative
11.21143525,1,positive
-28.79115481,0,negative
8.552318686,1,positive
-8.482644842,0,negative
35.09727532,1,positive
-22.16444996,0,negative
42.43460147,1,positive
-2.01224637,0,negative
36.93162157,1,positive
-26.67524543,0,negative
32.38869693,1,positive
-21.84497106,0,negative
35.89368356,1,positive
-33.41576463,0,negative
28.48531299,1,positive
-23.52053564,0,negative
32.89389821,1,positive
-28.10359711,0,negative
34.14983566,1,positive
-29.11514246,0,negative
28.27482176,1,positive
-31.9668685,0,negative
24.64106803,1,positive
-18.54155609,0,negative
11.37907916,1,positive
-30.27780897,0,negative
16.82268701,1,positive
-10.12691886,0,negative
47.77770504,1,positive
-24.77611684,0,negative
47.95140474,1,positive
-6.526277194,0,negative
41.01607206,1,positive
-30.59594258,0,negative
30.8485251,1,positive
-28.50901033,0,negative
11.60945258,1,positive
-28.287761,0,negative
23.24880453,1,positive
-0.8898581625,0,negative
25.53092011,1,positive
-30.3191788,0,negative
21.65376321,1,positive
-39.60399678,0,negative
31.22482594,1,positive
4.900879994,0,negative
20.26891173,1,positive
-10.11004489,0,negative
23.22225867,1,positive
-23.27957958,0,negative
29.26366538,1,positive
-28.92938191,0,negative
42.83135791,1,positive
-24.69423535,0,negative
47.052418,1,positive
-23.6788152,0,negative
52.11401985,1,positive
-31.3635514,0,negative
48.01958704,1,positive
-26.32190972,0,negative
34.93703797,1,positive
1.660219306,0,negative
38.13197105,1,positive
-14.69319278,0,negative
31.59793466,1,positive
-1.435683898,0,negative
45.66279643,1,positive
-18.01341735,0,negative
40.04063739,1,positive
-36.43561896,0,negative
44.47226773,1,positive
-19.0921428,0,negative
38.0643699,1,positive
-24.07069544,0,negative
8.927839389,1,positive
-30.00130828,0,negative
-0.6580453871,1,positive
-17.84287834,0,negative
35.27200527,1,positive
-18.49444104,0,negative
26.32289176,1,positive
-23.20806969,0,negative
47.16528939,1,positive
12.58784163,1,positive
48.2589525,1,positive
-6.948940555,0,negative
44.29984508,1,positive
-42.68606741,0,negative
49.31660944,1,positive
-32.57016532,0,negative
31.91097277,1,positive
-35.92735937,0,negative
-6.464499159,1,positive
-24.90031146,0,negative
21.63989355,1,positive
-31.89086743,0,negative
-4.887827696,1,positive
6.019076589,0,negative
58.25822526,1,positive
-25.58079247,0,negative
52.00049174,1,positive
-31.04340639,0,negative
56.39215144,1,positive
-3.720729185,0,negative
49.91220037,1,positive
2.513786186,0,negative
52.46750098,1,positive
-22.8528171,0,negative
40.34940234,1,positive
-38.35625497,0,negative
22.3308677,1,positive
-16.50721049,0,negative
32.38718928,1,positive
-11.47745581,0,negative
37.42960496,1,positive
-18.06406397,0,negative
12.09594365,1,positive
-30.72500919,0,negative
30.31656011,1,positive
-7.285704298,0,negative
25.52084333,1,positive
42.08793116,0,negative
35.04313951,1,positive
21.923269,0,negative
58.0343882,1,positive
21.03515333,0,negative
15.24058222,1,positive
-21.08751658,0,negative
15.24053515,1,positive
-14.98118091,0,negative
26.89445037,1,positive
-26.80132762,0,negative
26.92219352,1,positive
-13.9069156,0,negative
24.12679764,1,positive
-7.870105344,0,negative
38.24839538,1,positive
-2.802186461,0,negative
18.9343419,1,positive
-22.1608374,0,negative
36.85604481,1,positive
-12.35847139,0,negative
2.267918178,1,positive
-20.18937413,0,negative
12.70116908,1,positive
-32.20238761,0,negative
42.58731276,1,positive
-26.75179405,0,negative
43.80657971,1,positive
-33.06439502,0,negative
33.67492684,1,positive
