row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.886670992
MeanDiff,LogReg,0.6308464314
MeanDiff,PCA,0.8420161362
MeanDiff,Random,5.224882919e-05
KMeans,MeanDiff,0.886670992
KMeans,KMeans,1
KMeans,LogReg,0.3454830941
KMeans,PCA,0.9838844558
KMeans,Random,0.006587289065
LogReg,MeanDiff,0.6308464314
LogReg,KMeans,0.3454830941
LogReg,LogReg,1
LogReg,PCA,0.2880186124
LogReg,Random,0.009497218796
PCA,MeanDiff,0.8420161362
PCA,KMeans,0.9838844558
PCA,LogReg,0.2880186124
PCA,PCA,1
PCA,Random,0.009721708087
Random,MeanDiff,5.224882919e-05
Random,KMeans,0.006587289065
Random,LogReg,0.009497218796
Random,PCA,0.009721708087
Random,Random,1
