row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.1258637397
MeanDiff,LogReg,0.5378580524
MeanDiff,PCA,0.1723318663
MeanDiff,Random,0.0005892595506
KMeans,MeanDiff,0.1258637397
KMeans,KMeans,1
KMeans,LogReg,0.006017854615
KMeans,PCA,0.9431728367
KMeans,Random,0.000606773153
LogReg,MeanDiff,0.5378580524
LogReg,KMeans,0.006017854615
LogReg,LogReg,1
LogReg,PCA,0.02182169269
LogReg,Random,-0.002635637761
PCA,MeanDiff,0.1723318663
PCA,KMeans,0.9431728367
PCA,LogReg,0.02182169269
PCA,PCA,1
PCA,Random,-0.002227105274
Random,MeanDiff,0.0005892595506
Random,KMeans,0.000606773153
Random,LogReg,-0.002635637761
Random,PCA,-0.002227105274
Random,Random,1
