layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.8928758249,0.6016091219,0.003533090109,3
2,0.5748973611,0.4097477903,0,3
3,0.5318818932,0.4296517919,9.178905105e-05,3
4,0.5684873817,0.4045510912,6.798699778e-17,3
5,0.5705719643,0.3820735893,0.0001313964342,3
6,0.5802784981,0.3814867786,0.0001582463972,3
7,0.6220640098,0.3806550014,0,3
8,0.6161692957,0.365221683,6.798699778e-17,3
9,0.6328541492,0.3617317174,6.798699778e-17,3
10,0.6594511295,0.3504325117,0.0002415164141,3
11,0.6521367573,0.3524152739,0,3
12,0.666593784,0.3344623278,0,3
13,0.6866576633,0.3482631973,0.0004390846947,3
14,0.6984559598,0.3344144606,6.798699778e-17,3
15,0.7151307295,0.3258010502,0,3
16,0.7391835481,0.3200911262,0,3
17,0.7842874249,0.3116433361,0,3
18,0.8058774275,0.3143516573,0,3
19,0.8652054354,0.2950045313,0,3
20,0.8753289622,0.2946886332,0,3
21,0.9043972666,0.3088352544,0.001320888764,3
22,0.9023023976,0.309626652,0.002496238668,3
23,0.8186902511,0.4225648097,0.0006768099671,3
