projection,y,level
-14.83155171,0,negative
-0.5628967114,0,negative
-10.14730318,0,negative
-3.225142054,1,neutral
17.80432972,1,neutral
10.96256394,1,neutral
-4.199281366,0,negative
0.01419622699,0,negative
-5.508429483,0,negative
0.1982418447,1,neutral
9.495272777,1,neutral
-2.012512029,0,negative
-4.604788288,0,negative
-8.941362252,0,negative
7.954295409,1,neutral
3.967236193,1,neutral
3.637130968,1,neutral
1.381856003,0,negative
-6.080930898,0,negative
5.591465811,0,negative
9.967874338,1,neutral
-3.387403882,1,neutral
-7.472861371,1,neutral
-8.070467833,0,negative
-2.7539644,0,negative
-0.3146061648,0,negative
-3.281644129,1,neutral
4.252135476,1,neutral
10.16854705,1,neutral
-3.130161567,0,negative
-7.828864502,0,negative
-3.480023439,0,negative
1.791594158,1,neutral
-2.447480951,1,neutral
15.0949363,1,neutral
-13.32128783,0,negative
-3.756359934,0,negative
6.700623151,1,neutral
-1.174679124,1,neutral
11.55170374,1,neutral
-6.062733408,0,negative
0.7243324575,0,negative
7.651711898,1,neutral
-0.6975899277,1,neutral
-1.615721019,1,neutral
-5.727177,0,negative
0.3146617489,0,negative
-2.241277222,0,negative
5.533132606,1,neutral
-1.945759206,1,neutral
4.066419073,1,neutral
-9.54483933,0,negative
-0.08849072266,0,negative
-13.86912414,0,negative
5.188117721,1,neutral
14.36855293,1,neutral
3.945783547,1,neutral
-3.464820739,0,negative
-2.493593685,0,negative
-10.41532762,0,negative
3.69693428,1,neutral
6.766899217,1,neutral
5.909908545,1,neutral
-2.059815179,0,negative
-2.053677686,0,negative
-2.10840981,0,negative
2.899304276,1,neutral
-3.16898862,1,neutral
6.491587018,1,neutral
-12.04158866,0,negative
0.7301611876,0,negative
-10.77033696,0,negative
10.89611576,1,neutral
5.473840686,1,neutral
5.711807983,1,neutral
-12.27647044,0,negative
-0.6958041899,0,negative
-0.5880459305,0,negative
-0.6909095649,1,neutral
4.364903312,1,neutral
9.886326814,1,neutral
-2.17775731,0,negative
-3.406326405,0,negative
-0.6689172335,0,negative
1.436016391,1,neutral
-1.049756652,1,neutral
5.86674121,1,neutral
-4.047950057,0,negative
2.715256919,0,negative
-6.213609298,0,negative
7.271851854,1,neutral
-2.053153725,1,neutral
2.327604307,1,neutral
0.9619330017,0,negative
1.572669852,0,negative
-0.250935358,0,negative
-1.163089189,1,neutral
-6.773614103,1,neutral
5.653035796,1,neutral
1.697975149,0,negative
-3.319439676,0,negative
4.75810286,0,negative
-3.440910279,1,neutral
-2.795049033,1,neutral
3.09932098,1,neutral
2.777372676,0,negative
-7.294186073,0,negative
0.4723246705,0,negative
-0.5199715349,1,neutral
2.539187236,1,neutral
2.025273026,1,neutral
-8.668606453,0,negative
-3.09585138,0,negative
5.178532404,0,negative
0.8699291822,1,neutral
-0.1321281541,1,neutral
5.8481244,1,neutral
-11.18828887,0,negative
9.20345197,0,negative
5.912066566,0,negative
-8.143937009,1,neutral
0.9973307293,1,neutral
3.219376609,1,neutral
-6.310481174,0,negative
1.129046763,0,negative
4.20069813,0,negative
-1.447424303,1,neutral
0.01504874585,1,neutral
2.413111838,1,neutral
-3.681387219,0,negative
5.3406038,0,negative
-4.13710163,0,negative
-2.676788817,1,neutral
0.8516764332,1,neutral
4.302997432,1,neutral
1.854936104,0,negative
-5.400241308,0,negative
2.049287466,0,negative
3.718020956,1,neutral
1.050401716,1,neutral
-3.272404935,1,neutral
-2.382944582,0,negative
-0.2116013762,0,negative
2.36183051,0,negative
-0.6604630935,1,neutral
-3.040399518,1,neutral
3.933578061,1,neutral
13.06275119,0,negative
-11.49233724,0,negative
4.916297965,0,negative
-2.410835028,1,neutral
-1.247632177,1,neutral
-2.828244709,1,neutral
6.175073344,0,negative
0.647830235,0,negative
-8.946831739,0,negative
4.948381755,1,neutral
1.378811566,1,neutral
-4.203265162,1,neutral
-9.355502556,0,negative
2.542048803,0,negative
-0.2225476465,0,negative
-1.618215667,1,neutral
5.869713844,1,neutral
2.784503222,1,neutral
-5.858266435,0,negative
11.01439866,0,negative
2.717284823,0,negative
-5.663628272,1,neutral
-5.682487532,1,neutral
3.472698758,1,neutral
-3.029485343,0,negative
-3.332564136,0,negative
1.598076804,0,negative
0.41983302,1,neutral
1.460439729,1,neutral
2.883699926,1,neutral
0.1581647308,0,negative
4.361123181,0,negative
-2.544045337,0,negative
-4.542975856,1,neutral
4.661838954,1,neutral
-2.094105673,1,neutral
2.89644686,0,negative
-11.61811878,0,negative
2.591307484,0,negative
7.586766927,1,neutral
-3.49621508,1,neutral
2.039812585,1,neutral
-15.39143148,0,negative
7.309490464,0,negative
-1.154077065,0,negative
0.3596521791,1,neutral
8.432607408,1,neutral
0.4437584969,1,neutral
-2.145491546,0,negative
-3.10303196,0,negative
-3.805019987,0,negative
-0.1354456798,1,neutral
