projection,y,level
69.29042098,0,negative
80.95386311,1,neutral
83.65728847,0,negative
102.1599222,1,neutral
74.00075151,0,negative
95.26426251,1,neutral
47.19483711,0,negative
51.57356463,1,neutral
51.43884346,0,negative
60.93206169,1,neutral
45.86679645,0,negative
68.79154552,0,negative
78.80912565,1,neutral
66.17803217,0,negative
74.78280569,1,neutral
61.81091643,0,negative
74.45863656,1,neutral
84.20262689,0,negative
92.82409489,1,neutral
76.67294522,0,negative
79.35569123,1,neutral
88.43451286,0,negative
75.23126235,1,neutral
50.18631699,0,negative
54.97050689,1,neutral
55.52963337,0,negative
62.56654226,1,neutral
57.99374239,0,negative
68.53355824,1,neutral
70.90862275,0,negative
75.85579327,1,neutral
66.19279766,0,negative
71.58201375,1,neutral
70.56446319,0,negative
89.26087764,1,neutral
80.03543162,1,neutral
59.91151034,0,negative
72.09067579,1,neutral
69.54598522,0,negative
84.91870023,1,neutral
71.1315025,1,neutral
57.30921753,0,negative
62.69219069,1,neutral
64.16125068,0,negative
61.78951714,1,neutral
48.98939467,0,negative
60.31943165,1,neutral
55.09478038,0,negative
52.77727826,1,neutral
52.52092997,0,negative
58.84411333,1,neutral
68.94240165,0,negative
83.72807708,1,neutral
78.47164384,0,negative
93.01037085,1,neutral
64.59076106,0,negative
82.50319414,1,neutral
39.46435883,0,negative
46.62384635,1,neutral
40.43745786,0,negative
49.69067616,1,neutral
32.44684909,0,negative
48.83296729,1,neutral
55.33536057,0,negative
60.27737013,1,neutral
55.33972797,0,negative
54.15816914,1,neutral
55.27574709,0,negative
63.89153695,1,neutral
67.14151,0,negative
90.24375839,1,neutral
80.02466556,0,negative
84.77642713,1,neutral
68.43193735,0,negative
85.01012579,1,neutral
68.12310079,0,negative
79.75429523,1,neutral
79.81340812,0,negative
84.85049227,1,neutral
79.90887268,0,negative
90.41509075,1,neutral
52.87893121,0,negative
56.45202831,1,neutral
51.61747328,0,negative
53.95400486,1,neutral
54.40211553,0,negative
60.92256328,1,neutral
49.60357763,0,negative
60.96600299,1,neutral
56.392332,0,negative
51.56922623,1,neutral
47.42308209,0,negative
55.97755492,1,neutral
50.43637003,0,negative
48.25582417,1,neutral
51.03769245,0,negative
42.61243543,1,neutral
49.21178521,0,negative
55.12379126,1,neutral
67.33931279,0,negative
62.08976501,1,neutral
62.26478974,0,negative
62.745584,1,neutral
70.4037445,0,negative
68.68975226,1,neutral
48.02769948,0,negative
44.66048672,1,neutral
37.89292949,0,negative
47.73617072,1,neutral
45.72025435,0,negative
47.22903576,1,neutral
43.31137366,0,negative
52.87687025,1,neutral
48.91324342,0,negative
51.86586317,1,neutral
57.27160324,0,negative
57.90472235,1,neutral
49.96658322,0,negative
53.00669894,1,neutral
70.53856864,0,negative
62.25790987,1,neutral
67.23067721,0,negative
64.48465714,1,neutral
47.72000106,0,negative
52.58474766,1,neutral
55.23455072,0,negative
54.07919443,1,neutral
58.33034344,0,negative
56.48899176,1,neutral
40.84113376,0,negative
41.82415977,1,neutral
49.94829393,0,negative
45.38103328,1,neutral
40.39729271,0,negative
48.85961952,1,neutral
61.10811874,0,negative
62.92636957,1,neutral
53.80327227,0,negative
60.25269569,1,neutral
61.29627003,0,negative
55.89638117,1,neutral
42.07426217,0,negative
43.75834251,1,neutral
44.2693025,0,negative
41.35722042,1,neutral
46.85420711,0,negative
48.38780277,1,neutral
113.2006094,0,negative
97.55084819,1,neutral
88.44669722,0,negative
98.7489704,1,neutral
104.9957963,0,negative
97.1351587,1,neutral
92.49668714,0,negative
91.20475313,1,neutral
86.92335181,0,negative
87.63337276,1,neutral
77.25733518,0,negative
82.01796665,1,neutral
47.40723821,0,negative
55.16303391,1,neutral
59.40252007,0,negative
62.71453835,1,neutral
56.58618564,0,negative
59.60531651,1,neutral
63.17821759,0,negative
63.37062709,1,neutral
80.21099743,0,negative
63.35175463,1,neutral
71.84940014,0,negative
72.58607983,1,neutral
44.52484068,0,negative
47.96883058,1,neutral
44.22586439,0,negative
49.00471036,1,neutral
49.1931299,0,negative
50.44818504,1,neutral
46.4390567,0,negative
41.66985484,1,neutral
50.65177694,0,negative
50.94635425,1,neutral
43.70400963,0,negative
44.13495087,1,neutral
85.88191874,0,negative
90.57589807,1,neutral
71.24931786,0,negative
79.41744947,1,neutral
85.57868736,0,negative
84.9856088,1,neutral
88.54863053,0,negative
104.380679,1,neutral
111.431949,0,negative
112.514364,1,neutral
102.8809704,0,negative
104.4644397,1,neutral
48.49264474,0,negative
50.49500262,1,neutral
47.56362679,0,negative
54.3084588,1,neutral
46.84736721,0,negative
56.21265447,1,neutral
63.15626784,0,negative
60.96894008,1,neutral
76.18740543,0,negative
59.60936447,1,neutral
69.62440773,0,negative
61.67328342,1,neutral
61.65611682,0,negative
72.81009729,1,neutral
68.54342798,0,negative
73.19099422,1,neutral
71.78521552,0,negative
82.04069313,1,neutral
73.51170466,0,negative
64.97344769,1,neutral
73.33370128,0,negative
68.49336133,1,neutral
69.67947117,0,negative
71.0528725,1,neutral
91.49216375,0,negative
102.0893523,1,neutral
95.72164192,0,negative
110.0146081,1,neutral
92.78905669,0,negative
94.9332378,1,neutral
54.34077399,0,negative
58.92612156,1,neutral
60.35642131,0,negative
59.01976017,1,neutral
56.57527813,0,negative
58.7236242,1,neutral
44.45950407,0,negative
50.06581401,1,neutral
46.49660835,0,negative
48.35812697,1,neutral
42.62147084,0,negative
46.76583486,1,neutral
68.8388308,0,negative
81.57650671,1,neutral
76.6906617,0,negative
81.79983049,1,neutral
86.36981344,0,negative
87.10434578,1,neutral
86.98617409,0,negative
89.0521404,1,neutral
93.12485999,0,negative
95.74340615,1,neutral
91.96094114,0,negative
94.96456814,1,neutral
52.8567762,0,negative
75.7739512,1,neutral
60.52755143,0,negative
70.40755158,1,neutral
65.37090718,0,negative
71.1373397,1,neutral
56.95098934,0,negative
63.16134901,1,neutral
65.78451305,0,negative
63.05667859,1,neutral
68.95395998,0,negative
66.32064961,1,neutral
54.08433333,0,negative
55.83393789,1,neutral
47.19626772,0,negative
50.11691719,1,neutral
54.21601517,0,negative
55.60595082,1,neutral
61.27363558,0,negative
75.26507037,1,neutral
79.56813892,0,negative
75.65566538,1,neutral
74.29073421,0,negative
69.43203909,1,neutral
71.79881107,0,negative
75.17484596,1,neutral
69.89940923,0,negative
79.29304424,1,neutral
80.94601454,0,negative
79.63764579,1,neutral
65.99408638,0,negative
77.31809,1,neutral
71.89983821,0,negative
79.53665975,1,neutral
74.32440836,0,negative
84.52296688,1,neutral
64.62006818,0,negative
75.08047435,1,neutral
73.78704578,0,negative
77.92692482,1,neutral
71.72122194,0,negative
75.82182262,1,neutral
81.30985831,0,negative
80.10863546,1,neutral
75.64824462,0,negative
68.64618532,1,neutral
71.65078004,0,negative
75.67280658,1,neutral
80.43089825,0,negative
78.62857951,1,neutral
88.99232593,0,negative
89.96896963,1,neutral
88.39430751,0,negative
89.73019909,1,neutral
42.341059,0,negative
50.50977014,1,neutral
52.45733461,0,negative
50.78598055,1,neutral
59.80749471,0,negative
54.90186872,1,neutral
85.30900814,0,negative
86.15856468,1,neutral
82.5167937,0,negative
88.78769727,1,neutral
96.25466428,0,negative
95.2842144,1,neutral
69.62159211,0,negative
72.51361435,1,neutral
57.73680676,0,negative
63.68240671,1,neutral
70.66374904,0,negative
72.33159705,1,neutral
65.95813671,0,negative
53.9089562,1,neutral
57.40481112,0,negative
56.42539201,1,neutral
66.13150791,0,negative
60.84741171,1,neutral
58.43114513,0,negative
78.71619292,1,neutral
75.59910187,0,negative
73.83493901,1,neutral
75.92280882,0,negative
71.65308109,1,neutral
65.56626873,0,negative
91.73168889,1,neutral
75.46294823,0,negative
86.90316517,1,neutral
96.39722146,0,negative
80.27149281,1,neutral
68.98364955,0,negative
70.3687187,1,neutral
69.41639448,0,negative
77.6157506,1,neutral
68.4526202,0,negative
71.1040579,1,neutral
70.48446835,0,negative
88.20162729,1,neutral
90.67684572,0,negative
84.08078165,1,neutral
77.94638623,0,negative
71.60832905,1,neutral
69.84418552,0,negative
