projection,y,level
-7.111920312,0,negative
-1.683387781,0,negative
-4.886400885,0,negative
8.936778822,1,positive
1.69755717,1,positive
3.047372987,1,positive
-3.072212194,0,negative
-1.799106275,0,negative
-3.462862268,0,negative
2.099376579,1,positive
2.407661049,1,positive
3.827143109,1,positive
-1.747552031,0,negative
-2.441280265,0,negative
-4.678357841,0,negative
2.634401672,1,positive
1.783255944,1,positive
4.449532521,1,positive
-1.352360221,0,negative
-3.188577971,0,negative
0.8376058973,0,negative
-0.04435233138,1,positive
2.381753189,1,positive
1.365931437,1,positive
-2.500926141,0,negative
-0.04322103427,0,negative
0.5075025462,0,negative
-0.1761102156,1,positive
-0.1669448297,1,positive
2.379699674,1,positive
-1.256337822,0,negative
-3.363537633,0,negative
-2.202095286,0,negative
1.704550027,1,positive
2.24738702,1,positive
2.870033695,1,positive
-6.032201618,0,negative
-1.969974861,0,negative
2.841689894,1,positive
2.991433232,1,positive
2.169053352,1,positive
-2.743415888,0,negative
-0.6938780594,0,negative
-0.09671613346,1,positive
-1.553017023,1,positive
5.087027103,1,positive
-1.922521713,0,negative
0.1917616987,0,negative
-1.114270754,0,negative
-0.91751796,1,positive
1.726487642,1,positive
2.036061086,1,positive
-2.368837931,0,negative
0.980865663,0,negative
-3.436758344,0,negative
3.041774408,1,positive
1.782956204,1,positive
-1.988835202,0,negative
-1.336347312,0,negative
-3.53429019,0,negative
2.533459186,1,positive
2.105023147,1,positive
2.220990371,1,positive
-1.88347223,0,negative
-1.772298372,0,negative
-1.269779056,0,negative
3.975219015,1,positive
1.162351793,1,positive
-0.2120211497,1,positive
-5.40408409,0,negative
-1.344535207,0,negative
-5.522884604,0,negative
5.040345125,1,positive
3.687409658,1,positive
3.543749117,1,positive
-3.232749502,0,negative
0.2145310937,0,negative
0.8580339078,0,negative
-1.10567986,1,positive
3.26586436,1,positive
-1.227476779,0,negative
-0.7220714786,0,negative
-0.05414855937,0,negative
-0.8937821876,1,positive
0.883245613,1,positive
2.014233391,1,positive
-2.699042291,0,negative
0.5550500682,0,negative
-3.641964122,0,negative
3.468064916,1,positive
-0.4901479544,1,positive
2.808039384,1,positive
-0.3529214306,0,negative
0.5569530671,0,negative
-0.4687800811,0,negative
1.004083885,1,positive
-1.037304511,1,positive
0.2979690707,1,positive
0.4831569254,0,negative
-1.166446581,0,negative
2.319307993,0,negative
-1.941651654,1,positive
0.2813307374,1,positive
0.02430257929,1,positive
0.7873946615,0,negative
-2.810435179,0,negative
-0.2845801158,0,negative
0.4297009558,1,positive
1.877919677,1,positive
-3.824749653,0,negative
-1.825140432,0,negative
1.141653441,0,negative
1.127755115,1,positive
-1.564576688,1,positive
4.945058216,1,positive
-5.061461783,0,negative
1.782719904,0,negative
-0.032478912,0,negative
-1.123335021,1,positive
2.292251291,1,positive
2.142304522,1,positive
-3.462244136,0,negative
-0.5639291169,0,negative
-0.137553268,0,negative
1.989481466,1,positive
1.467764485,1,positive
0.70648057,1,positive
-3.432055608,0,negative
-0.04046612067,0,negative
-3.398817609,0,negative
1.846708546,1,positive
2.506558444,1,positive
2.518072349,1,positive
0.4095274747,0,negative
-2.566442612,0,negative
0.1597114467,0,negative
2.095781241,1,positive
0.5801970115,1,positive
-0.6787745616,1,positive
-2.133707381,0,negative
-1.215629868,0,negative
-0.301762903,0,negative
1.351637079,1,positive
0.7851747215,1,positive
1.514288351,1,positive
3.831653637,0,negative
-4.910935002,0,negative
0.9290475595,0,negative
1.671176786,1,positive
-0.6206345731,1,positive
-0.9003084085,1,positive
2.256890217,0,negative
0.3760686757,0,negative
-2.719748519,0,negative
1.518951967,1,positive
0.04314661387,1,positive
-1.475308954,1,positive
-4.179719533,0,negative
0.5159599976,0,negative
-0.429844285,0,negative
1.670870009,1,positive
2.422733812,1,positive
-2.138982963,0,negative
3.057907952,0,negative
0.3647717577,0,negative
-3.088028407,1,positive
-0.589517767,1,positive
2.393849428,1,positive
-1.871835731,0,negative
-1.756094183,0,negative
-0.4294214066,0,negative
0.3322280007,1,positive
1.13636634,1,positive
2.588756979,1,positive
-0.5152569167,0,negative
1.810022265,0,negative
-1.043919762,0,negative
0.298618807,1,positive
0.3377141159,1,positive
-0.8871785099,1,positive
0.1244573049,0,negative
-5.70725331,0,negative
-0.4909576564,0,negative
3.878408509,1,positive
2.458766673,1,positive
-0.2634215209,1,positive
-5.323494383,0,negative
3.100298712,0,negative
0.3660500582,0,negative
1.857145612,1,positive
-0.0735814997,0,negative
-1.889974306,0,negative
-2.664333888,0,negative
1.808749945,1,positive
1.799995987,1,positive
1.019143761,1,positive
-1.727950323,0,negative
2.813264557,0,negative
0.2119589651,0,negative
-0.6557958439,1,positive
-0.7433230968,1,positive
0.1018457415,1,positive
-3.555659013,0,negative
-0.996815188,0,negative
-0.01267186928,0,negative
-0.933383788,1,positive
3.390985261,1,positive
2.107544598,1,positive
-0.471986186,0,negative
-0.2067548982,0,negative
-1.765380211,0,negative
-0.8479221614,1,positive
1.35619578,1,positive
1.935847676,1,positive
-3.905856374,0,negative
-1.637428153,0,negative
-2.761727106,0,negative
0.9099150121,1,positive
4.478930694,1,positive
2.916165928,1,positive
-2.650956708,0,negative
-0.5661637984,0,negative
-1.315834263,0,negative
1.83056229,1,positive
2.937031783,1,positive
-0.2346393043,1,positive
-1.615871932,0,negative
-0.3106691708,0,negative
-1.991210844,0,negative
0.06025308042,1,positive
2.051418213,1,positive
1.806080653,1,positive
-4.73792936,0,negative
-2.389467355,0,negative
1.139552739,0,negative
2.817517126,1,positive
2.587531005,1,positive
0.5827958449,1,positive
-2.162128846,0,negative
0.2495363799,0,negative
-0.9435175964,0,negative
2.856110063,1,positive
-5.860458464,0,negative
-3.003399972,0,negative
-0.8128732259,0,negative
4.305226876,1,positive
2.202168826,1,positive
3.169335961,1,positive
-2.999553293,0,negative
-0.7083381382,0,negative
0.797973775,0,negative
0.5941862437,1,positive
2.315731412,1,positive
0.6265108367,0,negative
-1.411046554,0,negative
1.381037733,0,negative
0.4781756749,1,positive
-1.185553829,1,positive
0.1108761393,1,positive
-5.403391114,0,negative
1.351957787,0,negative
-0.360614584,0,negative
2.255200335,1,positive
1.865122047,1,positive
0.2917255304,1,positive
-1.688549018,0,negative
-1.78263852,0,negative
1.66235606,0,negative
-2.675325893,1,positive
2.334857475,1,positive
2.149299897,1,positive
-3.153587587,0,negative
-1.649879658,0,negative
-0.1253267053,0,negative
0.7443282655,1,positive
2.741326349,1,positive
1.443139335,1,positive
-3.722048354,0,negative
-0.04774546408,0,negative
-1.598620589,0,negative
2.171753116,1,positive
1.649050942,1,positive
1.54761035,1,positive
1.841051848,0,negative
-1.250907087,0,negative
-2.378929357,0,negative
2.794723873,1,positive
-0.0557298773,1,positive
-0.9502094002,1,positive
-3.204930953,0,negative
0.8801246938,0,negative
0.2432682111,0,negative
1.71397563,1,positive
-2.326893428,1,positive
2.694455846,1,positive
-4.318975336,0,negative
-0.6205912767,0,negative
1.518591366,0,negative
-0.07155129376,1,positive
1.241759827,1,positive
2.250766712,1,positive
-1.915773734,0,negative
-2.698653644,0,negative
1.30256811,0,negative
2.364485135,1,positive
1.791017658,1,positive
-0.8436435252,1,positive
0.4232271183,0,negative
-4.249904451,0,negative
-0.07839509671,0,negative
2.52252995,1,positive
0.2986657592,1,positive
1.08387672,1,positive
1.947417461,0,negative
-1.654591628,0,negative
1.374221868,0,negative
-0.3696199219,1,positive
-0.2155583132,1,positive
-1.081869466,1,positive
-5.255309129,0,negative
0.7308040825,0,negative
1.501969117,0,negative
-1.707595891,1,positive
1.142597166,1,positive
3.587534655,1,positive
-6.441324165,0,negative
-3.250283392,0,negative
3.970446221,0,negative
2.63176586,1,positive
0.8362906013,1,positive
2.253104874,1,positive
-0.8558966055,0,negative
0.199568043,0,negative
-1.591447653,0,negative
1.184173067,1,positive
0.1093512176,1,positive
0.9542519305,1,positive
-4.018201363,0,negative
3.693004608,0,negative
-1.460760556,0,negative
0.6613485123,1,positive
3.22978362,1,positive
-2.105174821,1,positive
-5.645809162,0,negative
6.412983457,0,negative
0.1725447287,0,negative
1.832205222,1,positive
-1.939800999,1,positive
-0.832123246,1,positive
-1.532960145,0,negative
1.023243099,1,positive
0.07582459791,1,positive
0.433892448,1,positive
-3.745710969,0,negative
-1.240531615,0,negative
-3.087884826,0,negative
-0.827841864,1,positive
8.315610317,1,positive
0.5863589569,1,positive
-1.990850885,0,negative
-3.775888751,0,negative
-3.966384647,0,negative
5.26887072,1,positive
1.918031606,1,positive
2.546221957,1,positive
2.215480931,0,negative
-2.217383346,0,negative
-2.007719317,0,negative
0.6829754614,1,positive
0.7060809082,1,positive
0.6205653621,1,positive
-3.204642022,0,negative
-2.704260473,0,negative
1.294573417,0,negative
