row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8681033853,0,3
MeanDiff,LogReg,0.3956956215,0,3
MeanDiff,PCA,0.8681735335,1.359739956e-16,3
MeanDiff,Random,0.04164050999,0.0156100226,3
KMeans,MeanDiff,0.8681033853,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.04436127667,0,3
KMeans,PCA,0.9996702241,0,3
KMeans,Random,0.03511875327,0.03216171045,3
LogReg,MeanDiff,0.3956956215,0,3
LogReg,KMeans,0.04436127667,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.04573537816,0,3
LogReg,Random,0.01053292554,0.01585061269,3
PCA,MeanDiff,0.8681735335,1.359739956e-16,3
PCA,KMeans,0.9996702241,0,3
PCA,LogReg,0.04573537816,0,3
PCA,PCA,1,0,3
PCA,Random,0.03467325893,0.03130293867,3
Random,MeanDiff,0.04164050999,0.0156100226,3
Random,KMeans,0.03511875327,0.03216171045,3
Random,LogReg,0.01053292554,0.01585061269,3
Random,PCA,0.03467325893,0.03130293867,3
Random,Random,1,0,3
