projection,y,level
-85.90553571,0,neutral
-112.1378289,1,positive
-108.7674421,0,neutral
-94.40352503,1,positive
-101.0250819,0,neutral
-93.63472924,1,positive
-54.63084251,0,neutral
-57.251268,1,positive
-64.0215731,0,neutral
-58.43635488,1,positive
-63.05928049,1,positive
-84.64989642,0,neutral
-79.71197995,1,positive
-79.9062637,0,neutral
-77.16210487,1,positive
-79.84925835,0,neutral
-84.14096509,1,positive
-98.10942915,0,neutral
-83.30032427,1,positive
-84.33008751,0,neutral
-94.69951181,1,positive
-79.53898398,0,neutral
-95.38655389,1,positive
-58.30561027,0,neutral
-52.34800137,1,positive
-66.68725017,0,neutral
-54.57510785,1,positive
-72.93547194,0,neutral
-63.370704,1,positive
-80.98006726,0,neutral
-80.32868615,1,positive
-76.97880326,0,neutral
-84.98071336,1,positive
-95.32776269,0,neutral
-84.57317993,1,positive
-85.12862274,0,neutral
-79.77328955,1,positive
-76.60883119,0,neutral
-78.69180989,1,positive
-90.29801929,0,neutral
-75.57877982,1,positive
-76.15293762,0,neutral
-63.28589929,1,positive
-65.69041346,0,neutral
-60.42569843,1,positive
-66.02097575,0,neutral
-78.61459714,1,positive
-63.98058548,0,neutral
-48.19661519,1,positive
-55.66578578,0,neutral
-59.63268432,1,positive
-62.84719389,0,neutral
-59.72389723,1,positive
-88.49340489,0,neutral
-83.08631267,1,positive
-99.11499527,0,neutral
-78.51442644,1,positive
-87.9779268,0,neutral
-49.43690296,0,neutral
-47.13608674,1,positive
-52.61669558,0,neutral
-45.85605333,1,positive
-51.08880233,0,neutral
-45.77007798,1,positive
-63.6113299,0,neutral
-68.56234891,1,positive
-57.86183954,0,neutral
-60.34357129,1,positive
-67.69537097,0,neutral
-55.87426807,1,positive
-97.56571411,0,neutral
-95.38039394,1,positive
-91.6835652,0,neutral
-89.00785637,1,positive
-91.7137089,0,neutral
-88.81187388,1,positive
-85.08108814,0,neutral
-72.1790689,1,positive
-89.96411863,0,neutral
-87.68718418,1,positive
-96.15147822,0,neutral
-59.48831089,0,neutral
-46.67323153,1,positive
-57.22506565,0,neutral
-54.160176,1,positive
-63.83518519,0,neutral
-53.5729789,1,positive
-64.70972649,0,neutral
-60.63095237,1,positive
-54.50223149,0,neutral
-47.99294954,1,positive
-59.5732888,0,neutral
-57.2544041,1,positive
-51.49863092,0,neutral
-47.77140556,1,positive
-45.42962667,0,neutral
-43.38696055,1,positive
-58.71762912,0,neutral
-47.95275914,1,positive
-66.06735834,0,neutral
-57.94514054,1,positive
-66.56151051,0,neutral
-65.55122718,1,positive
-73.38437594,0,neutral
-60.10695371,1,positive
-46.90661427,0,neutral
-40.31020992,1,positive
-49.89126567,0,neutral
-47.05139948,1,positive
-49.63846914,0,neutral
-56.35314612,0,neutral
-55.98832602,1,positive
-55.83561178,0,neutral
-47.72824485,1,positive
-62.29062676,0,neutral
-65.35458062,1,positive
-56.27679849,0,neutral
-58.33787164,1,positive
-66.29575117,0,neutral
-67.65510457,1,positive
-68.769496,0,neutral
-68.91912767,1,positive
-56.17285442,0,neutral
-64.21823679,1,positive
-58.27112693,0,neutral
-64.05846141,1,positive
-60.82750299,0,neutral
-60.64308739,1,positive
-44.2578961,0,neutral
-50.25102632,1,positive
-48.29446557,0,neutral
-53.91077271,1,positive
-51.73097515,0,neutral
-54.08078943,1,positive
-66.42030603,0,neutral
-63.63918379,1,positive
-63.85008321,0,neutral
-57.50405248,1,positive
-59.43536077,0,neutral
-56.39572385,1,positive
-45.828784,0,neutral
-45.43736856,1,positive
-43.79280099,0,neutral
-45.5771077,1,positive
-51.11914116,0,neutral
-50.56309569,1,positive
-104.5726912,0,neutral
-108.9441605,1,positive
-106.5364405,0,neutral
-101.1316349,1,positive
-104.3166525,0,neutral
-101.675063,1,positive
-97.33887733,0,neutral
-89.04982367,1,positive
-94.20682496,0,neutral
-87.45931195,1,positive
-88.58902961,0,neutral
-80.07555925,1,positive
-58.66961447,0,neutral
-66.46643512,0,neutral
-64.63143811,1,positive
-63.82200945,0,neutral
-60.26374426,1,positive
-67.07274085,0,neutral
-64.88920786,1,positive
-66.99055099,0,neutral
-69.99511877,1,positive
-77.03365292,0,neutral
-81.3385463,1,positive
-50.76250121,0,neutral
-47.43181206,1,positive
-52.02731839,0,neutral
-49.09228364,1,positive
-53.82942763,0,neutral
-54.74379578,1,positive
-44.02642272,0,neutral
-46.40007383,1,positive
-53.64721113,0,neutral
-46.14389129,1,positive
-46.24132643,0,neutral
-42.4899418,1,positive
-96.57845978,0,neutral
-94.93965693,1,positive
-85.20680735,0,neutral
-94.90479573,1,positive
-90.7031205,0,neutral
-84.76492955,1,positive
-111.9300801,0,neutral
-119.9563596,0,neutral
-110.5604203,1,positive
-111.9875849,0,neutral
-53.153056,0,neutral
-56.57212864,1,positive
-57.45048473,0,neutral
-53.90036605,1,positive
-59.85244902,0,neutral
-55.54478312,1,positive
-65.00824411,0,neutral
-64.12399706,1,positive
-63.76853423,0,neutral
-69.22447891,1,positive
-65.87872213,0,neutral
-68.57962826,1,positive
-76.59382858,0,neutral
-69.04330216,1,positive
-77.95878986,0,neutral
-83.97097977,1,positive
-87.11421321,0,neutral
-79.63750353,1,positive
-69.45202507,0,neutral
-68.84075317,1,positive
-71.98259736,0,neutral
-75.50062754,1,positive
-75.7821957,0,neutral
-75.44850889,1,positive
-108.3458456,0,neutral
-101.4153953,1,positive
-117.2003421,0,neutral
-108.6223171,1,positive
-101.4357135,0,neutral
-108.149352,1,positive
-62.45189679,0,neutral
-62.0244134,1,positive
-62.52421771,0,neutral
-67.40741116,1,positive
-62.22680718,0,neutral
-57.46526723,1,positive
-53.16903593,0,neutral
-45.37025321,1,positive
-50.79732996,0,neutral
-48.2822308,1,positive
-49.29227494,0,neutral
-50.13550022,1,positive
-87.76998263,0,neutral
-89.29825881,1,positive
-87.89873759,0,neutral
-89.03116998,1,positive
-93.2901944,0,neutral
-83.96425008,1,positive
-94.59036547,0,neutral
-101.5325473,1,positive
-102.1489141,0,neutral
-101.0372348,0,neutral
-80.57411857,0,neutral
-78.09875969,1,positive
-75.05882604,0,neutral
-75.95291421,1,positive
-76.04014368,0,neutral
-80.13811864,1,positive
-66.20005978,0,neutral
-65.39782945,1,positive
-66.69855703,0,neutral
-69.25347855,1,positive
-70.07295107,0,neutral
-58.94554747,0,neutral
-49.60219494,1,positive
-52.77083587,0,neutral
-45.15230694,1,positive
-58.52652804,0,neutral
-50.12514318,1,positive
-80.48202649,0,neutral
-85.60651809,1,positive
-80.09471754,0,neutral
-78.88261446,1,positive
-73.89946131,0,neutral
-74.96137225,1,positive
-80.2598689,0,neutral
-66.96060902,1,positive
-84.78480858,0,neutral
-79.87223247,1,positive
-85.04842346,0,neutral
-79.41621393,1,positive
-82.79984453,0,neutral
-75.82533218,1,positive
-84.85228079,0,neutral
-79.22634089,1,positive
-90.23200035,0,neutral
-80.42207609,1,positive
-80.35635317,0,neutral
-78.87048427,1,positive
-83.64704033,0,neutral
-78.80780759,1,positive
-80.657927,0,neutral
-78.44020216,1,positive
-85.36655163,0,neutral
-84.31893247,1,positive
-72.81882542,0,neutral
-75.68615906,1,positive
-80.63989918,0,neutral
-71.72779042,1,positive
-84.65827067,0,neutral
-94.16257166,1,positive
-95.81581433,0,neutral
-81.25826573,1,positive
-95.98078719,0,neutral
-94.72154991,1,positive
-54.00839917,0,neutral
-48.13729278,1,positive
-53.9546154,0,neutral
-53.50562708,1,positive
-58.97969746,0,neutral
-58.1430193,1,positive
-92.84493192,0,neutral
-98.74399393,1,positive
-95.40345846,0,neutral
-97.04201965,1,positive
-101.6826021,0,neutral
-87.29191295,1,positive
-76.84333215,0,neutral
-75.57997235,1,positive
-67.4246119,0,neutral
-69.03739384,1,positive
-76.94710461,0,neutral
-72.46274852,1,positive
-57.66227066,0,neutral
-56.49712815,1,positive
-60.30868317,0,neutral
-60.25713079,1,positive
-65.37747597,0,neutral
-57.10682234,1,positive
-84.11006754,0,neutral
-64.73101988,1,positive
-78.2826627,0,neutral
-71.811915,1,positive
-76.64554581,0,neutral
-79.32363029,1,positive
-97.52203881,0,neutral
-88.73796209,1,positive
-92.8061299,0,neutral
-86.59836894,1,positive
-85.54689655,0,neutral
-90.29390079,1,positive
-74.9598353,0,neutral
-73.48757883,1,positive
-82.13046253,0,neutral
-67.30380444,1,positive
-76.04060936,0,neutral
-71.56454812,1,positive
-93.99120718,0,neutral
-83.95211406,1,positive
-89.35068423,0,neutral
-89.0814956,1,positive
-76.57099289,0,neutral
-74.48363277,1,positive
-102.2246855,0,neutral
-96.0779533,1,positive
-112.0233768,0,neutral
-83.75799457,1,positive
-105.8872357,0,neutral
-83.77012074,1,positive
-79.23910716,1,positive
-88.39155702,0,neutral
-82.47328281,1,positive
-69.02440571,0,neutral
-74.92464031,1,positive
-78.01338658,0,neutral
-65.17602592,1,positive
-99.12655676,0,neutral
-88.08642357,1,positive
-71.03898933,0,neutral
-73.1730138,1,positive
-103.5300021,0,neutral
-105.7434761,1,positive
-95.95637447,0,neutral
-94.79832756,1,positive
-96.5423951,0,neutral
-96.11636682,1,positive
-72.87137266,0,neutral
-69.40958601,1,positive
-69.39147142,0,neutral
-68.08134368,1,positive
-72.91956447,0,neutral
-68.84505424,1,positive
-55.58502168,0,neutral
-52.67897499,1,positive
-56.23765008,0,neutral
-57.23242654,1,positive
-56.07068851,0,neutral
-52.86164748,1,positive
-70.88401696,0,neutral
-68.55828067,1,positive
-69.01245934,0,neutral
-71.19585307,1,positive
-69.63287955,0,neutral
-73.44904408,1,positive
-152.1176556,0,neutral
-127.2581937,1,positive
-144.496581,0,neutral
-149.4664379,1,positive
-157.0606022,0,neutral
-127.0697972,1,positive
-119.171276,0,neutral
-107.5530074,1,positive
-117.1446788,0,neutral
-103.3333916,1,positive
-132.0992433,0,neutral
-113.650532,1,positive
-99.89786443,0,neutral
-89.5573512,1,positive
-104.6488758,0,neutral
-94.92609334,1,positive
-95.98710079,0,neutral
-100.963854,1,positive
-92.77175884,0,neutral
-87.0665992,1,positive
-83.66723535,0,neutral
-84.30100792,1,positive
-88.36614045,0,neutral
-82.1022767,1,positive
-68.28107338,0,neutral
-63.96227527,1,positive
-68.06112101,0,neutral
-63.1460745,1,positive
-75.75456986,0,neutral
-68.29211863,1,positive
-106.1325095,0,neutral
-83.82134984,1,positive
-100.8962338,0,neutral
-93.4837647,1,positive
-97.88027176,0,neutral
-84.02895741,1,positive
