projection,y,level
-2.238479749,0,negative
-0.7558276348,0,negative
-1.676646933,0,negative
1.188544463,1,neutral
1.626658567,1,neutral
1.855751287,1,neutral
-2.851658432,0,negative
-1.302396367,0,negative
-0.4610052435,0,negative
1.556760429,1,neutral
3.058299613,1,neutral
-1.131368628,0,negative
-1.744854945,0,negative
-1.885826099,0,negative
2.12160458,1,neutral
1.347861474,1,neutral
1.292583618,1,neutral
-3.042182923,0,negative
-2.295888227,0,negative
-0.3216726694,0,negative
2.90934408,1,neutral
1.722955158,1,neutral
1.027444581,1,neutral
-2.649601023,0,negative
-0.5091013833,0,negative
-2.04585252,0,negative
1.91674154,1,neutral
1.099062864,1,neutral
2.188750523,1,neutral
-0.7878823535,0,negative
-1.578030351,0,negative
-1.749917651,0,negative
1.438288159,1,neutral
-0.1149193335,1,neutral
2.79246153,1,neutral
-3.630523788,0,negative
-3.263336231,0,negative
1.779669654,1,neutral
2.502551618,1,neutral
2.611638746,1,neutral
-1.247162606,0,negative
-0.7704649998,0,negative
0.4731822476,1,neutral
2.076185008,1,neutral
-0.5317396504,1,neutral
-0.3769623258,0,negative
-1.296890066,0,negative
-1.862274912,0,negative
0.9293702536,1,neutral
1.540801068,1,neutral
1.065955982,1,neutral
-3.497098319,0,negative
-2.064571917,0,negative
-4.448464569,0,negative
3.617485694,1,neutral
3.588687983,1,neutral
2.803961128,1,neutral
-2.352592005,0,negative
-3.367895981,0,negative
-2.559268111,0,negative
1.701376218,1,neutral
3.730996942,1,neutral
2.847382937,1,neutral
-3.573148528,0,negative
-1.041835122,0,negative
-4.106595185,0,negative
2.655559917,1,neutral
2.270343969,1,neutral
3.795674949,1,neutral
-3.068126715,0,negative
-1.973481676,0,negative
-2.283818348,0,negative
2.658961182,1,neutral
1.943426739,1,neutral
2.723038818,1,neutral
-2.710907454,0,negative
-2.974255866,0,negative
-2.939075154,0,negative
2.644343546,1,neutral
3.102079122,1,neutral
2.877815807,1,neutral
-2.526052746,0,negative
-2.556817205,0,negative
-3.903633067,0,negative
3.892117147,1,neutral
3.023364588,1,neutral
2.071021283,1,neutral
-2.833701789,0,negative
-0.6169701549,0,negative
-2.578761487,0,negative
1.10533981,1,neutral
2.037198413,1,neutral
2.886895208,1,neutral
-1.095783405,0,negative
-0.06026916095,0,negative
0.1067673023,0,negative
0.1424146106,1,neutral
-1.219073588,1,neutral
2.125944241,1,neutral
-3.419850132,0,negative
-2.938268276,0,negative
-2.71101662,0,negative
3.204148989,1,neutral
3.120426837,1,neutral
2.744559201,1,neutral
-0.8846571431,0,negative
-3.124454358,0,negative
-2.892129723,0,negative
2.854891187,1,neutral
1.58805277,1,neutral
2.458297268,1,neutral
-2.091612333,0,negative
-0.8348269234,0,negative
-3.42608695,0,negative
2.406895185,1,neutral
2.594192576,1,neutral
1.351438445,1,neutral
-0.3280439701,0,negative
-1.313475236,0,negative
-1.344734882,0,negative
1.773583979,1,neutral
0.4280245278,1,neutral
0.784645581,1,neutral
1.113087953,0,negative
-1.993804771,0,negative
-2.884212061,0,negative
2.508833211,1,neutral
0.3187028933,1,neutral
0.9373927745,1,neutral
0.02653243067,0,negative
-2.977144738,0,negative
-1.734416858,0,negative
1.715856567,1,neutral
1.7885119,1,neutral
1.180660697,1,neutral
-2.835116101,0,negative
-4.230567632,0,negative
-3.283163912,0,negative
4.008475403,1,neutral
3.108236969,1,neutral
3.232135273,1,neutral
-1.567479644,0,negative
-1.977660314,0,negative
-4.563431474,0,negative
2.656189738,1,neutral
2.620496515,1,neutral
2.83188518,1,neutral
0.3846304607,0,negative
-0.7703414648,0,negative
-4.705324791,0,negative
2.293594649,1,neutral
0.8067166336,1,neutral
1.990724513,1,neutral
-0.9045734143,0,negative
-0.2570498296,0,negative
-3.188612223,0,negative
3.363547789,1,neutral
0.4374825283,1,neutral
0.5492051493,1,neutral
-4.385955836,0,negative
-4.942495157,0,negative
2.459308144,0,negative
2.606734604,1,neutral
1.557862037,1,neutral
