row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.04110151768,0,3
MeanDiff,LogReg,0.7420367485,0,3
MeanDiff,PCA,0.100685749,4.04145187e-10,3
MeanDiff,Random,0.03188640692,0.03753758606,3
KMeans,MeanDiff,0.04110151768,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,-0.0005047262198,0,3
KMeans,PCA,0.9868994452,1.527524873e-10,3
KMeans,Random,-0.005297188776,0.01770949258,3
LogReg,MeanDiff,0.7420367485,0,3
LogReg,KMeans,-0.0005047262198,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.04085979063,9.789279848e-10,3
LogReg,Random,0.02476121098,0.01155710343,3
PCA,MeanDiff,0.100685749,4.04145187e-10,3
PCA,KMeans,0.9868994452,1.527524873e-10,3
PCA,LogReg,0.04085979063,9.789279848e-10,3
PCA,PCA,1,0,3
PCA,Random,-0.006380285093,0.02653158297,3
Random,MeanDiff,0.03188640692,0.03753758606,3
Random,KMeans,-0.005297188776,0.01770949258,3
Random,LogReg,0.02476121098,0.01155710343,3
Random,PCA,-0.006380285093,0.02653158297,3
Random,Random,1,0,3
