row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.04417373921,0,3
MeanDiff,LogReg,0.6734889524,0,3
MeanDiff,PCA,0.1029207762,1.300142044e-07,3
MeanDiff,Random,0.03028802297,0.03664815668,3
KMeans,MeanDiff,0.04417373921,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01560433855,0,3
KMeans,PCA,0.9780658712,2.861817649e-09,3
KMeans,Random,-0.01461217413,0.03166870001,3
LogReg,MeanDiff,0.6734889524,0,3
LogReg,KMeans,0.01560433855,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.03571868162,1.861600071e-07,3
LogReg,Random,0.01354265816,0.02589368115,3
PCA,MeanDiff,0.1029207762,1.300142044e-07,3
PCA,KMeans,0.9780658712,2.861817649e-09,3
PCA,LogReg,0.03571868162,1.861600071e-07,3
PCA,PCA,1,0,3
PCA,Random,-0.008320528717,0.02574239054,3
Random,MeanDiff,0.03028802297,0.03664815668,3
Random,KMeans,-0.01461217413,0.03166870001,3
Random,LogReg,0.01354265816,0.02589368115,3
Random,PCA,-0.008320528717,0.02574239054,3
Random,Random,1,0,3
