projection,y,level
-2.148467543,0,negative
-0.5062865151,0,negative
-0.9454072921,0,negative
2.150147938,1,positive
0.155022571,1,positive
1.294990841,1,positive
-2.478131648,0,negative
-1.885320453,0,negative
-1.236691188,0,negative
1.680482074,1,positive
2.010201443,1,positive
1.909459771,1,positive
-0.6616279378,0,negative
-1.462871614,0,negative
-2.014659549,0,negative
0.56529782,1,positive
3.120603721,1,positive
0.4532575601,1,positive
-0.7784498521,0,negative
-2.586992242,0,negative
-1.001961856,0,negative
2.648207571,1,positive
0.9536101307,1,positive
0.7655862491,1,positive
-2.3867363,0,negative
-0.3737097774,0,negative
-1.874739974,0,negative
2.795149044,1,positive
1.09096889,1,positive
0.7490681177,1,positive
-0.6475621453,0,negative
-1.207423142,0,negative
-1.410983633,0,negative
1.358453179,1,positive
0.9627499246,1,positive
0.9447658171,1,positive
-3.550878332,0,negative
-3.129640873,0,negative
1.09376494,1,positive
2.259928252,1,positive
3.326826013,1,positive
-1.564904337,0,negative
-1.135881528,0,negative
0.3016397255,1,positive
0.8940798231,1,positive
1.505066316,1,positive
-0.6414668219,0,negative
-1.434918223,0,negative
-1.861313018,0,negative
2.166143212,1,positive
0.6409675522,1,positive
1.130587299,1,positive
-0.811726655,0,negative
-2.381813689,0,negative
-1.389019095,0,negative
2.157406678,1,positive
2.425152762,1,positive
-2.355218051,0,negative
-3.016692932,0,negative
-2.131869562,0,negative
3.733671305,1,positive
2.510029696,1,positive
1.260079544,1,positive
-1.081770458,0,negative
-1.458813969,0,negative
-1.768376226,0,negative
1.441768325,1,positive
2.005661795,1,positive
0.8615305328,1,positive
-2.84388063,0,negative
-1.590609111,0,negative
-1.937265616,0,negative
2.332092341,1,positive
2.674737458,1,positive
1.364925559,1,positive
-1.005566994,0,negative
-1.227657616,0,negative
-1.354872222,0,negative
0.952724346,1,positive
2.635372486,1,positive
-1.635865822,0,negative
-2.100501712,0,negative
-2.996971596,0,negative
1.736930764,1,positive
1.490182904,1,positive
3.506225461,1,positive
-2.398543847,0,negative
-0.3483333329,0,negative
-2.471028113,0,negative
1.320811745,1,positive
2.595308861,1,positive
1.301784686,1,positive
-1.769183259,0,negative
-0.7913495861,0,negative
-0.538723071,0,negative
1.276913536,1,positive
1.325195919,1,positive
0.4971464614,1,positive
-2.691233485,0,negative
-1.766050715,0,negative
-1.674152125,0,negative
1.908573969,1,positive
1.573002786,1,positive
2.64985957,1,positive
-1.312780206,0,negative
-2.377852707,0,negative
-0.9259327013,0,negative
3.087774737,1,positive
1.528790877,1,positive
-2.725859202,0,negative
-1.650399154,0,negative
-1.526429717,0,negative
3.176817182,1,positive
1.08357314,1,positive
1.642297751,1,positive
-0.9948003701,0,negative
-1.608927866,0,negative
-1.935799974,0,negative
1.711175701,1,positive
1.159424054,1,positive
1.668928454,1,positive
1.405607335,0,negative
-1.670479731,0,negative
-2.66994632,0,negative
1.05726133,1,positive
0.770110539,1,positive
1.107446848,1,positive
-1.083997745,0,negative
-3.558753022,0,negative
-1.910686255,0,negative
2.319638426,1,positive
1.4858851,1,positive
2.747913495,1,positive
-1.970222346,0,negative
-2.820222081,0,negative
-1.94382863,0,negative
2.902243391,1,positive
0.6788336997,1,positive
3.153195966,1,positive
-1.706881575,0,negative
-1.642813638,0,negative
-1.901049255,0,negative
2.212922288,1,positive
2.130622215,1,positive
0.9071999641,1,positive
0.2663541763,0,negative
-0.6198885349,0,negative
-1.799601926,0,negative
0.783558657,1,positive
0.8799745377,1,positive
0.4896030898,1,positive
-1.441595462,0,negative
-0.959762283,0,negative
-0.5445972113,0,negative
0.5441141628,1,positive
0.169441837,1,positive
2.232398957,1,positive
-2.099905557,0,negative
-2.482932485,0,negative
1.86104861,0,negative
0.4904555031,1,positive
2.23133393,1,positive
-0.2681237758,0,negative
-0.3773819215,0,negative
0.1010542979,0,negative
-0.8110806294,1,positive
1.922062921,1,positive
-0.5665308921,1,positive
-1.372212432,0,negative
-1.014952438,0,negative
-1.40296049,0,negative
1.39622526,1,positive
1.314172862,1,positive
1.079727238,1,positive
-1.9973649,0,negative
-0.9120544959,0,negative
-1.47776833,0,negative
0.9240661689,1,positive
1.79213365,1,positive
1.670987907,1,positive
-0.216136896,0,negative
-1.836463145,0,negative
-0.543463193,0,negative
1.688386389,1,positive
-0.7219131761,1,positive
1.629590021,1,positive
-1.376676368,0,negative
-0.3204559116,0,negative
-0.08462813875,0,negative
1.781760419,1,positive
0.406699621,0,negative
-2.035903615,0,negative
-2.813910376,0,negative
2.068831057,1,positive
1.50207011,1,positive
0.8722132026,1,positive
-0.9275025334,0,negative
-1.230055451,0,negative
-2.153275448,0,negative
2.917357843,1,positive
0.6694420261,1,positive
0.7240335633,1,positive
-1.593272317,0,negative
-0.7556595816,0,negative
-0.9864120575,0,negative
1.652360508,1,positive
0.5442545678,1,positive
1.13872888,1,positive
-0.8798469549,0,negative
-1.726920606,0,negative
-1.887415131,0,negative
0.6584544446,1,positive
1.033554876,1,positive
2.802173371,1,positive
-3.003582559,0,negative
-1.165832399,0,negative
-1.249850201,0,negative
2.367286983,1,positive
2.31087638,1,positive
0.741101796,1,positive
-1.245337107,0,negative
-3.003765355,0,negative
-1.255349356,0,negative
2.138487648,1,positive
1.357354386,1,positive
2.008609784,1,positive
-2.440201002,0,negative
-1.229321642,0,negative
-1.035902028,0,negative
0.5169670251,1,positive
1.949397142,1,positive
2.239060505,1,positive
-1.704042906,0,negative
-1.011830983,0,negative
-1.022009627,0,negative
1.497843269,1,positive
1.674759972,1,positive
0.5652802752,1,positive
0.3005265689,0,negative
-0.6979012243,0,negative
-0.9437128628,0,negative
1.341087518,1,positive
-1.357008734,0,negative
-1.840170514,0,negative
-1.045893936,0,negative
2.934426613,1,positive
1.151349472,1,positive
0.1572970982,1,positive
-1.1453371,0,negative
-1.696580825,0,negative
-2.333929935,0,negative
2.358431496,1,positive
2.817416364,1,positive
-2.810445588,0,negative
0.03927600313,0,negative
-0.09463510641,0,negative
1.137463715,1,positive
-0.1696412236,1,positive
1.8979822,1,positive
-1.105279336,0,negative
0.7429694525,0,negative
-0.7910087262,0,negative
0.1810176657,1,positive
-0.7967517708,1,positive
1.769052715,1,positive
-2.060017871,0,negative
-1.584647518,0,negative
-1.974860252,0,negative
1.558349607,1,positive
1.870099628,1,positive
2.191076406,1,positive
-2.729519534,0,negative
-0.6828281735,0,negative
-1.655168826,0,negative
1.603157735,1,positive
2.328216385,1,positive
1.136142414,1,positive
-2.288274006,0,negative
-2.241015768,0,negative
-2.201714693,0,negative
2.350456012,1,positive
1.865269173,1,positive
2.515279282,1,positive
-0.7393839202,0,negative
-3.223157095,0,negative
-2.332209095,0,negative
1.253869865,1,positive
2.573375935,1,positive
2.467504311,1,positive
-2.609850112,0,negative
0.5349270117,0,negative
-1.6707828,0,negative
0.7326757508,1,positive
1.884690347,1,positive
1.128339803,1,positive
-2.015000158,0,negative
-1.8114976,0,negative
-1.980196427,0,negative
1.945329081,1,positive
1.972930344,1,positive
1.88843476,1,positive
-1.094454401,0,negative
-2.288594198,0,negative
-1.931837573,0,negative
2.455947635,1,positive
1.199171923,1,positive
1.659766615,1,positive
1.487778366,0,negative
-2.072763373,0,negative
-2.038342862,0,negative
1.282460433,1,positive
0.1741181681,1,positive
1.166749269,1,positive
-0.8824153143,0,negative
-0.342341615,0,negative
-1.108296431,0,negative
0.4662268593,1,positive
0.7106652062,1,positive
1.156161295,1,positive
-3.387087616,0,negative
-2.411677334,0,negative
-1.040531956,0,negative
2.438865253,1,positive
1.917464487,1,positive
2.482967165,1,positive
-1.564464591,0,negative
-2.828993021,0,negative
-1.963053802,0,negative
3.447578493,1,positive
1.400167751,1,positive
1.50876517,1,positive
-1.411855838,0,negative
-0.8606592124,0,negative
-2.469687738,0,negative
1.756678997,1,positive
