projection,y,level
-0.008281866788,0,neutral
-0.589470932,0,neutral
-0.08012239372,0,neutral
0.5520024955,1,positive
-1.043189606,1,positive
1.169062303,1,positive
0.04249341293,0,neutral
-0.9755377953,0,neutral
0.4140003112,1,positive
0.3710579826,1,positive
0.1479860885,1,positive
-2.291703575,0,neutral
-1.707150717,0,neutral
-2.617392584,0,neutral
2.15792711,1,positive
2.525323181,1,positive
1.932996585,1,positive
0.1027994482,0,neutral
-0.8486890355,0,neutral
-0.03123496467,0,neutral
0.5004524981,1,positive
0.4224254735,1,positive
-0.1457534196,1,positive
-1.609492867,0,neutral
-2.158295276,0,neutral
-1.780323688,0,neutral
-0.3877509047,1,positive
2.853728597,1,positive
3.082134138,1,positive
-0.6706260214,0,neutral
0.3455091806,0,neutral
-1.497492932,0,neutral
0.4722050064,1,positive
0.6806989755,1,positive
0.6697057914,1,positive
-0.9619797912,0,neutral
-0.7673943215,0,neutral
-0.2653046234,0,neutral
0.6168597614,1,positive
0.8025774499,1,positive
0.5752415248,1,positive
-0.6231561624,0,neutral
-0.2147609968,0,neutral
0.6291362859,0,neutral
0.2699769274,1,positive
-0.6227570607,1,positive
0.5615610065,1,positive
-0.6713304174,0,neutral
-0.6465956222,0,neutral
-0.8480054928,0,neutral
0.9237875957,1,positive
0.3283714604,1,positive
0.9137724764,1,positive
-0.5435450173,0,neutral
-1.439137135,0,neutral
-1.137648251,0,neutral
-0.323689079,1,positive
3.444019482,1,positive
-0.1249452815,0,neutral
-2.027037193,0,neutral
-0.3443426779,0,neutral
1.135562164,1,positive
0.3275057889,1,positive
1.033257199,1,positive
-0.2896399739,0,neutral
-1.655389218,0,neutral
-1.539057403,0,neutral
0.8047845167,1,positive
1.511214824,1,positive
1.168087254,1,positive
-3.824839106,0,neutral
-3.427062348,0,neutral
-3.94323498,0,neutral
3.422326976,1,positive
4.249609601,1,positive
3.523199857,1,positive
-1.264454818,0,neutral
-1.09211628,0,neutral
-1.386733827,0,neutral
-0.2669746866,1,positive
4.010279611,1,positive
-2.235455644,0,neutral
-2.129613081,0,neutral
1.756076131,0,neutral
-0.6844516531,1,positive
-0.6939810121,1,positive
3.987425259,1,positive
0.9374512439,0,neutral
-2.803593398,0,neutral
-3.980502592,0,neutral
2.71834457,1,positive
1.865809345,1,positive
1.262490832,1,positive
0.02509512072,0,neutral
-0.02846940381,0,neutral
-4.468747625,0,neutral
0.8374634743,1,positive
1.859161685,1,positive
1.775496748,1,positive
-2.821293803,0,neutral
-2.258193123,0,neutral
-3.063946941,0,neutral
3.442973254,1,positive
2.484237339,1,positive
2.216223273,1,positive
-3.370410934,0,neutral
1.111488205,0,neutral
-2.398354086,0,neutral
2.312393158,1,positive
2.344883657,1,positive
-0.50311918,0,neutral
-1.989267895,0,neutral
-0.97202482,0,neutral
3.249250054,1,positive
-0.3360784222,1,positive
0.551240263,1,positive
-3.534398161,0,neutral
-2.158756443,0,neutral
-2.792413033,0,neutral
2.440960536,1,positive
3.028426257,1,positive
3.016180845,1,positive
-0.06625525985,0,neutral
-0.6994840632,0,neutral
-1.321073069,0,neutral
0.1775957059,1,positive
0.1636935883,1,positive
1.745523098,1,positive
-0.3984732202,0,neutral
-1.115595674,0,neutral
-0.2859498247,0,neutral
0.8039567808,1,positive
0.3732412971,1,positive
0.6228206407,1,positive
-0.3757199858,0,neutral
0.01703140505,0,neutral
-0.4178462036,0,neutral
0.4325665909,1,positive
0.1365768872,1,positive
0.2073913062,1,positive
-0.119616032,0,neutral
-2.110496655,0,neutral
-1.262188387,0,neutral
1.661182791,1,positive
1.512107841,1,positive
0.3190104416,1,positive
-0.172526804,0,neutral
-0.4559918145,0,neutral
-0.91734585,0,neutral
0.2816266797,1,positive
0.7087115215,1,positive
0.5555262674,1,positive
-3.128860222,0,neutral
-2.442161201,0,neutral
-2.821548654,0,neutral
2.980826554,1,positive
2.826483068,1,positive
2.585260454,1,positive
-1.489781972,0,neutral
-1.590271119,0,neutral
-2.463299785,0,neutral
2.276928593,1,positive
3.266424283,1,positive
-0.9788083614,0,neutral
-1.019936021,0,neutral
-1.142617768,0,neutral
-0.3883267154,1,positive
4.099997922,1,positive
-0.5703090558,1,positive
-0.3307096284,0,neutral
-0.4678860984,0,neutral
-1.472672938,0,neutral
0.6457136934,1,positive
0.7345162118,1,positive
0.8910387598,1,positive
-1.022257897,0,neutral
-0.59879186,0,neutral
-0.686117567,0,neutral
0.6833691452,1,positive
0.6404943864,1,positive
0.983303792,1,positive
-0.6580325045,0,neutral
-0.4113944297,0,neutral
-0.7215575948,0,neutral
0.8925635901,1,positive
0.8271648229,1,positive
0.071256116,1,positive
-0.1184657624,0,neutral
-0.3136577116,0,neutral
-0.5894074354,0,neutral
1.021530909,1,positive
-1.843046557,0,neutral
-2.333365577,0,neutral
-2.221535033,0,neutral
0.2352803894,1,positive
0.9730507429,1,positive
5.189616035,1,positive
-0.8149676531,0,neutral
-1.112377824,0,neutral
-0.4558771775,0,neutral
1.232454461,1,positive
-0.2607236476,1,positive
1.411491841,1,positive
-0.8801066353,0,neutral
-0.2786058039,0,neutral
-0.4583948047,0,neutral
1.175235182,1,positive
0.4043688857,1,positive
0.03750317599,1,positive
-1.971994347,0,neutral
-1.402578384,0,neutral
-1.982073622,0,neutral
-0.899346693,1,positive
2.985723955,1,positive
3.270269091,1,positive
-1.061059004,0,neutral
-1.449448705,0,neutral
-0.7388253037,0,neutral
-0.3737437786,1,positive
-0.3180992996,1,positive
3.941176091,1,positive
-2.230116928,0,neutral
-1.416346768,0,neutral
-1.088102882,0,neutral
-0.9769980443,1,positive
3.000143314,1,positive
2.711421308,1,positive
-1.800920991,0,neutral
-1.518449651,0,neutral
-1.086252365,0,neutral
0.6979551861,1,positive
-0.1544979697,1,positive
3.862165791,1,positive
-0.2584337091,0,neutral
-0.1326872086,0,neutral
-0.08166843596,0,neutral
0.3045961923,1,positive
0.1618822127,1,positive
0.006310948815,1,positive
0.6157284932,0,neutral
-0.6851348105,0,neutral
0.4831890074,0,neutral
-0.4137826901,1,positive
-0.9404374358,0,neutral
-1.603087488,0,neutral
-0.8346846588,0,neutral
3.208816926,1,positive
0.4461402641,1,positive
