layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.532699133,0.3336049426,6.91056518e-05,3
2,0.5086620029,0.3328420341,0,3
3,0.5159790761,0.329756914,0,3
4,0.5110429553,0.3426715278,6.798699778e-17,3
5,0.5134819797,0.3375663118,0,3
6,0.5112597574,0.3461604814,6.798699778e-17,3
7,0.532757205,0.3298158797,0,3
8,0.5496588607,0.3223104428,0,3
9,0.5518230109,0.3271932483,0,3
10,0.5665706003,0.3239983863,0,3
11,0.5762132548,0.3208986308,0,3
12,0.571335206,0.3256564181,0,3
13,0.5859112804,0.3174105554,0,3
14,0.5761551828,0.3218424381,0,3
15,0.571277134,0.3235614926,0,3
16,0.571163691,0.3265210078,0,3
17,0.6048055713,0.3148950215,0,3
18,0.6213769819,0.3100770251,0,3
19,0.6332945286,0.3156151839,0,3
20,0.6310723064,0.3171114732,0,3
21,0.686047502,0.3026531882,0,3
22,0.7024021104,0.3016911741,5.789431786e-05,3
23,0.7448472571,0.2915402542,0,3
24,0.8020763219,0.2875288566,0,3
25,0.7879569232,0.2863382543,0,3
26,0.9219764291,0.3547509514,0.009370107992,3
27,0.852971081,0.3817234152,0.001745366781,3
