row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9320496856,0,3
MeanDiff,LogReg,0.2983695198,0,3
MeanDiff,PCA,0.9331930927,0,3
MeanDiff,Random,0.012414526,0.01389831099,3
KMeans,MeanDiff,0.9320496856,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01828572043,0,3
KMeans,PCA,0.9999191334,0,3
KMeans,Random,0.01122410389,0.02403910131,3
LogReg,MeanDiff,0.2983695198,0,3
LogReg,KMeans,0.01828572043,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.0200905222,0,3
LogReg,Random,-0.00389537133,0.0283316339,3
PCA,MeanDiff,0.9331930927,0,3
PCA,KMeans,0.9999191334,0,3
PCA,LogReg,0.0200905222,0,3
PCA,PCA,1,0,3
PCA,Random,0.01116014996,0.02371900624,3
Random,MeanDiff,0.012414526,0.01389831099,3
Random,KMeans,0.01122410389,0.02403910131,3
Random,LogReg,-0.00389537133,0.0283316339,3
Random,PCA,0.01116014996,0.02371900624,3
Random,Random,1,0,3
