row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9288251378,0,3
MeanDiff,LogReg,0.2312540546,0,3
MeanDiff,PCA,0.9289402613,1.359739956e-16,3
MeanDiff,Random,0.0123868984,0.0138705382,3
KMeans,MeanDiff,0.9288251378,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.001988090638,0,3
KMeans,PCA,0.9999831087,0,3
KMeans,Random,0.01141207961,0.02491364008,3
LogReg,MeanDiff,0.2312540546,0,3
LogReg,KMeans,0.001988090638,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.001426075972,0,3
LogReg,Random,-0.0004375321487,0.02443522387,3
PCA,MeanDiff,0.9289402613,1.359739956e-16,3
PCA,KMeans,0.9999831087,0,3
PCA,LogReg,0.001426075972,0,3
PCA,PCA,1,0,3
PCA,Random,0.01140745364,0.0248555027,3
Random,MeanDiff,0.0123868984,0.0138705382,3
Random,KMeans,0.01141207961,0.02491364008,3
Random,LogReg,-0.0004375321487,0.02443522387,3
Random,PCA,0.01140745364,0.0248555027,3
Random,Random,1,0,3
