row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.3800124528,0,3
MeanDiff,LogReg,0.793432082,1.359739956e-16,3
MeanDiff,PCA,0.3804923001,0,3
MeanDiff,Random,0.02456685777,0.006801322294,3
KMeans,MeanDiff,0.3800124528,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.003663691257,0,3
KMeans,PCA,0.9999029898,1.359739956e-16,3
KMeans,Random,0.001778777793,0.02789601563,3
LogReg,MeanDiff,0.793432082,1.359739956e-16,3
LogReg,KMeans,0.003663691257,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.005860733523,0,3
LogReg,Random,0.008734771629,0.00684049338,3
PCA,MeanDiff,0.3804923001,0,3
PCA,KMeans,0.9999029898,1.359739956e-16,3
PCA,LogReg,0.005860733523,0,3
PCA,PCA,1,0,3
PCA,Random,0.001887734467,0.02764570717,3
Random,MeanDiff,0.02456685777,0.006801322294,3
Random,KMeans,0.001778777793,0.02789601563,3
Random,LogReg,0.008734771629,0.00684049338,3
Random,PCA,0.001887734467,0.02764570717,3
Random,Random,1,0,3
