row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.0987587084,0,3
MeanDiff,LogReg,0.7342959913,1.359739956e-16,3
MeanDiff,PCA,0.09873348824,0,3
MeanDiff,Random,0.0253119096,0.01423757322,3
KMeans,MeanDiff,0.0987587084,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,-0.0003035227431,0,3
KMeans,PCA,0.9999786727,1.359739956e-16,3
KMeans,Random,0.001477251323,0.02851798151,3
LogReg,MeanDiff,0.7342959913,1.359739956e-16,3
LogReg,KMeans,-0.0003035227431,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,-0.0004087094608,6.639355252e-20,3
LogReg,Random,0.01791745297,0.003486384829,3
PCA,MeanDiff,0.09873348824,0,3
PCA,KMeans,0.9999786727,1.359739956e-16,3
PCA,LogReg,-0.0004087094608,6.639355252e-20,3
PCA,PCA,1,0,3
PCA,Random,0.0015650879,0.02841426657,3
Random,MeanDiff,0.0253119096,0.01423757322,3
Random,KMeans,0.001477251323,0.02851798151,3
Random,LogReg,0.01791745297,0.003486384829,3
Random,PCA,0.0015650879,0.02841426657,3
Random,Random,1,0,3
