projection,y,level
53.31137704,0,negative
97.09634923,1,positive
66.1799711,0,negative
76.50758032,1,positive
58.21479768,0,negative
79.91079052,1,positive
33.94120466,0,negative
51.11286321,1,positive
40.26359941,0,negative
50.94413836,1,positive
35.80007652,0,negative
55.04802375,1,positive
50.54135784,0,negative
63.29695283,1,positive
47.46015555,0,negative
62.30822436,1,positive
44.06534465,0,negative
68.42115292,1,positive
66.1268629,0,negative
71.73864589,1,positive
64.77915583,0,negative
77.79181354,1,positive
72.94607293,0,negative
75.30531036,1,positive
35.46252021,0,negative
42.51425512,1,positive
41.04381214,0,negative
42.22083176,1,positive
41.9696236,0,negative
48.19632062,1,positive
56.38713624,0,negative
65.82184542,1,positive
49.57584998,0,negative
67.12106886,1,positive
54.57912095,0,negative
68.656792,1,positive
65.6870705,1,positive
40.99672158,0,negative
67.4960551,1,positive
54.0715684,0,negative
64.07079439,1,positive
51.49582219,1,positive
45.76159695,0,negative
48.31942569,1,positive
48.90678288,0,negative
66.07190263,1,positive
37.105168,0,negative
40.11223627,1,positive
44.04257798,0,negative
48.9074253,1,positive
39.4867848,0,negative
48.06072078,1,positive
52.73649249,0,negative
70.57676894,1,positive
58.51538809,0,negative
66.63283599,1,positive
50.27931942,0,negative
26.23864947,0,negative
39.91582122,1,positive
29.58181534,0,negative
39.42747069,1,positive
24.01791708,0,negative
39.55423104,1,positive
39.37239946,0,negative
55.67038259,1,positive
39.18580403,0,negative
49.75819879,1,positive
43.95774785,0,negative
46.30461408,1,positive
51.07992839,0,negative
78.87843119,1,positive
55.60772321,0,negative
75.77841201,1,positive
52.44126379,0,negative
74.99973654,1,positive
51.55570551,0,negative
59.40759837,1,positive
58.51483752,0,negative
72.60080587,1,positive
56.92555113,0,negative
35.10783271,0,negative
40.22284992,1,positive
35.2474353,0,negative
44.88163177,1,positive
39.72821581,0,negative
48.07654089,1,positive
37.4349514,0,negative
53.21270493,1,positive
44.48819093,0,negative
43.67593452,1,positive
35.31099135,0,negative
51.7085076,1,positive
35.06789526,0,negative
39.76903699,1,positive
36.89642447,0,negative
36.29474397,1,positive
36.44572241,0,negative
39.10144332,1,positive
44.50291977,0,negative
46.25418688,1,positive
44.27518008,0,negative
53.12150646,1,positive
54.99876098,0,negative
51.38841937,1,positive
32.06909533,0,negative
36.5082662,1,positive
29.11068317,0,negative
41.47599565,1,positive
32.44330698,0,negative
29.88573619,0,negative
43.31891172,1,positive
34.58936671,0,negative
39.51645593,1,positive
42.42642984,0,negative
49.51026899,1,positive
40.421576,0,negative
45.43719647,1,positive
51.15957095,0,negative
57.99564539,1,positive
48.76159109,0,negative
57.85523604,1,positive
39.0167336,0,negative
49.89708618,1,positive
42.01921612,0,negative
49.27337738,1,positive
42.18587702,0,negative
43.4542512,1,positive
30.61058091,0,negative
44.12876527,1,positive
35.02879543,0,negative
45.75190842,1,positive
28.96020197,0,negative
45.69062508,1,positive
44.89301092,0,negative
52.74994519,1,positive
38.44304041,0,negative
48.50701033,1,positive
45.36299638,0,negative
47.03013342,1,positive
29.42664261,0,negative
41.37487818,1,positive
31.25284643,0,negative
37.98164202,1,positive
34.77889868,0,negative
38.79264093,1,positive
84.84157201,0,negative
84.77128667,1,positive
71.93979493,0,negative
73.32271389,1,positive
77.01471441,0,negative
78.70262345,1,positive
66.86906615,0,negative
72.39756897,1,positive
64.45978156,0,negative
64.82675799,1,positive
57.62226848,0,negative
63.1514085,1,positive
32.25700228,0,negative
44.31292984,0,negative
48.54473722,1,positive
39.72864668,0,negative
51.74831306,1,positive
46.6554282,0,negative
50.66386975,1,positive
58.38620832,0,negative
53.49090864,1,positive
51.92176409,0,negative
