row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9600430533,1.359739956e-16,3
MeanDiff,LogReg,0.1480560822,0,3
MeanDiff,PCA,0.9604509727,0,3
MeanDiff,Random,0.01470345697,0.009636971424,3
KMeans,MeanDiff,0.9600430533,1.359739956e-16,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.0008270483138,1.32787105e-19,3
KMeans,PCA,0.9999796425,0,3
KMeans,Random,0.02166224117,0.0114021227,3
LogReg,MeanDiff,0.1480560822,0,3
LogReg,KMeans,0.0008270483138,1.32787105e-19,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.001100941336,0,3
LogReg,Random,-0.00406977588,0.008919060823,3
PCA,MeanDiff,0.9604509727,0,3
PCA,KMeans,0.9999796425,0,3
PCA,LogReg,0.001100941336,0,3
PCA,PCA,1,0,3
PCA,Random,0.02155779103,0.01133128899,3
Random,MeanDiff,0.01470345697,0.009636971424,3
Random,KMeans,0.02166224117,0.0114021227,3
Random,LogReg,-0.00406977588,0.008919060823,3
Random,PCA,0.02155779103,0.01133128899,3
Random,Random,1,0,3
