projection,y,level
83.55364345,0,neutral
-48.30004209,0,neutral
-20.55344313,0,neutral
-116.7107816,1,positive
50.64225811,1,positive
51.36836527,1,positive
50.91229958,0,neutral
-16.8355977,0,neutral
0.9192423046,1,positive
0.6272465575,1,positive
-35.62319074,1,positive
-20.13205084,0,neutral
12.35605711,0,neutral
11.8287334,0,neutral
14.3047228,1,positive
-1.956976899,1,positive
-16.40048558,1,positive
-93.59452668,0,neutral
43.28225352,0,neutral
74.28765284,0,neutral
43.10620009,1,positive
-33.03249471,1,positive
-34.04908506,1,positive
23.10591707,0,neutral
-32.57539388,0,neutral
-77.4070539,0,neutral
43.29319224,1,positive
53.49089564,1,positive
-9.907557176,1,positive
19.56748882,0,neutral
43.7562664,0,neutral
-61.21135921,0,neutral
21.20557581,1,positive
-11.75113166,1,positive
-11.56684016,1,positive
-21.34105711,0,neutral
38.04626813,0,neutral
-57.98475344,0,neutral
11.86043827,1,positive
-11.6106421,1,positive
41.02974625,1,positive
-49.63339077,0,neutral
24.70799378,0,neutral
22.18796938,0,neutral
41.80380141,1,positive
59.73904426,1,positive
-98.80541807,1,positive
-47.94691348,0,neutral
6.783954274,0,neutral
6.244436285,0,neutral
74.37754518,1,positive
-27.34113856,1,positive
-12.11788371,1,positive
-2.239352478,0,neutral
-86.85487593,0,neutral
0.9023249403,0,neutral
27.03318809,1,positive
61.15871538,1,positive
-7.697251624,0,neutral
-7.818957055,0,neutral
-20.12956901,0,neutral
5.271920552,1,positive
15.67789108,1,positive
14.69596606,1,positive
-15.47028886,0,neutral
48.35737025,0,neutral
-18.67188831,0,neutral
-54.13667548,1,positive
3.397833279,1,positive
36.52364911,1,positive
-36.97195954,0,neutral
6.025675309,0,neutral
6.528392084,0,neutral
-18.31554872,1,positive
22.28072448,1,positive
20.45271638,1,positive
34.79779263,0,neutral
-22.38869933,0,neutral
-62.94079987,0,neutral
103.1866313,1,positive
-52.65492477,1,positive
-21.82348122,0,neutral
-6.595936235,0,neutral
-54.56076956,0,neutral
60.8044981,1,positive
11.14366719,1,positive
11.03202172,1,positive
-27.99491828,0,neutral
27.579446,0,neutral
-3.460702756,0,neutral
-28.93712835,1,positive
48.54130517,1,positive
-15.72800178,1,positive
-17.93678054,0,neutral
27.63313186,0,neutral
-52.49024751,0,neutral
18.47586602,1,positive
29.36862258,1,positive
-5.050592411,1,positive
-3.530538,0,neutral
-4.010259686,0,neutral
-51.64882209,0,neutral
23.10096947,1,positive
-1.610422445,1,positive
37.69907275,1,positive
1.814618998,0,neutral
-18.9269745,0,neutral
-18.75393989,0,neutral
41.12115881,1,positive
-5.25486341,1,positive
-11.34111077,0,neutral
31.21140314,0,neutral
-13.84435336,0,neutral
1.324760792,1,positive
40.76961476,1,positive
-48.12031456,1,positive
60.35874653,0,neutral
-11.88774237,0,neutral
-33.65837315,0,neutral
62.86484343,1,positive
-45.20230071,1,positive
-32.47517374,1,positive
28.44312072,0,neutral
12.13766105,0,neutral
-5.360156567,0,neutral
-24.98195545,1,positive
-24.34547227,1,positive
14.10680251,1,positive
37.39810213,0,neutral
18.01459726,0,neutral
-17.56867096,0,neutral
3.447896214,1,positive
-20.49432544,1,positive
-20.79759921,1,positive
-25.24835744,0,neutral
-5.558151734,0,neutral
27.79498645,0,neutral
-30.82120687,1,positive
11.9336243,1,positive
21.8991053,1,positive
4.861641435,0,neutral
22.56908843,0,neutral
-30.72670436,0,neutral
1.989638316,1,positive
16.80319933,1,positive
-15.49686315,1,positive
-7.147661744,0,neutral
-5.665312152,0,neutral
-8.324207388,0,neutral
-38.64475925,1,positive
45.6990213,1,positive
14.08291923,1,positive
-60.58216292,0,neutral
-24.32037949,0,neutral
14.90891378,0,neutral
-4.087631374,1,positive
16.81406718,1,positive
57.26719282,1,positive
34.72939328,0,neutral
-25.38979347,0,neutral
-0.02910780579,0,neutral
-22.41703513,1,positive
13.10654313,1,positive
35.37138095,0,neutral
35.32727628,0,neutral
-34.25284705,0,neutral
15.59255752,1,positive
12.53044708,1,positive
-64.56881478,1,positive
-3.858903546,0,neutral
0.8864679875,0,neutral
-12.93235989,0,neutral
27.90673504,1,positive
14.87317879,1,positive
-26.87511837,1,positive
17.7882746,0,neutral
-53.3469706,0,neutral
-1.182617214,0,neutral
14.61246005,1,positive
-3.430383487,1,positive
25.55923665,1,positive
-45.10341966,0,neutral
36.70720589,0,neutral
-1.790622211,0,neutral
-28.788718,1,positive
1.063812684,1,positive
37.9117413,1,positive
-11.29377945,0,neutral
-18.30536163,0,neutral
-10.3291594,0,neutral
39.92830048,1,positive
23.46530868,0,neutral
-5.846752731,0,neutral
-38.97636823,0,neutral
13.93888396,1,positive
11.10302416,1,positive
-3.684095836,1,positive
27.54967541,0,neutral
11.65580214,0,neutral
-8.338417753,0,neutral
29.73384403,1,positive
-31.3963884,1,positive
-29.20451543,1,positive
41.61461342,0,neutral
-19.00393289,0,neutral
-86.89045846,0,neutral
76.57548823,1,positive
-20.88367112,1,positive
8.587960826,1,positive
27.89633486,0,neutral
5.82080371,0,neutral
-21.8593853,0,neutral
27.71456156,1,positive
-19.81788502,1,positive
-19.7544298,1,positive
-15.8338797,0,neutral
-74.37150523,0,neutral
39.54355263,0,neutral
39.85462623,1,positive
-9.900752257,1,positive
20.70795833,1,positive
0.2355350698,0,neutral
0.7134277665,0,neutral
1.290610305,0,neutral
1.519495922,1,positive
-38.04637183,1,positive
34.28730276,1,positive
-21.79228663,0,neutral
-8.258336764,0,neutral
2.964581667,0,neutral
27.26985921,1,positive
5.705242982,1,positive
-5.889060457,1,positive
11.23371264,0,neutral
10.08974477,0,neutral
-25.47010993,0,neutral
-9.69569252,1,positive
-10.8070954,1,positive
24.64944043,1,positive
33.69732728,0,neutral
-13.40301851,0,neutral
-10.22741296,0,neutral
-10.06689581,1,positive
-4.75713912,0,neutral
45.14381073,0,neutral
13.74933303,0,neutral
-22.57341606,1,positive
-0.3089500537,1,positive
-31.25363853,1,positive
8.945453422,0,neutral
7.161007431,0,neutral
-14.96644279,0,neutral
10.6018072,1,positive
-11.74182526,1,positive
-42.49997891,0,neutral
2.243955485,0,neutral
-41.58456009,0,neutral
16.13895725,1,positive
49.67448938,1,positive
16.02713688,1,positive
-3.562451432,0,neutral
11.59947199,0,neutral
-8.809857049,0,neutral
-55.3018511,1,positive
13.44254485,1,positive
42.63214275,1,positive
-0.2566735475,0,neutral
-32.53472608,0,neutral
-33.61746941,0,neutral
64.5734047,1,positive
0.3711324398,1,positive
1.464331903,1,positive
12.40976215,0,neutral
-23.89712621,0,neutral
-59.79335725,0,neutral
39.47491378,1,positive
12.85526308,1,positive
18.95054445,1,positive
-0.5030402701,0,neutral
-50.26783749,0,neutral
-1.592762618,0,neutral
16.71693939,1,positive
17.93350728,1,positive
17.71319371,1,positive
-45.29716473,0,neutral
41.09052823,0,neutral
-13.36517837,0,neutral
-44.85597373,1,positive
17.00246771,1,positive
45.42532089,1,positive
57.35229985,0,neutral
-19.31260463,0,neutral
-20.61885606,0,neutral
-40.24523976,1,positive
42.20931473,1,positive
-19.38491413,1,positive
6.328826018,0,neutral
5.831302429,0,neutral
-20.67641493,0,neutral
44.11863118,1,positive
5.38685508,1,positive
-40.98919978,1,positive
27.7382358,0,neutral
4.762165558,0,neutral
-102.7568357,0,neutral
-11.20936172,1,positive
13.63617313,1,positive
67.82962288,1,positive
-22.84780544,0,neutral
23.31731684,0,neutral
-23.09419861,0,neutral
-20.1910706,1,positive
36.60989787,1,positive
6.205859932,1,positive
37.65821442,0,neutral
-19.46335727,0,neutral
-15.17996945,0,neutral
3.13619143,1,positive
-6.870852315,1,positive
0.7197731859,1,positive
-88.10910608,0,neutral
12.85981805,0,neutral
-10.27785085,0,neutral
34.20248793,1,positive
52.90094432,1,positive
-1.576293373,1,positive
-13.1856784,0,neutral
-40.64912277,0,neutral
16.43613113,0,neutral
43.3827663,1,positive
6.982258684,1,positive
-12.96635493,1,positive
30.73584834,0,neutral
-20.72688924,0,neutral
-16.76153448,0,neutral
-3.555390152,1,positive
15.91333974,1,positive
-5.605374209,1,positive
-66.30333256,0,neutral
-46.72983839,0,neutral
84.25310994,0,neutral
-24.71591123,1,positive
-6.696073358,1,positive
60.1920456,1,positive
-61.26344133,0,neutral
-77.96777548,0,neutral
-68.34568452,0,neutral
12.9401836,1,positive
109.3274574,1,positive
85.30926035,1,positive
-78.79778952,0,neutral
79.40123362,0,neutral
10.40908395,1,positive
-52.37891831,1,positive
41.36639027,1,positive
36.03207868,0,neutral
-159.9864165,0,neutral
26.10752613,0,neutral
92.98765276,1,positive
-54.55762467,1,positive
59.41678357,1,positive
-20.31024526,0,neutral
29.69050924,0,neutral
29.71876317,0,neutral
-91.15865049,1,positive
16.08673152,1,positive
35.97289182,1,positive
-14.73433133,0,neutral
9.358547675,0,neutral
-23.64919051,0,neutral
9.576806702,1,positive
9.86305687,1,positive
9.585110591,1,positive
-2.497176327,0,neutral
-3.200389334,0,neutral
-3.252278594,0,neutral
13.25166777,1,positive
-16.64300767,1,positive
12.34118415,1,positive
13.54214028,0,neutral
16.46883727,0,neutral
16.09180874,0,neutral
17.73885084,1,positive
-6.032043245,1,positive
-57.80959389,1,positive
0.4955575835,0,neutral
-36.70175358,0,neutral
-55.15726489,0,neutral
94.50916607,1,positive
-103.4104019,1,positive
100.2646967,1,positive
-35.4338979,0,neutral
13.36086837,0,neutral
-75.56990689,0,neutral
73.75541868,1,positive
53.79399244,1,positive
-29.9064747,1,positive
-40.13301004,0,neutral
-25.20734677,0,neutral
24.36483697,0,neutral
37.50997323,1,positive
24.87799878,1,positive
-21.41245218,1,positive
-1.138038336,0,neutral
18.84354249,0,neutral
-17.27074998,0,neutral
-24.9539121,1,positive
13.30413923,1,positive
11.2150187,1,positive
16.07298316,0,neutral
-26.30804257,0,neutral
-73.51521717,0,neutral
45.79700512,1,positive
25.2738069,1,positive
12.67946456,1,positive
-103.1763506,0,neutral
-34.59376826,0,neutral
5.923039987,0,neutral
60.07943413,1,positive
11.05992224,1,positive
60.70772248,1,positive
