projection,y,level
-668.0722322,0,neutral
-872.0995589,1,positive
-802.2125073,0,neutral
-701.7676406,1,positive
-774.1117458,0,neutral
-701.2838241,1,positive
-404.1090485,0,neutral
-454.9821723,1,positive
-472.888796,0,neutral
-455.3177669,1,positive
-492.1695635,1,positive
-626.1451467,0,neutral
-591.468181,1,positive
-593.225613,0,neutral
-608.0724447,1,positive
-593.757757,0,neutral
-622.848744,1,positive
-763.4720412,0,neutral
-624.5783751,1,positive
-624.1778809,0,neutral
-702.0615067,1,positive
-592.5840798,0,neutral
-702.9881061,1,positive
-434.7443352,0,neutral
-414.5011249,1,positive
-491.3170637,0,neutral
-403.969094,1,positive
-537.0142136,0,neutral
-468.6317885,1,positive
-593.2954417,0,neutral
-592.0931503,1,positive
-568.4241898,0,neutral
-625.6248046,1,positive
-675.2131005,0,neutral
-625.4342145,1,positive
-624.5796498,0,neutral
-591.0477262,1,positive
-564.0714312,0,neutral
-614.7163852,1,positive
-661.870204,0,neutral
-561.4156513,1,positive
-564.0677949,0,neutral
-471.1309934,1,positive
-488.6046794,0,neutral
-452.9323592,1,positive
-491.0501386,0,neutral
-614.3169724,1,positive
-494.0428296,0,neutral
-369.9388866,1,positive
-438.5195468,0,neutral
-473.4714919,1,positive
-438.7669919,0,neutral
-458.003254,1,positive
-683.3535905,0,neutral
-653.8459622,1,positive
-769.4684118,0,neutral
-619.0291561,1,positive
-680.1726661,0,neutral
-366.94295,0,neutral
-353.9708018,1,positive
-366.6804065,0,neutral
-343.4119429,1,positive
-379.5342807,0,neutral
-344.398936,1,positive
-471.3099531,0,neutral
-511.0356044,1,positive
-406.0620703,0,neutral
-452.3993691,1,positive
-474.3091889,0,neutral
-418.6689675,1,positive
-717.9047657,0,neutral
-699.7833949,1,positive
-674.1784381,0,neutral
-658.6825364,1,positive
-673.5976466,0,neutral
-660.4254027,1,positive
-604.4017193,0,neutral
-535.4272815,1,positive
-662.9761013,0,neutral
-693.9030117,1,positive
-704.2326808,0,neutral
-436.9332057,0,neutral
-353.3016514,1,positive
-421.4511496,0,neutral
-403.7217157,1,positive
-470.4691272,0,neutral
-403.9703488,1,positive
-461.8408615,0,neutral
-463.5485939,1,positive
-405.6040812,0,neutral
-384.7621537,1,positive
-436.978791,0,neutral
-450.1265477,1,positive
