layer,accuracy_mean,agreement_mean_mean,agreement_mean_std,n_seeds
1,0.7780404523,0.2774724682,0,3
2,0.8096356544,0.2580018915,0,3
3,0.8234422746,-0.07465669729,4.358899304e-11,3
4,0.821281028,0.2581475385,0,3
5,0.8543700538,0.2745432563,0,3
6,0.8260978986,0.2625253617,5.77350317e-11,3
7,0.8619577245,0.2745644018,4.358898986e-10,3
8,0.8832966444,0.274409443,6.350853166e-10,3
9,0.8834000036,0.2898354014,1.069267666e-09,3
10,0.923936562,0.2813094592,1.258305733e-09,3
11,0.9313571969,-0.04805690276,4.784290264e-09,3
12,0.9240981957,0.289156567,1.814754349e-09,3
13,0.9193436738,0.2895223609,1.015332458e-08,3
14,0.9023837434,0.2979468982,1.123981028e-09,3
15,0.9260186461,0.293542842,1.553190264e-08,3
16,0.9210769207,-0.05234370936,5.496410947e-09,3
17,0.9164367645,0.2888615536,2.034428665e-08,3
18,0.9213842971,0.2826918085,5.300314443e-09,3
19,0.9016990564,0.3227274226,1.585276001e-08,3
20,0.889428846,0.5283333744,0.006882996853,3
21,0.8801644248,0.64200598,0.0006636831615,3
22,0.8634443679,0.6406565083,0.0005279576987,3
23,0.8659997389,0.5659794533,0.01133522733,3
24,0.8684784458,0.668962731,0.003500159681,3
25,0.8610421225,0.533798541,0.01085577639,3
26,0.8663098164,0.4604828785,0.001058478246,3
27,0.8302233071,0.3013247613,0.0007446579479,3
