row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9126379732,0.05122728468,3
MeanDiff,LogReg,0.6102870879,0,3
MeanDiff,PCA,0.8859904787,8.000000107e-10,3
MeanDiff,Random,0.04478590467,0.003213654384,3
KMeans,MeanDiff,0.9126379732,0.05122728468,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.4051759825,0.0541116574,3
KMeans,PCA,0.9852535451,0.005384524408,3
KMeans,Random,0.03980736279,0.005920640788,3
LogReg,MeanDiff,0.6102870879,0,3
LogReg,KMeans,0.4051759825,0.0541116574,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.3708282218,2.956912799e-09,3
LogReg,Random,0.0202861262,0.01977150839,3
PCA,MeanDiff,0.8859904787,8.000000107e-10,3
PCA,KMeans,0.9852535451,0.005384524408,3
PCA,LogReg,0.3708282218,2.956912799e-09,3
PCA,PCA,1,0,3
PCA,Random,0.03654019955,0.003211627048,3
Random,MeanDiff,0.04478590467,0.003213654384,3
Random,KMeans,0.03980736279,0.005920640788,3
Random,LogReg,0.0202861262,0.01977150839,3
Random,PCA,0.03654019955,0.003211627048,3
Random,Random,1,0,3
