projection,y,level
-4.22194238,0,negative
-2.782996144,0,negative
-3.624907069,0,negative
2.855669354,1,neutral
4.037001101,1,neutral
3.737175138,1,neutral
-7.551566717,0,negative
-4.734295856,0,negative
-4.320252228,0,negative
5.229298446,1,neutral
11.37681635,1,neutral
-5.211183732,0,negative
-4.179886324,0,negative
-4.471367603,0,negative
5.761843236,1,neutral
4.155358968,1,neutral
3.945235455,1,neutral
-11.51764512,0,negative
-7.440449113,0,negative
-0.5023593324,0,negative
5.451284319,1,neutral
8.097271549,1,neutral
5.911897696,1,neutral
-7.623919244,0,negative
-3.836794916,0,negative
-4.682485077,0,negative
5.862815273,1,neutral
4.491458461,1,neutral
5.788925504,1,neutral
-1.712007191,0,negative
-8.816403847,0,negative
-3.200918591,0,negative
5.665866965,1,neutral
0.3251460035,1,neutral
7.73831666,1,neutral
-9.99802556,0,negative
-6.23158445,0,negative
4.248874503,1,neutral
5.419801683,1,neutral
6.560933824,1,neutral
-3.211712119,0,negative
-6.875630553,0,negative
2.680440809,1,neutral
5.900489787,1,neutral
1.506412077,1,neutral
-2.756611574,0,negative
-3.217313002,0,negative
-5.124498491,0,negative
3.184597579,1,neutral
4.976559152,1,neutral
2.937266336,1,neutral
-11.63669339,0,negative
-4.636898814,0,negative
-16.72115015,0,negative
9.986525652,1,neutral
12.89504182,1,neutral
10.11317488,1,neutral
-8.017305792,0,negative
-8.834316661,0,negative
-6.916956471,0,negative
5.987939883,1,neutral
7.902499851,1,neutral
9.87813919,1,neutral
-12.77432126,0,negative
-4.192389022,0,negative
-10.84347269,0,negative
9.365859293,1,neutral
8.525215158,1,neutral
9.919108518,1,neutral
-9.43913994,0,negative
-7.185970463,0,negative
-7.896632751,0,negative
7.961859336,1,neutral
7.930369578,1,neutral
8.629514239,1,neutral
-12.1537572,0,negative
-12.31281887,0,negative
-10.57412285,0,negative
11.1630234,1,neutral
12.92702718,1,neutral
10.95064834,1,neutral
-10.87116589,0,negative
-6.52155242,0,negative
-10.06967345,0,negative
9.851292411,1,neutral
10.1693864,1,neutral
7.441712954,1,neutral
-8.964472557,0,negative
-3.316706263,0,negative
-8.710951759,0,negative
6.641125941,1,neutral
6.150541998,1,neutral
8.20046264,1,neutral
-3.577274114,0,negative
-0.3371599326,0,negative
-2.460289479,0,negative
0.0285683974,1,neutral
-0.4802641325,1,neutral
6.826419261,1,neutral
-10.67764862,0,negative
-9.511450635,0,negative
-9.343269103,0,negative
9.886422559,1,neutral
10.97972758,1,neutral
8.666218226,1,neutral
-0.9179964968,0,negative
-6.372674301,0,negative
-11.15662983,0,negative
8.604862462,1,neutral
3.439139394,1,neutral
6.403298772,1,neutral
-9.344161005,0,negative
2.778113469,0,negative
-6.397192982,0,negative
4.246962557,1,neutral
4.957373095,1,neutral
3.758904867,1,neutral
-2.803541738,0,negative
-2.708009837,0,negative
-1.566271772,0,negative
3.771989161,1,neutral
2.775772969,1,neutral
0.5300612171,1,neutral
2.209010501,0,negative
-2.873038243,0,negative
-6.699562332,0,negative
2.822752409,1,neutral
2.272392306,1,neutral
2.268445358,1,neutral
-0.7039610702,0,negative
-5.921716386,0,negative
-4.771973511,0,negative
