projection,y,level
4.861088746,0,negative
11.96808955,1,neutral
6.327546728,0,negative
13.13700756,1,neutral
5.475613606,0,negative
12.86366845,1,neutral
0.1123279963,0,negative
12.86453931,1,neutral
2.897422017,0,negative
19.00658347,1,neutral
3.318010369,0,negative
0.9346624065,0,negative
11.95117672,1,neutral
2.007434659,0,negative
10.34950527,1,neutral
1.718562885,0,negative
10.13834709,1,neutral
-4.647928946,0,negative
12.34215342,1,neutral
-0.5589520487,0,negative
14.97976107,1,neutral
6.43206318,0,negative
12.82501215,1,neutral
2.064651084,0,negative
15.57026477,1,neutral
5.854958638,0,negative
14.21266319,1,neutral
5.012775861,0,negative
15.49987345,1,neutral
9.422914078,0,negative
16.78849458,1,neutral
2.27779117,0,negative
11.43997046,1,neutral
7.922770998,0,negative
18.86608428,1,neutral
15.87177352,1,neutral
1.60034224,0,negative
17.05125073,1,neutral
5.332698481,0,negative
18.18010457,1,neutral
11.84368559,1,neutral
5.947988495,0,negative
15.11296798,1,neutral
2.286526579,0,negative
10.74477372,1,neutral
9.318888434,0,negative
15.21716557,1,neutral
8.877353753,0,negative
17.01725084,1,neutral
6.950971854,0,negative
14.98779308,1,neutral
-3.451175257,0,negative
18.1684617,1,neutral
3.602876681,0,negative
21.10909601,1,neutral
-8.564071876,0,negative
18.32857479,1,neutral
1.01783252,0,negative
15.04962855,1,neutral
0.2478272673,0,negative
16.92802538,1,neutral
2.114381797,0,negative
18.94985155,1,neutral
-6.453694285,0,negative
15.67447395,1,neutral
2.130112984,0,negative
14.8300087,1,neutral
-4.503891521,0,negative
16.23842724,1,neutral
-3.171092975,0,negative
14.22218277,1,neutral
-0.9389724629,0,negative
14.22505457,1,neutral
-1.672349344,0,negative
14.88920225,1,neutral
-4.396997392,0,negative
18.93340173,1,neutral
-4.571610241,0,negative
20.67779912,1,neutral
-2.806927189,0,negative
18.70183336,1,neutral
-3.91777557,0,negative
16.83440489,1,neutral
0.4357319097,0,negative
17.12536319,1,neutral
-3.134768745,0,negative
14.379181,1,neutral
-4.03763984,0,negative
11.62978226,1,neutral
1.637083546,0,negative
11.12994771,1,neutral
-3.775422524,0,negative
13.18015596,1,neutral
2.053113995,0,negative
5.643212375,1,neutral
5.32026307,0,negative
5.140564265,1,neutral
3.185114651,0,negative
12.48400582,1,neutral
-5.786338932,0,negative
14.80531724,1,neutral
-4.59504647,0,negative
15.89567539,1,neutral
-4.438233423,0,negative
13.60972063,1,neutral
8.411869336,0,negative
17.90922686,1,neutral
2.977083833,0,negative
12.69557414,1,neutral
-1.905138831,0,negative
15.69432957,1,neutral
2.694261257,0,negative
16.23723757,1,neutral
14.80537214,0,negative
16.94211753,1,neutral
5.616933464,0,negative
15.76062938,1,neutral
9.936601558,0,negative
16.48049134,1,neutral
10.0286447,0,negative
15.47396933,1,neutral
11.18614976,0,negative
13.19898896,1,neutral
12.9402545,0,negative
13.52689323,1,neutral
7.867983945,0,negative
13.01105595,1,neutral
4.080169788,0,negative
13.00039603,1,neutral
9.530815017,0,negative
14.28127451,1,neutral
4.314430372,0,negative
14.60158878,1,neutral
5.470684742,0,negative
13.14164883,1,neutral
1.767340059,0,negative
15.26040697,1,neutral
-4.078209449,0,negative
14.91849429,1,neutral
0.8442738704,0,negative
17.76024636,1,neutral
6.939863186,0,negative
16.54172343,1,neutral
8.218777673,0,negative
18.2947582,1,neutral
-3.510036415,0,negative
17.70511133,1,neutral
10.04519202,0,negative
14.40131793,1,neutral
7.523215217,0,negative
12.9401327,1,neutral
-0.05280888279,0,negative
12.89579012,1,neutral
7.377080459,0,negative
14.87844082,1,neutral
10.75492963,0,negative
9.128556849,1,neutral
-0.4417017712,0,negative
9.49971033,1,neutral
-5.316530724,0,negative
11.0583128,1,neutral
-7.451293331,0,negative
10.90182785,1,neutral
10.24243105,0,negative
12.21120353,1,neutral
11.5390161,0,negative
15.68531635,1,neutral
13.87892254,0,negative
14.32057629,1,neutral
14.13779861,0,negative
14.6643521,1,neutral
2.008772929,0,negative
17.58907048,1,neutral
2.673531822,0,negative
18.34185693,1,neutral
-2.760496596,0,negative
14.45958037,1,neutral
8.739319049,0,negative
14.22863609,1,neutral
14.2878945,0,negative
14.3032655,1,neutral
11.44068643,0,negative
14.60543434,1,neutral
-4.769381649,0,negative
14.51961299,1,neutral
5.916046047,0,negative
15.20536003,1,neutral
-1.64973911,0,negative
15.49223627,1,neutral
4.375260666,0,negative
15.7121915,1,neutral
9.508427374,0,negative
16.97429997,1,neutral
-0.564147417,0,negative
15.16812062,1,neutral
8.668052142,0,negative
19.31748238,1,neutral
5.297752943,0,negative
19.39513208,1,neutral
6.347732948,0,negative
18.7183821,1,neutral
10.28163781,0,negative
16.68889794,1,neutral
9.354023744,0,negative
16.89498335,1,neutral
-0.271846882,0,negative
16.57296258,1,neutral
10.5671836,0,negative
20.33273304,1,neutral
13.54567077,0,negative
15.42090224,1,neutral
11.31809159,0,negative
13.74739344,1,neutral
7.593346381,0,negative
12.96611912,1,neutral
9.966961034,0,negative
11.57185704,1,neutral
7.812421598,0,negative
13.18886482,1,neutral
6.960345007,0,negative
14.78874648,1,neutral
4.991213882,0,negative
15.28996385,1,neutral
1.757591283,0,negative
12.2737035,1,neutral
10.8550409,0,negative
13.94814352,1,neutral
8.299676492,0,negative
13.61029813,1,neutral
12.28932945,0,negative
15.15118633,1,neutral
5.599838353,0,negative
15.819504,1,neutral
0.5827181124,0,negative
15.7718862,1,neutral
-1.222855168,0,negative
14.58238364,1,neutral
4.03106142,0,negative
11.30775694,1,neutral
6.403376228,0,negative
10.28769324,1,neutral
6.690115894,0,negative
10.41799104,1,neutral
10.62419854,0,negative
8.574974532,1,neutral
8.207378319,0,negative
13.7195976,1,neutral
8.411296179,0,negative
10.64559615,1,neutral
2.720887295,0,negative
12.37477563,1,neutral
2.756100299,0,negative
13.55238177,1,neutral
0.9835119995,0,negative
6.445374343,1,neutral
12.96445862,0,negative
12.91756224,1,neutral
10.18363166,0,negative
17.78292771,1,neutral
0.397030469,0,negative
16.4420118,1,neutral
8.358859264,0,negative
15.49182602,1,neutral
14.45819306,0,negative
15.15923859,1,neutral
14.04133755,0,negative
14.5358897,1,neutral
7.659090676,0,negative
11.62252885,1,neutral
2.447358556,0,negative
8.510681994,1,neutral
1.609341752,0,negative
7.524901015,1,neutral
-3.597978987,0,negative
13.54586043,1,neutral
3.583966305,0,negative
13.04380295,1,neutral
5.048737154,0,negative
13.60854298,1,neutral
9.38654098,0,negative
17.44530542,1,neutral
8.67932392,0,negative
16.60417794,1,neutral
8.939617539,0,negative
17.89587842,1,neutral
4.228696704,0,negative
8.389744134,1,neutral
-2.727839614,0,negative
10.81050384,1,neutral
4.213436471,0,negative
12.12252566,1,neutral
4.772195232,0,negative
13.19463738,1,neutral
3.399609038,0,negative
8.237530077,1,neutral
6.782907626,0,negative
10.65709695,1,neutral
1.105043239,0,negative
9.397077591,1,neutral
11.11815129,0,negative
14.94182412,1,neutral
3.371922389,0,negative
11.0448011,1,neutral
5.325015157,0,negative
10.2107023,1,neutral
5.030750765,0,negative
13.60250768,1,neutral
3.139494439,0,negative
8.988500397,1,neutral
-3.027693408,0,negative
6.90381506,1,neutral
2.316592304,0,negative
11.28777421,1,neutral
-5.663491533,0,negative
12.69731847,1,neutral
10.52057146,0,negative
17.64441031,1,neutral
4.752440628,0,negative
16.2684699,1,neutral
3.900838761,0,negative
17.78213274,1,neutral
10.25944748,0,negative
16.8429141,1,neutral
9.121852902,0,negative
15.1530521,1,neutral
-0.8614759186,0,negative
15.6283297,1,neutral
1.185447662,0,negative
16.33740795,1,neutral
-6.510117874,0,negative
17.39431728,1,neutral
-3.134464028,0,negative
15.85032625,1,neutral
2.640532448,0,negative
16.29249194,1,neutral
-2.740220419,0,negative
17.39794888,1,neutral
11.74711542,0,negative
16.7961399,1,neutral
-1.047020556,0,negative
10.91112465,1,neutral
10.56106862,0,negative
19.21486996,1,neutral
-2.514525867,0,negative
15.67222456,1,neutral
6.281266035,0,negative
12.25514507,1,neutral
5.70942689,0,negative
16.12762898,1,neutral
-2.84778744,0,negative
14.81458865,1,neutral
-1.55805858,0,negative
16.28699649,1,neutral
1.673269155,0,negative
13.521611,1,neutral
0.1492085056,0,negative
16.44439731,1,neutral
4.45806768,0,negative
16.2867447,1,neutral
18.0171242,1,neutral
8.919948393,0,negative
12.37726261,1,neutral
10.69033494,0,negative
19.42526027,1,neutral
5.21854204,0,negative
15.58467032,1,neutral
5.185363155,0,negative
5.208797967,1,neutral
-5.544624197,0,negative
1.205785813,1,neutral
8.502842135,0,negative
0.6944410746,1,neutral
14.54232354,0,negative
16.55724211,1,neutral
8.801582825,0,negative
10.91835423,1,neutral
6.534844207,0,negative
16.65531781,1,neutral
7.472525853,0,negative
16.79431523,1,neutral
8.179108408,0,negative
16.96809647,1,neutral
-0.3485111957,0,negative
17.50210701,1,neutral
-3.526953665,0,negative
15.58155064,1,neutral
-6.417093138,0,negative
13.42499742,1,neutral
9.654324585,0,negative
10.38576091,1,neutral
11.09341018,0,negative
