row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.03465426238,0,3
MeanDiff,LogReg,0.7880157265,0,3
MeanDiff,PCA,0.05669629927,1.650828078e-09,3
MeanDiff,Random,0.03394719903,0.00373716998,3
KMeans,MeanDiff,0.03465426238,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.01322905118,0,3
KMeans,PCA,0.9971344857,1.527525358e-10,3
KMeans,Random,0.01637183021,0.009869727203,3
LogReg,MeanDiff,0.7880157265,0,3
LogReg,KMeans,0.01322905118,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.02494612444,4.580636782e-09,3
LogReg,Random,0.01643902586,0.01418423909,3
PCA,MeanDiff,0.05669629927,1.650828078e-09,3
PCA,KMeans,0.9971344857,1.527525358e-10,3
PCA,LogReg,0.02494612444,4.580636782e-09,3
PCA,PCA,1,0,3
PCA,Random,0.01717724683,0.008141954279,3
Random,MeanDiff,0.03394719903,0.00373716998,3
Random,KMeans,0.01637183021,0.009869727203,3
Random,LogReg,0.01643902586,0.01418423909,3
Random,PCA,0.01717724683,0.008141954279,3
Random,Random,1,0,3
