projection,y,level
-5.057845887,0,negative
-3.694937352,0,negative
-2.883848437,0,negative
5.49399428,1,positive
1.817520858,1,positive
4.325116537,1,positive
-8.669355415,0,negative
-4.224171832,0,negative
-4.146979781,0,negative
6.504193618,1,positive
5.935726182,1,positive
4.600587228,1,positive
-3.653412038,0,negative
-2.956888483,0,negative
-4.656485859,0,negative
0.6207028385,1,positive
8.316643755,1,positive
2.329439787,1,positive
-3.083596265,0,negative
-8.316671324,0,negative
-2.341600907,0,negative
4.950361836,1,positive
5.203191129,1,positive
3.588315531,1,positive
-5.453897405,0,negative
-3.02074654,0,negative
-3.814828156,0,negative
6.186426672,1,positive
2.96277848,1,positive
3.140266949,1,positive
-0.6497333421,0,negative
-8.155405725,0,negative
-2.696886119,0,negative
3.643473627,1,positive
4.280239343,1,positive
3.578312216,1,positive
-8.481047677,0,negative
-3.815027302,0,negative
2.160784322,1,positive
4.068097645,1,positive
6.067193012,1,positive
-4.068277822,0,negative
-6.854067623,0,negative
5.212333277,1,positive
3.068903355,1,positive
2.641108813,1,positive
-3.935391025,0,negative
-3.718119156,0,negative
-5.862959601,0,negative
5.161444443,1,positive
4.330584438,1,positive
4.024440901,1,positive
-3.993512935,0,negative
-4.9144576,0,negative
-7.252137001,0,negative
9.222948274,1,positive
6.937159262,1,positive
-6.707962812,0,negative
-7.734820042,0,negative
-4.606004566,0,negative
6.498868843,1,positive
7.664468131,1,positive
4.885450447,1,positive
-5.13384494,0,negative
-6.412869202,0,negative
-4.05795886,0,negative
5.751269251,1,positive
5.796741408,1,positive
4.056662342,1,positive
-7.216955078,0,negative
-6.278709125,0,negative
-6.063553496,0,negative
6.324675219,1,positive
7.348538753,1,positive
5.886003727,1,positive
-6.130543301,0,negative
-6.862028902,0,negative
-4.702889968,0,negative
6.320315784,1,positive
11.37514639,1,positive
-7.176007894,0,negative
-4.742604259,0,negative
-7.73689654,0,negative
5.182461841,1,positive
6.192612897,1,positive
8.280433955,1,positive
-7.764703334,0,negative
-4.515565539,0,negative
-8.980449905,0,negative
6.933898558,1,positive
7.38726419,1,positive
6.93955603,1,positive
-5.162330273,0,negative
-1.777865109,0,negative
-3.731583218,0,negative
6.866555431,1,positive
2.885342378,1,positive
0.9198807916,1,positive
-8.086462191,0,negative
-7.072428234,0,negative
-6.252892004,0,negative
7.306957669,1,positive
5.588784977,1,positive
8.516039782,1,positive
-3.318260594,0,negative
-5.23239707,0,negative
-6.185746189,0,negative
8.924772899,1,positive
5.811630954,1,positive
-9.492089407,0,negative
0.8967052966,0,negative
-1.32681452,0,negative
3.867625909,1,positive
3.418321595,1,positive
2.636251126,1,positive
-5.463624172,0,negative
-3.961057825,0,negative
-3.1776837,0,negative
4.629394926,1,positive
3.908019827,1,positive
4.064950943,1,positive
1.778846811,0,negative
-2.399094647,0,negative
-6.337243359,0,negative
1.991618135,1,positive
2.90293252,1,positive
2.06294054,1,positive
-3.788361686,0,negative
-6.701880101,0,negative
-4.778683264,0,negative
4.31323497,1,positive
3.744996355,1,positive
7.210693727,1,positive
-3.134773864,0,negative
-6.975593528,0,negative
-3.376669181,0,negative
5.351112529,1,positive
2.744950235,1,positive
5.390973809,1,positive
-4.507352207,0,negative
-2.993612177,0,negative
-7.511271066,0,negative
4.619585711,1,positive
5.948534208,1,positive
4.444115532,1,positive
-0.2704230875,0,negative
-2.912562594,0,negative
-2.461333381,0,negative
1.578571876,1,positive
2.130088616,1,positive
1.935658571,1,positive
-4.582296288,0,negative
-0.8313984797,0,negative
-3.56743983,0,negative
2.804890461,1,positive
2.60919215,1,positive
3.567051988,1,positive
-6.100601089,0,negative
-8.128468678,0,negative
0.3345224511,0,negative
4.633740636,1,positive
9.260806681,1,positive
-3.400029018,0,negative
-1.512786507,0,negative
-0.5403393864,0,negative
-0.705194863,1,positive
3.59017997,1,positive
2.568169803,1,positive
-2.317199537,0,negative
-0.5039823618,0,negative
-7.306863106,0,negative
4.521367903,1,positive
3.642926493,1,positive
1.963750609,1,positive
-6.039455421,0,negative
-1.382958601,0,negative
-3.821081784,0,negative
5.70805436,1,positive
1.568889459,1,positive
3.966551987,1,positive
-6.367320764,0,negative
-4.786828177,0,negative
-5.387313148,0,negative
6.798580113,1,positive
2.999311771,1,positive
6.743570205,1,positive
-5.364886269,0,negative
0.5546176522,0,negative
-0.7552134804,0,negative
5.565482098,1,positive
-2.133536343,0,negative
-5.362701747,0,negative
-5.14967261,0,negative
5.260107047,1,positive
4.722153831,1,positive
2.663649822,1,positive
-2.297815148,0,negative
-3.95419647,0,negative
-5.994506306,0,negative
6.779693703,1,positive
2.762232722,1,positive
2.704591499,1,positive
-3.604504146,0,negative
-1.024031824,0,negative
-2.189788422,0,negative
1.917343848,1,positive
1.621556115,1,positive
3.27942443,1,positive
-3.989455397,0,negative
-3.497349233,0,negative
-4.431690425,0,negative
2.337434909,1,positive
4.052267054,1,positive
5.528793091,1,positive
-7.95343871,0,negative
-2.096190417,0,negative
-4.698224121,0,negative
6.004560051,1,positive
6.479066187,1,positive
2.26422701,1,positive
-4.580870031,0,negative
-6.493278328,0,negative
-2.379016089,0,negative
5.372232722,1,positive
3.800525922,1,positive
4.280405803,1,positive
-4.435254695,0,negative
-4.162299488,0,negative
-4.651554616,0,negative
2.569478177,1,positive
6.127408972,1,positive
4.552221651,1,positive
-3.304066766,0,negative
-2.391353401,0,negative
-2.355797873,0,negative
3.171246783,1,positive
4.126379105,1,positive
0.7535921529,1,positive
0.01526422374,0,negative
-2.463037224,0,negative
-2.421989245,0,negative
4.869762246,1,positive
-6.011494853,0,negative
-6.981805334,0,negative
-2.659405921,0,negative
6.364871133,1,positive
5.558960208,1,positive
3.728874767,1,positive
0.4242393202,0,negative
-3.559690767,0,negative
-6.974060489,0,negative
4.324391154,1,positive
5.785120782,1,positive
-7.170576238,0,negative
0.4144291388,0,negative
1.503922269,0,negative
2.403422023,1,positive
0.5371536227,1,positive
2.311649184,1,positive
-0.2925029494,0,negative
-0.6146192264,0,negative
-1.477165,0,negative
2.186337425,1,positive
0.1111199049,1,positive
0.08682984613,1,positive
-4.05710918,0,negative
-3.53196246,0,negative
-2.737842419,0,negative
2.056077413,1,positive
3.883165816,1,positive
4.38767083,1,positive
-2.907740082,0,negative
-5.312778441,0,negative
-4.702538338,0,negative
4.733677216,1,positive
6.430479251,1,positive
1.758900394,1,positive
-3.935263634,0,negative
-4.429529193,0,negative
-5.914860131,0,negative
4.507188053,1,positive
