row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.7628011929,0,3
MeanDiff,LogReg,0.4058206221,0,3
MeanDiff,PCA,0.7424315839,8.851463156e-08,3
MeanDiff,Random,0.0254182915,0.008169078719,3
KMeans,MeanDiff,0.7628011929,0,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.0758007321,0,3
KMeans,PCA,0.9800927009,1.647948217e-08,3
KMeans,Random,0.02058970704,0.006978421324,3
LogReg,MeanDiff,0.4058206221,0,3
LogReg,KMeans,0.0758007321,0,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.06998982943,4.006871972e-08,3
LogReg,Random,0.01341454088,0.02121587959,3
PCA,MeanDiff,0.7424315839,8.851463156e-08,3
PCA,KMeans,0.9800927009,1.647948217e-08,3
PCA,LogReg,0.06998982943,4.006871972e-08,3
PCA,PCA,1,0,3
PCA,Random,0.01558403964,0.0107897949,3
Random,MeanDiff,0.0254182915,0.008169078719,3
Random,KMeans,0.02058970704,0.006978421324,3
Random,LogReg,0.01341454088,0.02121587959,3
Random,PCA,0.01558403964,0.0107897949,3
Random,Random,1,0,3
