projection,y,level
1.355612532,0,neutral
-2.620662451,0,neutral
-1.979459591,0,neutral
0.4343933297,1,positive
-0.4869586447,1,positive
3.297074825,1,positive
0.8547122641,0,neutral
-3.604738556,0,neutral
0.4399095527,1,positive
0.880149722,1,positive
1.429967018,1,positive
-7.307739261,0,neutral
-7.555751401,0,neutral
-6.693835267,0,neutral
7.389216858,1,positive
6.394755061,1,positive
7.77335401,1,positive
0.7725913147,0,neutral
-0.8823679129,0,neutral
-2.714902676,0,neutral
1.558593738,1,positive
0.7522949523,1,positive
0.5137905839,1,positive
-3.74583948,0,neutral
-5.365327862,0,neutral
-4.919370177,0,neutral
-1.28608792,1,positive
6.965795495,1,positive
8.350829944,1,positive
-2.602983746,0,neutral
-0.2970930734,0,neutral
-3.350300844,0,neutral
2.11059326,1,positive
2.638676183,1,positive
1.501108221,1,positive
-1.975151904,0,neutral
-2.645459479,0,neutral
-1.424424516,0,neutral
1.767172313,1,positive
1.290574173,1,positive
2.987289412,1,positive
-1.74892273,0,neutral
-0.5701678709,0,neutral
0.6607914117,0,neutral
-1.530703977,1,positive
0.2329545,1,positive
2.956048667,1,positive
-2.741096744,0,neutral
-1.577899954,0,neutral
-1.94753698,0,neutral
1.799845365,1,positive
0.1618312156,1,positive
4.304857096,1,positive
-2.495228321,0,neutral
-5.621417395,0,neutral
-3.903853086,0,neutral
-0.569090074,1,positive
12.58958888,1,positive
0.331256065,0,neutral
-3.648583267,0,neutral
-1.922593493,0,neutral
1.779431078,1,positive
0.8348564074,1,positive
2.625633209,1,positive
-1.740772896,0,neutral
-3.10919403,0,neutral
-2.489824552,0,neutral
1.982621885,1,positive
2.355107022,1,positive
3.00206257,1,positive
-8.484317289,0,neutral
-9.831848627,0,neutral
-10.455387,0,neutral
8.649104904,1,positive
10.07650304,1,positive
10.04594497,1,positive
-3.35665627,0,neutral
-2.876632865,0,neutral
-2.670981073,0,neutral
-0.1131984325,1,positive
9.01746864,1,positive
-5.680627537,0,neutral
-5.122300883,0,neutral
4.123857976,0,neutral
-0.5168749568,1,positive
-1.506673475,1,positive
8.702618875,1,positive
0.6901606695,0,neutral
-6.658456439,0,neutral
-9.746341458,0,neutral
5.458678277,1,positive
4.908082452,1,positive
5.347876499,1,positive
0.4450157348,0,neutral
-0.2733046281,0,neutral
-13.63785176,0,neutral
0.3409533578,1,positive
6.449754748,1,positive
6.675432551,1,positive
-6.952339354,0,neutral
-6.570812052,0,neutral
-8.462983203,0,neutral
7.779749526,1,positive
7.605870453,1,positive
6.600514629,1,positive
-8.589368818,0,neutral
1.719425979,0,neutral
-7.127944871,0,neutral
5.15782949,1,positive
8.840058221,1,positive
-2.041571529,0,neutral
-2.76042464,0,neutral
-3.795241705,0,neutral
8.042134085,1,positive
-1.031025663,1,positive
1.586129451,1,positive
-7.259761478,0,neutral
-6.765223501,0,neutral
-5.717837394,0,neutral
6.029450489,1,positive
8.516202796,1,positive
5.197169089,1,positive
0.2255914724,0,neutral
-2.903781651,0,neutral
-2.492586123,0,neutral
-0.07517113482,1,positive
0.7265676307,1,positive
4.519379805,1,positive
0.1769238005,0,neutral
-2.211092292,0,neutral
-0.05552811963,0,neutral
-0.3351938029,1,positive
0.7786615589,1,positive
1.646228855,1,positive
-1.406444848,0,neutral
0.2501016482,0,neutral
-3.290917156,0,neutral
1.489254779,1,positive
1.614251327,1,positive
1.343754249,1,positive
-1.205018684,0,neutral
-6.563513731,0,neutral
-2.112090783,0,neutral
4.729176367,1,positive
5.106888755,1,positive
0.0445580768,1,positive
-1.16422864,0,neutral
-2.157506281,0,neutral
-1.690635362,0,neutral
1.317824228,1,positive
2.506339011,1,positive
1.188207043,1,positive
-9.391184167,0,neutral
-6.910558338,0,neutral
-7.880344967,0,neutral
8.391994197,1,positive
8.572146762,1,positive
7.217946513,1,positive
-1.439796681,0,neutral
-4.905337501,0,neutral
-6.072064349,0,neutral
3.05657207,1,positive
9.360626461,1,positive
-2.31070828,0,neutral
-1.277470634,0,neutral
-3.247847902,0,neutral
-1.930823222,1,positive
11.37529259,1,positive
-2.608442547,1,positive
-0.8666934137,0,neutral
-1.243426969,0,neutral
-1.528851141,0,neutral
0.6108820999,1,positive
0.8856045942,1,positive
2.14248483,1,positive
-2.01460231,0,neutral
-1.204239804,0,neutral
-0.2862256982,0,neutral
0.351062427,1,positive
1.957939966,1,positive
1.196065419,1,positive
-1.377633216,0,neutral
-2.556204214,0,neutral
0.1632796299,0,neutral
0.8048431435,1,positive
2.740057356,1,positive
0.2256573006,1,positive
0.01589419357,0,neutral
-0.8844377554,0,neutral
0.2759968506,0,neutral
0.5925467112,1,positive
